URL,volunteer_1,volunteer_2,volunteer_3,volunteer_4,volunteer_5,volunteer_6,Final_label
https://gitee.com/mindspore/mindspore/issues/I65G7B,F1,D2,F1,F1,F1,F1,F1
https://gitee.com/mindspore/mindspore/issues/I7R3R5,E3,E3,E3,B2,B1,E3,E3
https://gitee.com/mindspore/mindspore/issues/I6R70G,G5,G5,G4,G2,G5,G2,G5
https://gitee.com/mindspore/mindspore/issues/I6GPYU,G2,G5,G2,G2,G2,F1,G2
https://gitee.com/mindspore/mindspore/issues/I5JF1P,B1,B1,B1,B1,C1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I5E3VN,E3,E3,E3,E3,E3,A1,E3
https://gitee.com/mindspore/mindspore/issues/I77YGV,E3,E3,E3,E3,G2,E3,E3
https://gitee.com/mindspore/mindspore/issues/I4T5SO,A4,B1,G4,B1,G4,B1,B1
https://gitee.com/mindspore/mindspore/issues/I5BGC1,A2,G2,G2,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I52D45,G5,G5,G5,G4,G4,G5,G5
https://gitee.com/mindspore/mindspore/issues/I5KEZT,G2,G2,G2,G4,G2,G4,G2
https://gitee.com/mindspore/mindspore/issues/I53285,C2,C2,C2,C2,C2,B1,C2
https://gitee.com/mindspore/mindspore/issues/I5RGDB,E3,E3,E3,E3,A1,E3,E3
https://gitee.com/mindspore/mindspore/issues/I4XC4G,G5,G5,G4,G4,G5,G4,G5
https://gitee.com/mindspore/mindspore/issues/I4Y75N,G1,B2,G4,G4,G4,G1,G4
https://gitee.com/mindspore/mindspore/issues/I8IBUX,G2,G2,E1,G2,G2,G2,G2
https://gitee.com/mindspore/mindspore/issues/I5PAKP,E3,C2,E3,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I7NXOU,E3,E3,E3,G3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I6IR2S,C2,G2,G2,G2,G2,G4,G2
https://gitee.com/mindspore/mindspore/issues/I64XZV,B1,B1,B1,D1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I647DN,D1,D1,C1,D1,D1,C1,D1
https://gitee.com/mindspore/mindspore/issues/I5BYOH,E3,E3,F1,E3,E3,E3,E3
https://gitee.com/mindspore/mindspore/issues/I7X713,G4,F2,G4,G4,G4,G4,G4
https://gitee.com/mindspore/mindspore/issues/I62I3J,B1,G2,G2,G2,A3,G2,G2
https://gitee.com/mindspore/mindspore/issues/I63SFW,G4,G1,G4,G4,G4,G1,G4
https://gitee.com/mindspore/mindspore/issues/I5O2OB,C1,C1,C1,C1,B3,C1,C1
https://gitee.com/mindspore/mindspore/issues/I6MAXT,B1,B1,F2,B1,B1,B1,B1
https://gitee.com/mindspore/mindspore/issues/I522BJ,G2,G2,G2,G4,G2,G4,G2
