URL,volunteer_1,volunteer_2,volunteer_3,volunteer_4,volunteer_5,volunteer_6,Final_label
https://github.com/pytorch/pytorch/issues/93880,A4,B1,A4,A4,A4,A4,A4
https://github.com/pytorch/pytorch/issues/36035,C1,B3,C1,C1,C1,C1,C1
https://github.com/pytorch/pytorch/issues/56747,A4,C1,C1,C1,A4,C1,C1
https://github.com/pytorch/pytorch/issues/37377,A3,A3,A3,A3,A2,A3,A3
https://github.com/pytorch/pytorch/issues/78915,F2,A4,F2,G2,G2,F2,F2
https://github.com/pytorch/pytorch/issues/41508,E2,E2,E2,E2,E2,G4,E2
https://github.com/pytorch/pytorch/issues/78044,C1,A4,C1,C1,A4,C1,C1
https://github.com/pytorch/pytorch/issues/81760,A1,G3,A1,A1,G3,A1,A1
https://github.com/pytorch/pytorch/issues/67864,G2,G2,G2,G1,G2,G2,G2
https://github.com/pytorch/pytorch/issues/33288,A1,A1,G3,G2,G2,A1,A1
https://github.com/pytorch/pytorch/issues/54087,C2,C1,G4,C1,G4,C2,C2
https://github.com/pytorch/pytorch/issues/75240,G5,F1,F1,F1,F1,F1,F1
https://github.com/pytorch/pytorch/issues/59998,C2,E1,C1,G1,G1,C1,C1
https://github.com/pytorch/pytorch/issues/72045,G2,A1,A1,A1,A1,A1,A1
https://github.com/pytorch/pytorch/issues/51080,B1,A3,A3,A3,A3,A3,A3
https://github.com/pytorch/pytorch/issues/90448,C2,G1,G4,C1,G4,C2,C2
https://github.com/pytorch/pytorch/issues/38122,C2,C2,C2,C2,B2,F2,C2
https://github.com/pytorch/pytorch/issues/68735,A4,A4,C1,A4,C1,A4,A4
https://github.com/pytorch/pytorch/issues/41661,G1,A3,A3,A3,A3,A3,A3
https://github.com/pytorch/pytorch/issues/48841,C2,C1,C1,C1,C1,C1,C1
https://github.com/pytorch/pytorch/issues/41486,B1,B1,B1,B1,B1,E3,B1
https://github.com/pytorch/pytorch/issues/34058,A3,C2,F1,C2,C2,C2,C2
https://github.com/pytorch/pytorch/issues/98140,G2,G2,C2,G2,G2,G2,G2
https://github.com/pytorch/pytorch/issues/36941,A1,A1,A1,A1,A1,C1,A1
https://github.com/pytorch/pytorch/issues/92311,F2,F2,F2,F2,C1,F2,F2
https://github.com/pytorch/pytorch/issues/55027,G2,G5,A4,A4,G2,G5,G2
https://github.com/pytorch/pytorch/issues/77527,B1,B1,B1,D1,B1,B1,B1
https://github.com/pytorch/pytorch/issues/36034,A3,F1,A3,A3,A3,C1,A3
https://github.com/pytorch/pytorch/issues/94772,C1,G5,C1,G2,G5,C1,C1
https://github.com/pytorch/pytorch/issues/80569,C2,C2,C2,G4,G4,C2,C2
https://github.com/pytorch/pytorch/issues/60158,G1,G3,B3,B3,B3,B3,B3
https://github.com/pytorch/pytorch/issues/100253,C2,G3,C2,G2,G3,G2,C2
https://github.com/pytorch/pytorch/issues/96755,F1,E3,E3,E3,F1,E3,E3
https://github.com/pytorch/pytorch/issues/39779,E1,A1,A1,B1,A1,A1,A1
https://github.com/pytorch/pytorch/issues/101397,C2,D2,C2,C2,G1,C2,C2
https://github.com/pytorch/pytorch/issues/65200,F2,F2,F2,G2,G2,F2,F2
https://github.com/pytorch/pytorch/issues/71613,C2,C2,C2,G4,C2,C2,C2
https://github.com/pytorch/pytorch/issues/52286,E1,C1,E1,E1,E1,E1,E1
https://github.com/pytorch/pytorch/issues/37449,B1,B1,B1,E3,B1,E3,B1
https://github.com/pytorch/pytorch/issues/54846,C1,C1,C1,C1,G5,C1,C1
https://github.com/pytorch/pytorch/issues/75619,C2,C2,G4,C2,G4,C2,C2
https://github.com/pytorch/pytorch/issues/75504,A4,G2,D1,A4,A4,A4,A4
https://github.com/pytorch/pytorch/issues/50042,F2,G5,F2,B3,F2,F2,F2
https://github.com/pytorch/pytorch/issues/36871,G5,F1,F1,C2,F1,F1,F1
https://github.com/pytorch/pytorch/issues/68407,D1,D1,G4,B1,G4,B1,D1
https://github.com/pytorch/pytorch/issues/32277,G5,G1,G5,C1,C1,G1,G5
https://github.com/pytorch/pytorch/issues/57459,B1,C1,C1,C1,C1,C1,C1
https://github.com/pytorch/pytorch/issues/70162,G3,A1,A1,A1,G2,A1,A1
https://github.com/pytorch/pytorch/issues/61920,B1,B1,A3,B1,B1,B1,B1
https://github.com/pytorch/pytorch/issues/92288,E3,E3,E3,G1,E3,E3,E3
https://github.com/pytorch/pytorch/issues/46983,C1,G1,C2,C2,G1,C1,C1
https://github.com/pytorch/pytorch/issues/31771,A1,C1,C1,C1,C1,C1,C1
https://github.com/pytorch/pytorch/issues/42239,G4,G4,G4,B2,G4,D1,G4
https://github.com/pytorch/pytorch/issues/37583,G1,G4,G4,G4,E2,G4,G4
https://github.com/pytorch/pytorch/issues/31758,D2,B1,B1,B1,B1,B1,B1
https://github.com/pytorch/pytorch/issues/47043,F1,C2,F1,F1,C2,F1,F1
https://github.com/pytorch/pytorch/issues/37022,A3,F2,A3,A3,A3,E3,A3
https://github.com/pytorch/pytorch/issues/36455,D1,D1,G4,D1,G4,D1,D1
