URL,volunteer_1,volunteer_2,volunteer_3,volunteer_4,volunteer_5,volunteer_6,Final_label
https://github.com/tensorflow/tensorflow/issues/52845,A2,A2,G5,A2,G4,A2,A2
https://github.com/tensorflow/tensorflow/issues/56231,A3,A3,A3,A3,A3,C2,A3
https://github.com/tensorflow/tensorflow/issues/35860,G5,G4,G4,G4,G5,G4,G4
https://github.com/tensorflow/tensorflow/issues/60431,A1,A1,G1,A1,A1,D1,A1
https://github.com/tensorflow/tensorflow/issues/38064,G2,E1,G2,G2,G2,G2,G2
https://github.com/tensorflow/tensorflow/issues/37942,G2,G5,G2,G2,G2,G2,G2
https://github.com/tensorflow/tensorflow/issues/53064,G3,C2,G3,C1,C2,G3,G3
https://github.com/tensorflow/tensorflow/issues/50575,C1,C1,A2,C1,E2,C1,C1
https://github.com/tensorflow/tensorflow/issues/37505,B1,B1,B1,A2,B1,B3,B1
https://github.com/tensorflow/tensorflow/issues/38518,G2,B1,G4,G2,G4,B1,G2
https://github.com/tensorflow/tensorflow/issues/38349,F2,C2,F2,F2,C2,F2,F2
https://github.com/tensorflow/tensorflow/issues/41380,G5,G5,G2,G5,G5,G1,G5
https://github.com/tensorflow/tensorflow/issues/36901,G2,G4,G2,C1,G4,G2,G2
https://github.com/tensorflow/tensorflow/issues/38054,G4,G4,F2,G4,G4,G4,G4
https://github.com/tensorflow/tensorflow/issues/36136,A4,C1,A4,A4,C1,A4,A4
https://github.com/tensorflow/tensorflow/issues/62412,A2,A2,A2,E1,A2,A2,A2
https://github.com/tensorflow/tensorflow/issues/56089,F1,F1,A2,F1,F1,F1,F1
https://github.com/tensorflow/tensorflow/issues/54155,G3,G3,G3,D2,G3,G3,G3
https://github.com/tensorflow/tensorflow/issues/38745,G1,G3,G3,G3,G3,G3,G3
https://github.com/tensorflow/tensorflow/issues/50735,D2,D1,B1,B1,B1,B1,B1
https://github.com/tensorflow/tensorflow/issues/58522,G1,E1,C1,C1,C1,C1,C1
https://github.com/tensorflow/tensorflow/issues/39320,G4,C1,C1,C1,C1,C1,C1
https://github.com/tensorflow/tensorflow/issues/58270,G2,G2,G2,D2,G2,G2,G2
https://github.com/tensorflow/tensorflow/issues/60109,A3,A3,A3,A3,E1,A3,A3
https://github.com/tensorflow/tensorflow/issues/41630,G2,G2,G2,G1,G2,G2,G2
https://github.com/tensorflow/tensorflow/issues/59779,C1,A3,G2,C2,C1,C2,C1
https://github.com/tensorflow/tensorflow/issues/61477,A3,D2,A3,A3,A3,B2,A3
https://github.com/tensorflow/tensorflow/issues/36715,C1,C1,C1,B2,C1,C1,C1
https://github.com/tensorflow/tensorflow/issues/46975,A4,A4,A4,A4,A4,A4,A4
https://github.com/tensorflow/tensorflow/issues/36612,G4,G4,G2,G4,G4,G2,G4
https://github.com/tensorflow/tensorflow/issues/57671,B3,A1,A1,A1,A1,G4,A1
https://github.com/tensorflow/tensorflow/issues/59853,A4,A4,A4,G2,A4,G2,A4
https://github.com/tensorflow/tensorflow/issues/60192,A2,G2,G2,G2,G2,F2,G2
https://github.com/tensorflow/tensorflow/issues/38012,G4,G4,G4,F1,G4,G4,G4
https://github.com/tensorflow/tensorflow/issues/55682,F1,A1,F1,F1,F1,F1,F1
https://github.com/tensorflow/tensorflow/issues/39751,F1,F1,F1,F1,F1,D2,F1
https://github.com/tensorflow/tensorflow/issues/38465,G3,G3,G3,G3,G3,A2,G3
https://github.com/tensorflow/tensorflow/issues/38701,A4,A4,A4,B1,G2,A4,A4
https://github.com/tensorflow/tensorflow/issues/41976,G5,G5,G5,G5,F2,E1,G5
https://github.com/tensorflow/tensorflow/issues/50545,C2,C2,E3,C2,C2,C2,C2
https://github.com/tensorflow/tensorflow/issues/50353,C1,C1,C1,C1,E2,E2,C1
https://github.com/tensorflow/tensorflow/issues/37104,C1,C1,G2,C1,C1,G2,C1
https://github.com/tensorflow/tensorflow/issues/57359,A3,G2,G2,G2,G2,G3,G2
https://github.com/tensorflow/tensorflow/issues/40056,A1,G4,A1,G1,G1,A1,A1
https://github.com/tensorflow/tensorflow/issues/39834,A4,C2,C2,C2,C2,C2,C2
https://github.com/tensorflow/tensorflow/issues/43608,C1,E3,C1,C1,E1,C1,C1
https://github.com/tensorflow/tensorflow/issues/50458,E3,C1,C1,C2,C1,C1,C1
https://github.com/tensorflow/tensorflow/issues/43541,C1,C1,F1,G2,F1,C1,C1
https://github.com/tensorflow/tensorflow/issues/37393,D2,G4,G4,F1,G4,G4,G4
https://github.com/tensorflow/tensorflow/issues/53529,G3,G3,G3,A2,G3,G3,G3
https://github.com/tensorflow/tensorflow/issues/35585,F1,F1,F1,F1,B1,C2,F1
https://github.com/tensorflow/tensorflow/issues/57052,G1,G1,G1,G4,G4,G1,G1
https://github.com/tensorflow/tensorflow/issues/37376,A1,E1,E1,E1,E1,E1,E1
https://github.com/tensorflow/tensorflow/issues/59117,G4,G4,G4,G4,G1,G4,G4
https://github.com/tensorflow/tensorflow/issues/60101,A4,A4,A4,A4,A4,F1,A4
https://github.com/tensorflow/tensorflow/issues/40622,C1,C1,G4,C1,C1,C1,C1
https://github.com/tensorflow/tensorflow/issues/40228,C2,F2,F2,F2,F2,A1,F2
https://github.com/tensorflow/tensorflow/issues/53380,G4,G3,G4,G4,G4,G1,G4
https://github.com/tensorflow/tensorflow/issues/51031,A1,A1,A1,F1,A1,A1,A1
https://github.com/tensorflow/tensorflow/issues/48697,A4,B3,A4,A4,A4,A4,A4
https://github.com/tensorflow/tensorflow/issues/37512,C2,C2,C2,C2,G3,B3,C2
https://github.com/tensorflow/tensorflow/issues/58740,G3,G3,C2,C1,G3,C2,G3
https://github.com/tensorflow/tensorflow/issues/41846,C2,C1,C2,G2,C2,G2,C2
https://github.com/tensorflow/tensorflow/issues/42119,G2,G2,G2,G4,G4,G2,G2
https://github.com/tensorflow/tensorflow/issues/60831,A4,G4,A4,F1,F1,A4,A4
https://github.com/tensorflow/tensorflow/issues/60256,A1,F1,A1,A1,A1,A1,A1
https://github.com/tensorflow/tensorflow/issues/41980,F2,F2,B3,F2,F2,F2,F2
https://github.com/tensorflow/tensorflow/issues/42412,F1,C2,C2,C2,B3,C2,C2
https://github.com/tensorflow/tensorflow/issues/60309,G2,G2,G2,G2,G2,E1,G2
https://github.com/tensorflow/tensorflow/issues/35813,G4,B1,G1,G1,G1,G1,G1
https://github.com/tensorflow/tensorflow/issues/41539,F2,E1,F2,F2,E1,F2,F2
https://github.com/tensorflow/tensorflow/issues/53816,F1,F1,E2,F1,F1,F1,F1
https://github.com/tensorflow/tensorflow/issues/36700,G3,F1,C1,F1,F1,F1,F1
https://github.com/tensorflow/tensorflow/issues/60330,B1,B1,B1,G2,B1,B1,B1
https://github.com/tensorflow/tensorflow/issues/47245,G5,G5,G5,B1,G5,G5,G5
https://github.com/tensorflow/tensorflow/issues/58339,A3,A4,A4,A4,A4,A4,A4
https://github.com/tensorflow/tensorflow/issues/36025,G2,G2,G2,E3,G2,B2,G2
https://github.com/tensorflow/tensorflow/issues/59506,B3,G5,G5,G5,G5,G5,G5
https://github.com/tensorflow/tensorflow/issues/61314,A2,G2,G2,G2,E1,G2,G2
https://github.com/tensorflow/tensorflow/issues/61915,G2,C1,C1,C1,C1,C1,C1
https://github.com/tensorflow/tensorflow/issues/43687,C1,C2,C1,G2,C2,G2,C1
https://github.com/tensorflow/tensorflow/issues/35987,B1,C1,B1,B1,C1,B1,B1
https://github.com/tensorflow/tensorflow/issues/56287,B1,A2,B1,B1,B1,B1,B1
https://github.com/tensorflow/tensorflow/issues/39989,B1,A4,G4,B1,A4,B1,B1
https://github.com/tensorflow/tensorflow/issues/44011,C1,C1,C1,B1,C1,C1,C1
https://github.com/tensorflow/tensorflow/issues/35524,B1,B1,B1,F1,B2,B1,B1
https://github.com/tensorflow/tensorflow/issues/40907,G2,A1,G2,G2,G2,F1,G2
https://github.com/tensorflow/tensorflow/issues/60941,F2,E1,F1,F2,F2,F2,F2
https://github.com/tensorflow/tensorflow/issues/56135,G1,G1,G1,A4,E2,G1,G1
https://github.com/tensorflow/tensorflow/issues/46419,G2,G2,G2,G2,E2,G1,G2
https://github.com/tensorflow/tensorflow/issues/58469,G2,F1,F1,F1,F1,F1,F1
https://github.com/tensorflow/tensorflow/issues/43495,G3,G3,G1,A1,G3,G3,G3
https://github.com/tensorflow/tensorflow/issues/36998,G2,G2,G2,D1,G2,G2,G2
https://github.com/tensorflow/tensorflow/issues/59413,A4,A4,A4,A4,A4,A4,A4
https://github.com/tensorflow/tensorflow/issues/46247,B1,B1,B1,B1,B1,B1,B1
https://github.com/tensorflow/tensorflow/issues/39651,G3,G3,G3,G3,G3,G3,G3
https://github.com/tensorflow/tensorflow/issues/50423,A3,A3,A3,A3,A3,A3,A3
https://github.com/tensorflow/tensorflow/issues/60191,C1,C1,C1,C1,C1,C1,C1
https://github.com/tensorflow/tensorflow/issues/40795,G2,G2,G2,G2,G2,G2,G2
https://github.com/tensorflow/tensorflow/issues/47474,A3,A3,A3,A3,A3,A3,A3
https://github.com/tensorflow/tensorflow/issues/58851,A3,A3,A3,A3,A3,A3,A3
https://github.com/tensorflow/tensorflow/issues/56207,A4,A4,A4,G2,A4,G2,A4
https://github.com/tensorflow/tensorflow/issues/42564,G4,G4,G2,G4,G4,G2,G4
https://github.com/tensorflow/tensorflow/issues/58402,G2,G2,G2,G2,G2,G2,G2
https://github.com/tensorflow/tensorflow/issues/43527,G3,G3,G3,G3,G3,G3,G3
https://github.com/tensorflow/tensorflow/issues/62234,A4,A4,A4,A4,A4,A4,A4
https://github.com/tensorflow/tensorflow/issues/55495,B1,B1,B1,B1,B1,B1,B1
https://github.com/tensorflow/tensorflow/issues/58534,C2,C2,C2,C2,C2,C2,C2
https://github.com/tensorflow/tensorflow/issues/44447,G5,G5,G5,G5,G5,G5,G5
https://github.com/tensorflow/tensorflow/issues/41460,C1,C1,C1,C1,C1,C1,C1
https://github.com/tensorflow/tensorflow/issues/50952,C2,C2,C1,F1,C2,C1,C2
https://github.com/tensorflow/tensorflow/issues/45573,G3,G3,G3,G3,G3,G3,G3
https://github.com/tensorflow/tensorflow/issues/43824,G3,G3,G3,G3,G3,G3,G3
https://github.com/tensorflow/tensorflow/issues/43650,E2,E2,E2,E2,E2,E2,E2
https://github.com/tensorflow/tensorflow/issues/61791,B1,B1,B1,B1,B1,B1,B1
https://github.com/tensorflow/tensorflow/issues/38225,C2,G4,G4,G4,C2,G4,G4
https://github.com/tensorflow/tensorflow/issues/60537,A4,G4,G4,G1,A4,G4,G4
https://github.com/tensorflow/tensorflow/issues/44046,G4,G4,G4,G4,G4,G4,G4
https://github.com/tensorflow/tensorflow/issues/44879,G5,G5,G5,G5,G5,G5,G5
https://github.com/tensorflow/tensorflow/issues/46621,F2,F2,F2,F2,F2,F2,F2
https://github.com/tensorflow/tensorflow/issues/56393,B1,B1,B1,B1,B1,B1,B1
https://github.com/tensorflow/tensorflow/issues/58488,C2,C2,C2,C2,C2,C2,C2
https://github.com/tensorflow/tensorflow/issues/37622,A3,A3,A3,A3,A3,A3,A3
https://github.com/tensorflow/tensorflow/issues/39873,A4,A4,A4,A4,A4,A4,A4
https://github.com/tensorflow/tensorflow/issues/58261,C1,G2,G4,G2,C1,G2,G2
https://github.com/tensorflow/tensorflow/issues/57840,A1,A1,A1,A1,A1,A1,A1
https://github.com/tensorflow/tensorflow/issues/41413,C1,C1,F1,C1,C1,F1,C1
https://github.com/tensorflow/tensorflow/issues/56110,G3,G3,G3,G3,G3,G3,G3
https://github.com/tensorflow/tensorflow/issues/40027,G5,G5,G2,G5,G2,G5,G5
https://github.com/tensorflow/tensorflow/issues/46840,C1,C1,C1,C1,C1,C1,C1
https://github.com/tensorflow/tensorflow/issues/37444,G4,G4,G4,G4,G4,G4,G4
https://github.com/tensorflow/tensorflow/issues/60926,F2,F2,F2,F2,F2,F2,F2
https://github.com/tensorflow/tensorflow/issues/59088,F1,F1,F1,F1,F1,F1,F1
https://github.com/tensorflow/tensorflow/issues/56473,A3,A3,A3,A3,A3,A3,A3
