model,iterations,mutation_models,Output_difference_PyTorch_TensorFlow
xception,1,xception-imagenet_origin-MShape0-SpecialI2-MDtype11-LMerg39-MDtype41-MParam53-MDtype96_1,-1.0
xception,2,xception-imagenet_origin-Edge4-LMerg23-MDtype80_2,-1.0
xception,3,xception-imagenet_origin-MShape0-SpecialI2-MDims45-NLAll76_3,-1.0
xception,4,xception-imagenet_origin-MShape0-SpecialI2_4,-1.0
xception,5,xception-imagenet_origin-MShape0-SpecialI2-MDims45-Edge46_5,-1.0
xception,6,xception-imagenet_origin-MDtype3-Edge5_6,-1.0
xception,7,xception-imagenet_origin-MDtype3-Edge30-MDtype61_7,-1.0
xception,8,xception-imagenet_origin-Edge4-NLAll13-MDims18_8,-1.0
xception,9,xception-imagenet_origin-MShape0-NLAll9-MShape36_9,-1.0
xception,10,xception-imagenet_origin-MShape0-SpecialI2-MDtype11-LMerg39-MDtype41-MParam53-SpecialI68_10,-1.0
xception,11,xception-imagenet_origin-MDtype3-MParam38-Edge93_11,-1.0
xception,12,xception-imagenet_origin-MShape0-NLAll9-NLAll33_12,-1.0
xception,13,xception-imagenet_origin-MDtype3-Edge5-MParam27-NLAll37-MParam57-MDtype63-MDtype74_13,-1.0
xception,14,xception-imagenet_origin-MShape0-SpecialI2-MDtype11-MShape28_14,-1.0
xception,15,xception-imagenet_origin-MShape1-LMerg10-Edge25-MDtype29_15,-1.0
xception,16,xception-imagenet_origin-MShape0-SpecialI2-MDims45-MDtype58_16,-1.0
xception,17,xception-imagenet_origin-MDtype3-Edge5-MParam27-NLAll37-MParam57-MDtype63-MDtype74-NLAll79_17,-1.0
xception,18,xception-imagenet_origin-MShape1-MDtype16-SpecialI59_18,-1.0
xception,19,xception-imagenet_origin-MShape0-SpecialI2-MDtype11-LMerg39-MDtype41-MDtype69_19,-1.0
xception,20,xception-imagenet_origin-MShape0-SpecialI2-MDtype11-LMerg39-NLAll91-MDims99_20,-1.0
xception,21,xception-imagenet_origin-MShape0-SpecialI2-MDtype11-LMerg39_21,-1.0
xception,22,xception-imagenet_origin-MShape1-LMerg10-Edge25_22,9.481652677059174
