model,iterations,mutation_models,Output_difference_PyTorch_TensorFlow
xception,1,xception-imagenet_origin0-NS14-81_1,2.91038293909196e-07
xception,2,xception-imagenet_origin0-WS9-54_2,4.074536228415582e-07
xception,3,xception-imagenet_origin0-NS7-47_3,4.656612588860298e-07
xception,4,xception-imagenet_origin0-NS5-29_4,3.492459725862318e-07
xception,5,xception-imagenet_origin0-WS2-13_5,3.492459583753771e-07
xception,6,xception-imagenet_origin0-NAI15-80_6,3.492459441645224e-07
xception,7,xception-imagenet_origin0-GF1-8_7,5.238688984832152e-07
xception,8,xception-imagenet_origin0-NAI1-3_8,3.492459867970865e-07
xception,9,xception-imagenet_origin0-WS7-45_9,4.656612730968845e-07
xception,10,xception-imagenet_origin0-WS3-14_10,4.656612588860298e-07
xception,11,xception-imagenet_origin0-ARep10-60_11,4.656612730968845e-07
xception,12,xception-imagenet_origin0-NS12-76_12,4.656612873077393e-07
xception,13,xception-imagenet_origin0-NAI16-86_13,3.492459583753771e-07
xception,14,xception-imagenet_origin0-GF4-40_14,4.074536086307035e-07
xception,15,xception-imagenet_origin0-NAI17-94_15,2.328306294430149e-07
xception,16,xception-imagenet_origin0-NS8-56_16,5.238689659847751e-07
xception,17,xception-imagenet_origin0-ARep9-51_17,3.492459583753771e-07
xception,18,xception-imagenet_origin0-ARem1-1_18,4.656612446751751e-07
xception,19,xception-imagenet_origin0-NS6-43_19,2.328306436538696e-07
xception,20,xception-imagenet_origin0-NEB6-36_20,4.656612873077393e-07
xception,21,xception-imagenet_origin0-NS9-62_21,3.492459725862318e-07
xception,22,xception-imagenet_origin0-WS1-4_22,4.07453580208994e-07
xception,23,xception-imagenet_origin0-NEB10-79_23,5.238689375630656e-07
xception,24,xception-imagenet_origin0-NAI8-33_24,2.328306294430149e-07
xception,25,xception-imagenet_origin0-GF3-27_25,2.91038293909196e-07
xception,26,xception-imagenet_origin0-NS2-19_26,5.238689126940699e-07
xception,27,xception-imagenet_origin0-ARem4-18_27,1.746229649768338e-07
xception,28,xception-imagenet_origin0-ARem12-93_28,2.328306436538696e-07
xception,29,xception-imagenet_origin0-NAI12-58_29,3.492459441645224e-07
xception,30,xception-imagenet_origin0-GF8-67_30,4.656612873077393e-07
xception,31,xception-imagenet_origin0-ARep14-91_31,5.238689375630656e-07
xception,32,xception-imagenet_origin0-ARem3-11_32,3.492459583753771e-07
xception,33,xception-imagenet_origin0-ARem6-38_33,4.656613050713077e-07
xception,34,xception-imagenet_origin0-WS8-52_34,5.238689091413562e-07
xception,35,xception-imagenet_origin0-WS4-16_35,5.238689269049246e-07
xception,36,xception-imagenet_origin0-NS11-71_36,1.164153289323622e-07
xception,37,xception-imagenet_origin0-GF6-64_37,4.074536228415582e-07
xception,38,xception-imagenet_origin0-GF10-77_38,5.238689375630656e-07
xception,39,xception-imagenet_origin0-NEB2-22_39,5.238689375630656e-07
xception,40,xception-imagenet_origin0-ARep7-39_40,2.910383081200507e-07
xception,41,xception-imagenet_origin0-ARep8-48_41,2.328306436538696e-07
xception,42,xception-imagenet_origin0-WS14-84_42,3.492459583753771e-07
xception,43,xception-imagenet_origin0-ARep12-70_43,5.82076587818392e-07
xception,44,xception-imagenet_origin0-ARem5-34_44,4.656612730968845e-07
xception,45,xception-imagenet_origin0-NAI9-35_45,5.820766020292467e-07
xception,46,xception-imagenet_origin0-NS15-82_46,4.656612908604529e-07
xception,47,xception-imagenet_origin0-NAI2-5_47,2.328306436538696e-07
xception,48,xception-imagenet_origin0-NAI13-59_48,4.074536370524129e-07
xception,49,xception-imagenet_origin0-ARep3-10_49,4.074536228415582e-07
xception,50,xception-imagenet_origin0-GF9-69_50,2.91038293909196e-07
xception,51,xception-imagenet_origin0-NEB12-87_51,2.91038293909196e-07
xception,52,xception-imagenet_origin0-ARem8-68_52,1.746229791876885e-07
xception,53,xception-imagenet_origin0-ARep4-23_53,4.074536086307035e-07
xception,54,xception-imagenet_origin0-WS12-68_54,5.238689375630656e-07
xception,55,xception-imagenet_origin0-NAI4-9_55,2.328306578647243e-07
xception,56,xception-imagenet_origin0-NAI11-50_56,2.328306436538696e-07
xception,57,xception-imagenet_origin0-GF13-92_57,4.074535944198487e-07
xception,58,xception-imagenet_origin0-ARep11-63_58,4.074536228415582e-07
xception,59,xception-imagenet_origin0-NS16-95_59,1.746229649768338e-07
xception,60,xception-imagenet_origin0-NEB9-55_60,4.074536228415582e-07
xception,61,xception-imagenet_origin0-ARep6-32_61,3.492459583753771e-07
xception,62,xception-imagenet_origin0-NEB1-21_62,3.492459583753771e-07
xception,63,xception-imagenet_origin0-NEB3-24_63,1.746229649768338e-07
xception,64,xception-imagenet_origin0-WS11-61_64,4.074535944198487e-07
xception,65,xception-imagenet_origin0-GF5-49_65,3.492459725862318e-07
xception,66,xception-imagenet_origin0-ARep1-2_66,3.492459867970865e-07
xception,67,xception-imagenet_origin0-NAI18-96_67,1.746229933985433e-07
xception,68,xception-imagenet_origin0-ARem11-85_68,4.074536228415582e-07
xception,69,xception-imagenet_origin0-NEB4-25_69,1.746229649768338e-07
