mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
GF,5,"(1.9621509, 1.9679434)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,10,"(1.9517875, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,15,"(1.957693, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,20,"(1.9521096, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,25,"(1.9523232, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,30,"(1.9525532, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,35,"(1.9395525, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,40,"(1.9415392, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,45,"(1.9324813, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,50,"(1.9447595, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,55,"(1.9442033, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,60,"(1.9423846, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,65,"(1.947755, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,70,"(1.9416887, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,75,"(1.9416385, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,80,"(1.9496307, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,85,"(1.9534559, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,90,"(1.9492062, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,95,"(1.9548001, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
GF,100,"(1.9597304, nan)","(-100.0, -100.0)","(-100.0, -100.0)"
WS,5,"(1.6220866, 1.9710052)","(-100.0, -100.0)","(-100.0, -100.0)"
WS,10,"(1.4077755, 1.9732736)","(-100.0, -100.0)","(-100.0, -100.0)"
WS,15,"(1.3601787, 2.273943)","(-100.0, -100.0)","(-100.0, -100.0)"
WS,20,"(1.3411223, 2.2517633)","(-100.0, -100.0)","(-100.0, -100.0)"
WS,25,"(1.2525907, 2.330114)","(-100.0, -100.0)","(-100.0, -100.0)"
WS,30,"(1.2690929, 2.5587249)","(-100.0, -100.0)","(-100.0, -100.0)"
WS,35,"(1.2787672, 2.3496823)","(-100.0, -100.0)","(-100.0, -100.0)"
WS,40,"(1.270397, 4.0932417)","(-100.0, -100.0)","(-100.0, -100.0)"
WS,45,"(1.2590032, 3.1412683)","(-100.0, -100.0)","(-100.0, -100.0)"
WS,50,"(1.2572759, 3.38337)","(-100.0, -100.0)","(-100.0, -100.0)"
WS,55,"(1.2952615, 4.060978)","(-100.0, -100.0)","(-100.0, -100.0)"
WS,60,"(1.2692455, 2.336732)","(-100.0, -100.0)","(-100.0, -100.0)"
WS,65,"(1.2768226, 2.3802867)","(-100.0, -100.0)","(-100.0, -100.0)"
