mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
GF,5,"(3.0784219e-07, 2.2360946e-07)","(0.0027713368, 0.002987778)","(0.002771366, 0.0029877827)"
GF,10,"(3.0972754e-07, 1.927667e-07)","(0.0027733347, 0.0030102667)","(0.0027733697, 0.0030102069)"
GF,15,"(3.1291145e-07, 1.8168966e-07)","(0.0027779469, 0.0030051004)","(0.0027779804, 0.0030050392)"
GF,20,"(3.1770392e-07, 1.6962055e-07)","(0.0027749855, 0.0030030808)","(0.002775021, 0.0030030478)"
GF,25,"(3.1583676e-07, 8.67505e-07)","(0.002777214, 0.0029932545)","(0.002777252, 0.0029931162)"
GF,30,"(3.154374e-07, 4.682835e-07)","(0.0027772046, 0.0030106204)","(0.0027772407, 0.0030106057)"
GF,35,"(3.2364218e-07, 2.5345997e-07)","(0.0027770437, 0.0029959509)","(0.0027770896, 0.0029959367)"
GF,40,"(3.2079774e-07, 3.1188455e-07)","(0.0027773844, 0.0029954754)","(0.0027774214, 0.002995462)"
GF,45,"(3.1650856e-07, 8.018745e-07)","(0.0027783087, 0.002997564)","(0.002778343, 0.0029975341)"
GF,50,"(3.057643e-07, 9.1820203e-07)","(0.002782095, 0.0029754697)","(0.002782142, 0.002975361)"
GF,55,"(4.1517396e-07, 6.542133e-07)","(0.0029268186, 0.0029877343)","(0.0029268092, 0.0029879357)"
GF,60,"(4.0104044e-07, 6.753791e-07)","(0.0029239575, 0.0030078797)","(0.002923951, 0.0030082173)"
GF,65,"(4.0821578e-07, 5.3719737e-07)","(0.0029246681, 0.0030053447)","(0.0029246665, 0.0030055994)"
GF,70,"(3.73304e-07, 5.3719737e-07)","(0.0029054973, 0.0030053447)","(0.002905475, 0.0030055994)"
GF,75,"(3.824742e-07, 7.5445536e-07)","(0.0028978821, 0.0030069328)","(0.002897863, 0.0030069712)"
GF,80,"(3.7320095e-07, 2.6914813e-07)","(0.0028970619, 0.0029733346)","(0.0028970477, 0.0029732985)"
GF,85,"(3.8453717e-07, 3.056266e-07)","(0.002896867, 0.002968698)","(0.0028968498, 0.002968656)"
GF,90,"(3.8488088e-07, 2.3081377e-07)","(0.0028949173, 0.0029664852)","(0.0028949017, 0.0029664831)"
GF,95,"(3.8640727e-07, 2.3732558e-07)","(0.0028975827, 0.0029793226)","(0.002897563, 0.0029793507)"
GF,100,"(3.9164743e-07, 2.241505e-07)","(0.002898006, 0.002992706)","(0.0028979918, 0.0029926952)"
WS,5,"(4.4467174e-06, 1.1113931e-05)","(0.003234686, 0.002964429)","(0.0032332817, 0.0029695164)"
WS,10,"(7.846097e-06, 8.962977e-06)","(0.0037731647, 0.0013460994)","(0.003770877, 0.0013421106)"
WS,15,"(4.8323886e-06, 3.4504126e-06)","(0.0030018538, 0.0006197409)","(0.0030027402, 0.000618769)"
WS,20,"(4.290939e-06, 3.1363863e-06)","(0.0024210778, 0.00050619105)","(0.0024213707, 0.0005073686)"
WS,25,"(5.0637523e-06, 9.14411e-06)","(0.002342572, 0.00020397239)","(0.0023428998, 0.00020037194)"
WS,30,"(5.127079e-06, 3.9396023e-06)","(0.0026439677, 0.00017893633)","(0.00264435, 0.00017909224)"
WS,35,"(6.5159097e-06, 4.168955e-06)","(0.0032913839, 5.9307033e-05)","(0.0032914607, 6.1348066e-05)"
WS,40,"(4.472373e-06, 1.2867173e-06)","(0.0025471987, 0.00010074413)","(0.0025468038, 0.00010102481)"
WS,45,"(4.521468e-06, 3.251678e-07)","(0.0025945916, 9.017222e-06)","(0.0025945809, 8.964172e-06)"
WS,50,"(4.138159e-06, 3.0158242e-07)","(0.0026192123, 4.859143e-06)","(0.002619179, 4.758936e-06)"
WS,55,"(4.0805157e-06, 3.9664255e-07)","(0.0026557103, 3.7101042e-06)","(0.0026552733, 3.5219011e-06)"
WS,60,"(4.0797822e-06, 3.7069475e-07)","(0.002631205, 8.793759e-06)","(0.0026308864, 8.765363e-06)"
WS,65,"(4.004117e-06, 2.084502e-07)","(0.002619156, 2.3249745e-06)","(0.0026188586, 2.2597983e-06)"
WS,70,"(4.005666e-06, 2.1907229e-07)","(0.0026208584, 1.8469658e-06)","(0.002620488, 1.9587171e-06)"
WS,75,"(3.764769e-06, 2.4251116e-07)","(0.0026151433, 5.129878e-06)","(0.0026147598, 5.114259e-06)"
WS,80,"(3.547466e-06, 1.7313982e-07)","(0.0021370545, 2.122755e-06)","(0.0021364489, 2.0912464e-06)"
WS,85,"(3.3446927e-06, 2.1561927e-07)","(0.0019036535, 2.6622351e-06)","(0.001903268, 2.6719129e-06)"
WS,90,"(3.2662037e-06, 1.7021603e-07)","(0.0018818264, 1.3386391e-06)","(0.001881441, 1.3815854e-06)"
WS,95,"(3.2516048e-06, 1.7891962e-07)","(0.0018824341, 2.5183954e-06)","(0.0018820382, 2.5817503e-06)"
WS,100,"(3.3888457e-06, 2.0946999e-07)","(0.0018559614, 2.8207862e-06)","(0.0018555972, 2.8340066e-06)"
RA,5,"(1.2636566e-05, 2.9215713e-07)","(0.005858153, 0.0031284923)","(0.005860575, 0.0031285314)"
RA,10,"(5.3426975e-05, 1.1529053e-05)","(0.00012896142, 0.012130135)","(0.0001375284, 0.012128642)"
RA,15,"(0.00017099209, 1.3583966e-05)","(0.11783733, 0.007962579)","(0.117844015, 0.00797117)"
RA,20,"(0.00013477211, 1.3972528e-05)","(0.12694952, 2.8156792e-05)","(0.12699126, 3.286476e-05)"
RA,25,"(0.0001729227, 4.582176e-06)","(0.14183846, 0.0007613143)","(0.14190243, 0.0007620397)"
RA,30,"(5.456533e-05, 1.0526484e-05)","(0.00023708884, 1.6193999e-05)","(0.00024269897, 1.794268e-05)"
RA,35,"(0.00010234584, 4.9308205e-06)","(0.044393938, 8.019286e-06)","(0.044412572, 1.1011847e-05)"
RA,40,"(1.3419868e-05, 2.129747e-06)","(0.0064617298, 8.346614e-06)","(0.0064622974, 8.113918e-06)"
RA,45,"(9.179094e-05, 3.960258e-06)","(0.04095585, 7.648881e-06)","(0.04096418, 7.856768e-06)"
RA,50,"(9.179094e-05, 4.2476154e-06)","(0.04095585, 7.253758e-06)","(0.04096418, 6.802907e-06)"
