mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
PM,2,"(6.0571867e-05, 6.057388e-05)","(0.22138543, 0.21412265)","(0.22139543, 0.21413232)"
PM,4,"(0.32297865, 0.042072445)","(0.21711278, 0.24428345)","(0.37752017, 0.22263609)"
PM,6,"(0.2938203, 0.0399198)","(0.21543276, 0.11579428)","(0.34517887, 0.14380379)"
PM,8,"(0.22926901, 0.039735723)","(0.11333964, 0.09610471)","(0.22207558, 0.1065859)"
PM,10,"(0.23220813, 0.048957303)","(0.09126025, 0.087631226)","(0.18761478, 0.090622135)"
PM,12,"(0.23220813, 0.048957303)","(0.09126025, 0.087631226)","(0.18761478, 0.090622135)"
PM,14,"(0.23220813, 0.048957303)","(0.09126025, 0.087631226)","(0.18761478, 0.090622135)"
PM,16,"(0.23220813, 0.048957303)","(0.09126025, 0.087631226)","(0.18761478, 0.090622135)"
PM,18,"(0.061264038, 0.015925089)","(0.0015055338, 0.0053710938)","(0.06109619, 0.013259888)"
PM,20,"(0.061264038, 0.013890584)","(0.0015055338, 0.0008773804)","(0.06109619, 0.013908386)"
PM,22,"(0.061141968, 0.0021514893)","(0.0, 0.0018234253)","(0.061141968, 0.0026779175)"
PM,24,"(0.5822296, 0.10127258)","(0.0, 0.00042978922)","(0.5822296, 0.101641335)"
PM,26,"(0.64441425, 0.08719381)","(0.0, 0.00012207031)","(0.64441425, 0.08721415)"
PM,28,"(0.51914805, 0.087275185)","(2.0360007e-05, 0.00017547607)","(0.5191379, 0.08740997)"
PM,30,"(0.51914805, 0.087272644)","(2.0360007e-05, 0.00017293294)","(0.5191379, 0.08740997)"
PM,32,"(0.5198956, 0.08163961)","(5.850696e-05, 0.00032552084)","(0.5198986, 0.08192953)"
PM,34,"(0.45850816, 0.05357361)","(1.4959369e-08, 0.0002822876)","(0.45850816, 0.05355072)"
PM,36,"(0.45850816, 0.05357361)","(1.4959369e-08, 0.0002822876)","(0.45850816, 0.05355072)"
PM,38,"(0.457508, 0.05351766)","(1.4959369e-08, 0.0002263387)","(0.457508, 0.05353546)"
PM,40,"(0.457508, 0.05351766)","(1.4959369e-08, 0.0002263387)","(0.457508, 0.05353546)"
SM,2,"(2.210802e-05, 5.406226e-05)","(0.041159403, 0.20303749)","(0.041160535, 0.20302983)"
SM,4,"(4.3286727e-07, 2.6690903e-05)","(0.00037207804, 0.00078079716)","(0.00037216768, 0.000790868)"
SM,6,"(4.3286695e-07, 3.8225877e-05)","(0.00037207804, 0.0004603721)","(0.00037216768, 0.00045727994)"
SM,8,"(4.5449892e-07, 3.5990809e-06)","(0.000483075, 4.525014e-05)","(0.00048317082, 4.3952023e-05)"
SM,10,"(6.8608205e-07, 4.133426e-08)","(0.0008285311, 6.725447e-07)","(0.0008284433, 6.732371e-07)"
SM,12,"(4.7377634e-07, 3.981131e-08)","(0.00050961605, 4.228983e-07)","(0.00050960365, 4.413586e-07)"
SM,14,"(2.033759e-08, 1.6186277e-08)","(2.255304e-05, 1.7726454e-07)","(2.2551998e-05, 1.7970713e-07)"
SM,16,"(8.979593e-09, 4.303729e-09)","(9.160798e-06, 6.853649e-08)","(9.159678e-06, 7.166788e-08)"
SM,18,"(3.6558656e-09, 4.302971e-09)","(4.4494136e-06, 6.853725e-08)","(4.450147e-06, 7.166788e-08)"
SM,20,"(2.0781954e-10, 5.830316e-09)","(2.0843588e-07, 4.9846147e-08)","(2.0837024e-07, 5.3180354e-08)"
SM,22,"(5.426652e-11, 3.1407885e-10)","(5.927321e-08, 1.178887e-08)","(5.9266387e-08, 1.1850413e-08)"
SM,24,"(4.0017767e-11, 3.1407885e-10)","(5.1474064e-08, 1.178887e-08)","(5.1463456e-08, 1.1850413e-08)"
SM,26,"(6.9727925e-11, 1.4551915e-11)","(6.119361e-08, 4.7639332e-09)","(6.117133e-08, 4.7718154e-09)"
SM,28,"(6.9727925e-11, 1.4551915e-11)","(6.119361e-08, 4.7639332e-09)","(6.117133e-08, 4.7718154e-09)"
SM,30,"(6.9424765e-11, 1.4551915e-11)","(6.695692e-08, 4.7639332e-09)","(6.691812e-08, 4.7718154e-09)"
SM,32,"(6.699944e-11, 1.3339256e-11)","(4.9094222e-08, 4.4689537e-09)","(4.9070575e-08, 4.4810804e-09)"
SM,34,"(7.579122e-12, 9.094947e-13)","(7.252235e-09, 6.924286e-10)","(7.248294e-09, 6.927318e-10)"
SM,36,"(6.9727926e-12, 9.094947e-13)","(7.252917e-09, 6.924286e-10)","(7.250795e-09, 6.927318e-10)"
SM,38,"(6.9727926e-12, 9.094947e-13)","(7.252917e-09, 6.924286e-10)","(7.250795e-09, 6.927318e-10)"
SM,40,"(2.4253193e-12, 0.0)","(2.1663407e-09, 0.0)","(2.1663407e-09, 0.0)"
DM,2,"(3.663513e-06, 6.0570233e-05)","(0.005458825, 0.22138543)","(0.0054576076, 0.22139543)"
DM,4,"(1.2330819e-06, 3.7381473e-05)","(0.0012853366, 0.083841085)","(0.0012850654, 0.08385008)"
DM,6,"(5.6708966e-08, 7.598828e-09)","(7.1186645e-05, 1.44742735e-05)","(7.1152135e-05, 1.4471752e-05)"
DM,8,"(1.2661985e-08, 8.337035e-12)","(2.2954891e-05, 3.5538505e-09)","(2.2951346e-05, 3.5491514e-09)"
DM,10,"(9.520894e-10, 8.337035e-12)","(9.4629127e-07, 3.5538505e-09)","(9.4640086e-07, 3.5491514e-09)"
DM,12,"(4.095758e-10, 0.0)","(4.3860254e-07, 0.0)","(4.3864543e-07, 0.0)"
DM,14,"(4.095758e-10, 0.0)","(4.3860254e-07, 0.0)","(4.3864543e-07, 0.0)"
