mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
LS,2,"(7.3837724, 2.979389)","(13.691258, 2.7714238)","(9.04179, 3.6264331)"
LS,4,"(4.5129743, 2.1540093)","(6.1752954, 2.8720295)","(3.2187343, 1.4517912)"
LS,6,"(4.5129743, 3.7015796)","(8.14641, 3.789016)","(5.1025543, 2.358239)"
LS,8,"(7.315107, 2.4989395)","(40.246376, 3.1338456)","(33.955936, 2.1028297)"
LS,10,"(4.4482317, 1.8831095)","(11.851862, 4.8263025)","(8.532937, 4.6585703)"
LS,12,"(7.3837724, 3.5088952)","(54.139214, 4.740144)","(47.809715, 3.3247294)"
LS,14,"(3.0712132, 3.5088952)","(10.164215, 8.100899)","(8.156534, 7.0149164)"
LS,16,"(3.0570474, 2.6431842)","(10.607566, 17.425491)","(8.598777, 15.520226)"
LS,18,"(7.3837724, 3.3200061)","(61.534843, 18.322718)","(55.205345, 17.378025)"
LS,20,"(3.0570474, 4.5500007)","(10.948692, 54.473255)","(8.972456, 50.86533)"
LS,22,"(4.4367514, 4.5500007)","(15.148768, 42.928223)","(11.695767, 40.180428)"
LS,24,"(4.5129743, 4.5500007)","(15.23218, 22.127611)","(11.737333, 21.48222)"
LS,26,"(3.0570474, 3.3200061)","(11.047737, 17.16718)","(9.08189, 16.945553)"
LS,28,"(3.05322, 3.3200061)","(11.0064335, 20.247532)","(9.089079, 20.17376)"
LS,30,"(3.0620897, 2.6431842)","(11.019986, 79.59228)","(9.092525, 78.01093)"
LS,32,"(7.3837724, 2.6431842)","(62.772717, 86.56376)","(56.44322, 84.98241)"
LS,34,"(3.065415, 3.3200061)","(11.020497, 69.00192)","(9.094966, 67.429886)"
LS,36,"(4.4433417, 3.3200061)","(15.228015, 37.350758)","(11.775518, 36.399986)"
LS,38,"(7.3837724, 3.3200061)","(62.779335, 43.10179)","(56.449837, 42.330273)"
LS,40,"(7.3837724, 3.3200061)","(62.779755, 48.10746)","(56.450264, 46.268837)"
PM,2,"(3.0570474, 3.0570474)","(2.3811443, 2.3811443)","(3.8498778, 3.8498778)"
PM,4,"(3.0570474, 3.0570474)","(2.3795383, 2.3795383)","(3.5688407, 3.5688407)"
PM,6,"(3.0570474, 3.0570474)","(3.628397, 3.628397)","(2.2362008, 2.2362008)"
PM,8,"(3.069851, 3.0547698)","(4.575647, 4.5758433)","(3.1097877, 3.1097877)"
PM,10,"(3.0671163, 3.0668705)","(4.909646, 4.90174)","(3.5096745, 3.5096745)"
PM,12,"(3.0726113, 3.0532012)","(5.1612883, 5.148204)","(3.8524375, 3.8524375)"
PM,14,"(3.0596125, 3.0501866)","(6.045149, 6.0942626)","(4.7924685, 4.7924685)"
PM,16,"(3.0836475, 3.0691574)","(6.1531963, 6.1448984)","(4.874779, 4.874779)"
PM,18,"(3.0623546, 3.0739846)","(6.938356, 6.978101)","(5.5995607, 5.5995607)"
PM,20,"(3.0817242, 3.0564523)","(6.809268, 6.8166976)","(5.536394, 5.536394)"
PM,22,"(3.0693574, 3.0514228)","(6.7624307, 6.76003)","(5.443204, 5.443204)"
PM,24,"(3.0824623, 3.0639462)","(6.7516685, 6.7414794)","(5.3761306, 5.3761306)"
PM,26,"(3.1048157, 3.0347354)","(7.6308694, 7.595208)","(6.2620993, 6.2620993)"
PM,28,"(3.0247297, 3.0695453)","(7.3149896, 7.3096976)","(6.0092416, 6.0092416)"
PM,30,"(3.0613594, 3.0946307)","(7.1436577, 7.12919)","(5.803468, 5.803468)"
PM,32,"(3.1057134, 3.0679338)","(7.022889, 6.997959)","(5.6512327, 5.6512327)"
PM,34,"(3.00398, 3.0900922)","(6.9312415, 6.9314895)","(5.5477295, 5.5477295)"
PM,36,"(3.0743098, 3.0245407)","(7.58758, 7.5365357)","(6.292449, 6.292449)"
PM,38,"(3.0284905, 3.0322773)","(7.333907, 7.330055)","(6.006339, 6.006339)"
PM,40,"(3.0450053, 3.0696073)","(7.866437, 7.8691607)","(6.558133, 6.558133)"
NEB,5,"(0.53325975, 0.79970145)","(0.5501786, 1.3755322)","(0.3107865, 1.1689011)"
NEB,10,"(0.19153884, 0.9924962)","(0.20926619, 1.4284182)","(0.0635571, 1.3533671)"
NEB,15,"(0.16804461, 1.0830199)","(0.16804461, 0.89782226)","(2.1606684e-08, 0.597574)"
NEB,20,"(0.16804461, 1.0951285)","(0.16804461, 1.0345188)","(2.1606684e-08, 0.5918748)"
NEB,25,"(0.16804461, 1.1175706)","(0.16804461, 0.16435297)","(2.1606684e-08, 0.9942897)"
NEB,30,"(0.16804461, 1.1175706)","(0.16804461, 0.16964817)","(2.1606684e-08, 0.986478)"
NEB,35,"(0.16804461, 1.1175706)","(0.16804461, 0.16964817)","(2.1606684e-08, 0.986478)"
NEB,40,"(0.16804461, 1.1175706)","(0.16804461, 0.16964817)","(2.1606684e-08, 0.986478)"
NEB,45,"(0.16804461, 1.1175706)","(0.16804461, 0.16964817)","(2.1606684e-08, 0.986478)"
NEB,50,"(0.16804461, 1.1175706)","(0.16804461, 0.16964817)","(2.1606684e-08, 0.986478)"
NEB,55,"(0.16804461, 1.1175706)","(0.16804461, 0.16964817)","(2.1606684e-08, 0.986478)"
NEB,60,"(0.16804461, 1.1175706)","(0.16804461, 0.16964817)","(2.1606684e-08, 0.986478)"
NEB,65,"(0.16804461, 1.1175706)","(0.16804461, 0.16964817)","(2.1606684e-08, 0.986478)"
NEB,70,"(0.16804461, 1.1175706)","(0.16804461, 0.16964817)","(2.1606684e-08, 0.986478)"
NEB,75,"(0.16804461, 1.1175706)","(0.16804461, 0.16964817)","(2.1606684e-08, 0.986478)"
NEB,80,"(0.16804461, 1.1175706)","(0.16804461, 0.16964817)","(2.1606684e-08, 0.986478)"
NEB,85,"(0.16804461, 1.1175706)","(0.16804461, 0.16964817)","(2.1606684e-08, 0.986478)"
NEB,90,"(0.16804461, 1.1175706)","(0.16804461, 0.16964817)","(2.1606684e-08, 0.986478)"
NEB,95,"(0.16804461, 1.1175706)","(0.16804461, 0.16964817)","(2.1606684e-08, 0.986478)"
NEB,100,"(0.16804461, 1.1175706)","(0.16804461, 0.16964817)","(2.1606684e-08, 0.986478)"
GF,5,"(3.0570474, 3.0570474)","(4.4637437, 4.4637437)","(2.8572824, 2.8572824)"
GF,10,"(3.0649803, 3.0583942)","(7.7602663, 7.7461815)","(5.869258, 5.8971033)"
GF,15,"(3.0670204, 3.0586967)","(9.627168, 9.539156)","(7.7042913, 7.687842)"
GF,20,"(3.065091, 3.045139)","(10.268145, 10.1531925)","(8.351249, 8.339589)"
GF,25,"(3.0596888, nan)","(10.396842, 10.303469)","(8.516506, nan)"
GF,30,"(3.0535715, nan)","(10.378775, 10.336102)","(8.498438, nan)"
GF,35,"(3.0601134, nan)","(10.378654, 10.360611)","(8.53795, nan)"
GF,40,"(3.0601134, nan)","(10.379617, 10.368958)","(8.538923, nan)"
GF,45,"(3.0801208, nan)","(10.348262, 10.381229)","(8.60241, nan)"
GF,50,"(3.0799413, nan)","(10.354872, 10.409708)","(8.609435, nan)"
GF,55,"(3.0799413, nan)","(10.3548765, 10.513876)","(8.609442, nan)"
GF,60,"(3.0800183, nan)","(10.357714, 10.546156)","(8.615866, nan)"
GF,65,"(3.0823798, nan)","(10.340111, 10.557384)","(8.603198, nan)"
GF,70,"(3.07642, nan)","(10.316266, 10.586818)","(8.609157, nan)"
GF,75,"(3.0872653, nan)","(10.289392, 10.621876)","(8.565615, nan)"
GF,80,"(3.0872653, nan)","(10.289392, 10.674284)","(8.565615, nan)"
GF,85,"(3.0876482, nan)","(10.295741, 10.704378)","(8.601037, nan)"
GF,90,"(3.1010683, nan)","(10.325293, 10.711706)","(8.632532, nan)"
GF,95,"(3.1113434, nan)","(10.385885, 10.710686)","(8.660398, nan)"
GF,100,"(3.1108115, nan)","(10.387899, 10.686895)","(8.665506, nan)"
LD,2,"(3.0570474, 3.8232543)","(2.773521, 3.0323858)","(2.2421281, 2.944628)"
LD,4,"(0.54287285, 1.7640747)","(0.9195649, 3.0070508)","(0.5441929, 1.2804817)"
LD,6,"(0.54287285, 0.16745774)","(1.056962, 0.16743617)","(0.6790142, 0.13987787)"
LD,8,"(0.54287285, 0.46445027)","(1.1767886, 0.17270738)","(0.79034746, 0.3285435)"
LD,10,"(0.54287285, 0.16964814)","(1.2742779, 0.19435571)","(0.88200825, 0.15649961)"
LD,12,"(0.54287285, 0.16964814)","(1.3523884, 0.16936603)","(0.95552886, 0.0028748407)"
LD,14,"(0.54287285, 0.16964814)","(1.4181316, 0.16964044)","(1.0197003, 5.8979447e-05)"
LD,16,"(0.54287285, 0.16964814)","(1.476162, 0.16964044)","(1.0733298, 5.8979447e-05)"
LD,18,"(0.54287285, 0.16964814)","(1.5276409, 0.16964044)","(1.1189282, 5.8979447e-05)"
LD,20,"(0.54287285, 0.16964814)","(1.5723773, 0.16964044)","(1.1571262, 5.8979447e-05)"
LC,2,"(3.0570474, 2.50977)","(2.773521, 3.0218751)","(2.2421281, 2.2941208)"
LC,4,"(3.0570474, 2.50977)","(4.106389, 4.0700226)","(2.457831, 2.7508166)"
LC,6,"(0.5049741, 2.50977)","(0.68315977, 5.6652603)","(0.46005782, 4.195993)"
LC,8,"(0.5049741, 5.115845)","(0.70393735, 12.659527)","(0.4924387, 9.03037)"
LC,10,"(0.5049741, 5.115845)","(0.7227695, 14.631845)","(0.5128864, 10.827839)"
LC,12,"(0.5049741, 5.366248)","(0.7368004, 16.327738)","(0.5249334, 11.871626)"
LC,14,"(0.5049741, 9.872675)","(0.7510919, 13.928737)","(0.5346805, 8.469967)"
LC,16,"(0.5049741, 9.8996525)","(0.76419824, 15.901502)","(0.5431334, 11.39842)"
LC,18,"(0.5049741, 9.753226)","(0.7760359, 16.829676)","(0.5512985, 12.777079)"
LC,20,"(0.5049741, 14.549733)","(0.7865152, 22.206367)","(0.5579356, 18.425974)"
LC,22,"(0.5049741, 14.487053)","(0.7961663, 27.392162)","(0.5629566, 22.460554)"
LC,24,"(0.5049741, 14.495575)","(0.8042722, 38.37022)","(0.5684603, 33.014217)"
LC,26,"(0.5049741, 14.495575)","(0.81123793, 42.681435)","(0.5741271, 37.17801)"
LC,28,"(0.5049741, 15.014906)","(0.81670177, 11.776253)","(0.578294, 15.296904)"
LC,30,"(0.5049741, 15.014906)","(0.8207768, 6.9090185)","(0.5813131, 13.49328)"
LC,32,"(0.5049741, 15.014906)","(0.82374847, 5.456985)","(0.58342636, 13.623941)"
LC,34,"(0.5049741, 15.014906)","(0.82602155, 4.862589)","(0.58504313, 13.672438)"
LC,36,"(0.5049741, 15.014906)","(0.8277157, 4.573122)","(0.58628285, 13.684694)"
LC,38,"(0.5049741, 15.014906)","(0.8289057, 4.426751)","(0.5871848, 13.669523)"
LC,40,"(0.5049741, 15.014906)","(0.8297533, 4.3501644)","(0.5878482, 13.667633)"
NS,5,"(3.0570474, 3.0570474)","(4.4637437, 4.4597726)","(2.8572822, 2.847918)"
