model_name,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
resnet50,2,3.392447,5.746499,7.213731
resnet50,4,8.805133,5.946788,11.85647
resnet50,6,20.049183,4.641557,20.898853
resnet50,8,316.23138,3.1634111,316.87274
resnet50,10,1051.5332,6.019049,1055.6825
resnet50,12,5162.383,7.293213,5165.4253
resnet50,14,22886.418,12.978973,22885.84
resnet50,16,334985.9,44.96324,334963.94
resnet50,18,5720771.0,84.80932,5720777.5
resnet50,20,5720771.0,46.703316,5720776.5
unet,1,0.0018281854,-100.0,-100.0
unet,2,0.0012191779,2.4028899669647217,2.402151584625244
unet,3,0.0028974053,2.9223968982696533,2.920349359512329
unet,4,0.0044562165,2.641801357269287,2.640631437301636
unet,5,0.0042695403,2.6273016929626465,2.626952648162842
unet,6,0.0047622113,2.606557607650757,2.6056551933288574
unet,7,0.004744976,2.785978317260742,2.7858011722564697
unet,8,0.005347812,2.9509103298187256,2.9501585960388184
unet,9,0.0051637883,3.171901226043701,3.1718757152557373
unet,10,0.006151431,7.370033740997314,7.364285469055176
SSDresnet50fpn,2,9.3221766e-05,0.50003207,0.50003
SSDresnet50fpn,4,9.3221766e-05,0.50003207,0.50003
SSDresnet50fpn,6,9.3221766e-05,0.50003207,0.50003
SSDresnet50fpn,8,9.3221766e-05,0.50003207,0.50003
SSDresnet50fpn,10,9.3221766e-05,0.50003207,0.50003
SSDresnet50fpn,12,9.3221766e-05,0.50003207,0.50003
SSDresnet50fpn,14,9.0198926e-05,0.50002563,0.5000244
SSDresnet50fpn,16,0.000103831575,0.5000265,0.50002587
SSDresnet50fpn,18,9.409248e-05,0.50001717,0.5000176
SSDresnet50fpn,20,9.409248e-05,0.50001717,0.5000176
deeplabv3,2,1.9382437,-100.0,-100.0
deeplabv3,4,3.277684,-100.0,-100.0
deeplabv3,6,3.5495439,-100.0,-100.0
deeplabv3,8,3.6399522,-100.0,-100.0
deeplabv3,10,3.643028,-100.0,-100.0
deeplabv3,12,3.638234,-100.0,-100.0
deeplabv3,14,3.6493156,-100.0,-100.0
deeplabv3,16,3.6490588,-100.0,-100.0
deeplabv3,18,3.6533873,-100.0,-100.0
deeplabv3,20,3.644839,-100.0,-100.0
patchcore,2,9.0891175e-05,0.059320465,0.0593204
patchcore,4,0.00044851418,0.3147762,0.31473482
patchcore,6,0.015904058,2.9651904,2.966379
patchcore,8,0.8102402,398.84534,398.67847
patchcore,10,9.220493,8036.514,8034.1313
patchcore,12,239.85931,267847.78,267889.12
patchcore,14,1780.2205,1952625.8,1952318.4
patchcore,16,10508.163,11558053.0,11553450.0
patchcore,18,10508.163,11558053.0,11553450.0
patchcore,20,10508.163,11558053.0,11553450.0
textcnn,1,0.14804047,-100.0,-100.0
textcnn,2,0.2897743,-100.0,-100.0
textcnn,3,0.10032004,-100.0,-100.0
textcnn,4,0.1603629,-100.0,-100.0
textcnn,5,0.16808343,-100.0,-100.0
SSDmobilenetv1,2,0.00014974707,0.4988241,0.49882105
SSDmobilenetv1,4,0.00020594317,0.5020233,0.5020165
SSDmobilenetv1,6,0.0002915019,0.500983,0.50098526
SSDmobilenetv1,8,0.00024917402,0.5028196,0.50281584
SSDmobilenetv1,10,0.00029660237,0.503905,0.503908
SSDmobilenetv1,12,0.0021800697,0.5529015,0.5528758
SSDmobilenetv1,14,0.00570854,0.871859,0.8717062
SSDmobilenetv1,16,0.0061134,1.133673,1.1335087
SSDmobilenetv1,18,0.011052119,1.1549363,1.1550575
SSDmobilenetv1,20,0.0118172355,1.1384313,1.1383433
yolov3,2,0.3691658,-100.0,-100.0
yolov3,4,0.37094218,-100.0,-100.0
yolov3,6,0.37211663,-100.0,-100.0
yolov3,8,0.3714605,-100.0,-100.0
yolov3,10,0.3732963,-100.0,-100.0
yolov3,12,0.37766093,-100.0,-100.0
yolov3,14,0.379197,-100.0,-100.0
yolov3,16,0.37794262,-100.0,-100.0
yolov3,18,0.3774221,-100.0,-100.0
yolov3,20,0.37748644,-100.0,-100.0
ssimae,1,6.7348265e-05,-100.0,-100.0
ssimae,2,4.5158795e-05,0.2723918855190277,0.2723987102508545
ssimae,3,0.019209351,90.92279815673828,90.91747283935548
ssimae,4,0.018064365,74.43392181396484,74.4344711303711
ssimae,5,0.026191806,134.9095001220703,134.9092559814453
ssimae,6,0.0345566,181.46551513671875,181.4658966064453
ssimae,7,0.04151518,180.69354248046875,180.70343017578125
ssimae,8,0.05355968,192.5425262451172,192.55902099609372
ssimae,9,0.09305313,472.3888854980469,472.4185485839844
ssimae,10,0.10893158,480.8258056640625,480.8649597167969
openpose,2,8.3131545e-06,0.0030952513,0.0030941237
openpose,4,0.00047373236,0.42572138,0.4258058
openpose,6,0.003136492,0.4363179,0.43612084
openpose,8,1.1331514,50.94632,50.836277
openpose,10,3648.9297,150469.81,149786.38
openpose,12,421157.4,305130750.0,305268300.0
openpose,14,1422865.8,1453650800.0,1452586400.0
openpose,16,21297250000.0,12237928000000.0,12220260000000.0
openpose,18,2244214000000000.0,7.17651e+17,7.1972176e+17
openpose,20,2244214000000000.0,7.17651e+17,7.1972176e+17
vgg16,1,2.950827,-100.0,-100.0
vgg16,2,2.9354959,2.98136830329895,1.736650824546814
vgg16,3,8.412768,3.656193494796753,5.533587455749512
vgg16,4,17.70073,23.251785278320312,22.468822479248047
vgg16,5,9.508949,28.184478759765625,19.091312408447266
vgg16,6,9.508949,30.394058227539062,21.30088996887207
vgg16,7,9.508949,33.93260955810547,24.83944320678711
vgg16,8,3065.448,40.26082229614258,3025.18701171875
vgg16,9,4055.8145,2108903.25,2104850.5
vgg16,10,562.00165,2644200.5,2643658.75
