model_name,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
resnet50,5,0.047017325,0.0,0.0470173247158527
resnet50,10,0.047017325,0.0,0.0470173247158527
resnet50,15,0.047017325,0.0,0.0470173247158527
resnet50,20,0.047017325,0.0,0.0470173247158527
resnet50,25,4.9078946,-100.0,-100.0
resnet50,30,4.9078946,-100.0,-100.0
resnet50,35,4.9078946,-100.0,-100.0
resnet50,40,4.9078946,-100.0,-100.0
resnet50,45,4.9078946,-100.0,-100.0
resnet50,50,4.9078946,-100.0,-100.0
resnet50,55,0.035979897,-100.0,-100.0
resnet50,60,0.035979897,-100.0,-100.0
resnet50,65,0.035979897,-100.0,-100.0
resnet50,70,0.035979897,-100.0,-100.0
resnet50,75,0.035979897,-100.0,-100.0
resnet50,80,0.035979897,-100.0,-100.0
resnet50,85,0.035979897,-100.0,-100.0
resnet50,90,0.035979897,-100.0,-100.0
resnet50,95,0.035979897,-100.0,-100.0
resnet50,100,0.035979897,-100.0,-100.0
unet,2,0.0018106875,2.7199893,2.7186065
unet,4,0.00011324054,1.2843342,1.2842513
unet,6,5.6477762e-05,1.224336,1.22428
unet,8,5.6477762e-05,1.224336,1.22428
unet,10,5.2485444e-05,1.2243347,1.2242833
unet,12,5.2485444e-05,1.2243347,1.2242833
unet,14,5.2485444e-05,1.2243347,1.2242833
unet,16,4.403439e-09,8.1835315e-06,8.1844955e-06
unet,18,4.403439e-09,8.1835315e-06,8.1844955e-06
unet,20,2.9768132e-09,8.183513e-06,8.183951e-06
SSDresnet50fpn,5,9.747354e-05,0.500033438205719,0.500032901763916
SSDresnet50fpn,10,9.747354e-05,0.500033438205719,0.500032901763916
SSDresnet50fpn,15,8.0750055e-05,0.5000307559967041,0.5000290870666504
SSDresnet50fpn,20,8.146807e-05,0.5000307559967041,0.5000289678573608
SSDresnet50fpn,25,8.146997e-05,0.5000307559967041,0.5000289678573608
SSDresnet50fpn,30,8.146997e-05,0.5000307559967041,0.5000289678573608
SSDresnet50fpn,35,8.146997e-05,-100.0,-100.0
SSDresnet50fpn,40,8.146997e-05,-100.0,-100.0
SSDresnet50fpn,45,8.146997e-05,-100.0,-100.0
SSDresnet50fpn,50,8.146997e-05,-100.0,-100.0
SSDresnet50fpn,55,8.146997e-05,-100.0,-100.0
SSDresnet50fpn,60,8.146997e-05,-100.0,-100.0
SSDresnet50fpn,65,8.146997e-05,-100.0,-100.0
SSDresnet50fpn,70,8.146997e-05,-100.0,-100.0
SSDresnet50fpn,75,8.146984e-05,-100.0,-100.0
SSDresnet50fpn,80,8.146984e-05,-100.0,-100.0
SSDresnet50fpn,85,8.146984e-05,-100.0,-100.0
SSDresnet50fpn,90,8.146984e-05,-100.0,-100.0
SSDresnet50fpn,95,8.146984e-05,-100.0,-100.0
SSDresnet50fpn,100,8.146984e-05,-100.0,-100.0
deeplabv3,5,1.2814965,-100.0,-100.0
deeplabv3,10,1.4055364,-100.0,-100.0
deeplabv3,15,1.3971013,-100.0,-100.0
deeplabv3,20,1.3941504,-100.0,-100.0
deeplabv3,25,0.0051673814,-100.0,-100.0
deeplabv3,30,0.005143088,-100.0,-100.0
deeplabv3,35,0.0036103916,-100.0,-100.0
deeplabv3,40,0.003998666,-100.0,-100.0
deeplabv3,45,0.0039211507,-100.0,-100.0
deeplabv3,50,0.0036982857,-100.0,-100.0
deeplabv3,55,0.0038892587,-100.0,-100.0
deeplabv3,60,0.0038417012,-100.0,-100.0
deeplabv3,65,0.003740816,-100.0,-100.0
deeplabv3,70,0.0037285937,-100.0,-100.0
deeplabv3,75,0.0036786683,-100.0,-100.0
deeplabv3,80,0.0041491,-100.0,-100.0
deeplabv3,85,0.003810265,-100.0,-100.0
deeplabv3,90,0.003963444,-100.0,-100.0
deeplabv3,95,0.0038782652,-100.0,-100.0
deeplabv3,100,0.003853215,-100.0,-100.0
patchcore,5,7.105335e-05,0.05397534,0.053981118
patchcore,10,7.105335e-05,0.05397534,0.053981118
patchcore,15,7.105335e-05,0.05397534,0.053981118
patchcore,20,7.105335e-05,0.05397534,0.053981118
patchcore,25,7.105335e-05,0.05397534,0.053981118
patchcore,30,7.105335e-05,0.05397534,0.053981118
patchcore,35,7.105335e-05,0.05397534,0.053981118
patchcore,40,7.105335e-05,0.05397534,0.053981118
patchcore,45,7.105335e-05,0.05397534,0.053981118
patchcore,50,6.210926e-05,5.8923557e-05,5.371289e-05
patchcore,55,6.210926e-05,5.8923557e-05,5.371289e-05
patchcore,60,6.210926e-05,5.8923557e-05,5.371289e-05
patchcore,65,6.210926e-05,5.8923557e-05,5.371289e-05
patchcore,70,6.210926e-05,5.8923557e-05,5.371289e-05
patchcore,75,6.210926e-05,5.7588288e-05,5.2184674e-05
patchcore,80,6.210926e-05,5.7588288e-05,5.2184674e-05
patchcore,85,6.210926e-05,5.7588288e-05,5.2184674e-05
patchcore,90,6.210926e-05,5.7588288e-05,5.2184674e-05
patchcore,95,6.210926e-05,5.7588288e-05,5.2184674e-05
patchcore,100,6.210926e-05,5.7588288e-05,5.2184674e-05
textcnn,1,0.06067288,-100.0,-100.0
textcnn,2,0.20880187,-100.0,-100.0
textcnn,3,0.2518053,-100.0,-100.0
textcnn,4,0.12253776,-100.0,-100.0
textcnn,5,0.18079278,-100.0,-100.0
textcnn,6,0.18663147,-100.0,-100.0
textcnn,7,0.11025813,-100.0,-100.0
textcnn,8,0.07820363,-100.0,-100.0
textcnn,9,0.06515888,-100.0,-100.0
textcnn,10,0.041577972,-100.0,-100.0
SSDmobilenetv1,5,3.0523315e-05,0.50216484,0.50216264
SSDmobilenetv1,10,1.1591127e-06,0.501414,0.5014141
SSDmobilenetv1,15,9.0420514e-07,0.50145984,0.5014599
SSDmobilenetv1,20,2.5484192e-07,0.50136805,0.50136805
SSDmobilenetv1,25,2.5484192e-07,0.50136805,0.50136805
SSDmobilenetv1,30,6.87338e-07,0.5014375,0.5014375
SSDmobilenetv1,35,6.8455483e-07,0.5014374,0.5014374
SSDmobilenetv1,40,6.869229e-07,0.5014371,0.5014371
SSDmobilenetv1,45,6.752425e-07,0.5014371,0.5014371
SSDmobilenetv1,50,6.752425e-07,0.5014371,0.5014371
SSDmobilenetv1,55,6.8502527e-07,0.50143665,0.50143665
SSDmobilenetv1,60,2.5652233e-07,0.5013684,0.5013684
SSDmobilenetv1,65,2.5652233e-07,0.5013684,0.5013684
SSDmobilenetv1,70,1.8667723e-07,0.5013533,0.5013533
SSDmobilenetv1,75,1.8701296e-07,0.5013533,0.5013533
SSDmobilenetv1,80,1.8701296e-07,0.5013533,0.5013533
SSDmobilenetv1,85,1.8701296e-07,0.5013533,0.5013533
SSDmobilenetv1,90,1.8701296e-07,0.5013533,0.5013533
SSDmobilenetv1,95,1.8701296e-07,0.5013533,0.5013533
