model_name,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
resnet50,5,4.7830615,6.118966,8.4818325
resnet50,10,4.7319374,4.8836985,6.7831154
resnet50,15,4.77365,4.651721,6.324346
resnet50,20,4.836287,4.6460524,6.2094445
resnet50,25,4.8170786,4.737727,6.2170243
resnet50,30,4.776236,4.7124104,6.1921587
resnet50,35,4.8216295,4.645962,6.1978903
resnet50,40,4.7780848,4.603854,6.0991464
resnet50,45,4.791057,4.580325,6.112405
resnet50,50,4.7342463,4.56899,6.0736256
resnet50,55,4.7645884,4.5076838,6.0049005
resnet50,60,4.758072,4.486402,6.0615635
resnet50,65,4.7184362,4.38078,5.9828115
resnet50,70,4.849909,4.3653417,6.1420145
resnet50,75,4.8533516,4.393003,6.139889
resnet50,80,4.836232,4.440898,6.157502
resnet50,85,4.8434114,4.378131,6.093145
resnet50,90,4.884864,4.386912,6.129512
resnet50,95,4.9182253,4.396702,6.1681128
resnet50,100,4.8984303,4.4627423,6.183051
unet,5,0.0014268098,2.7584412,2.757338
unet,10,0.001131906,2.7547867,2.7539115
unet,15,0.0011821478,2.745796,2.7448876
unet,20,0.002193336,2.7259324,2.7242732
unet,25,0.002121638,2.7305448,2.7289405
unet,30,0.0004980406,2.759629,2.759264
unet,35,0.0004386121,2.8220196,2.8217063
unet,40,0.0007839006,2.8316472,2.8310413
unet,45,0.0005809242,2.833935,2.833491
unet,50,0.00033239173,2.8584244,2.8582275
unet,55,0.0017016013,2.8262808,2.8275976
unet,60,0.0011021089,2.8157396,2.8165917
unet,65,0.0007121323,2.8853877,2.8859513
unet,70,0.0009325767,2.8761556,2.8768914
unet,75,0.00097443355,2.8738227,2.8745909
unet,80,0.0010167134,2.9016685,2.9024723
unet,85,0.00025928725,2.8487,2.848781
unet,90,0.00033642672,2.8157713,2.815965
unet,95,0.0007931197,2.8822193,2.8828456
unet,100,0.00028277855,2.9991126,2.9990716
SSDresnet50fpn,5,9.3221766e-05,0.5000319,0.5000296
SSDresnet50fpn,10,9.269437e-05,0.5000319,0.5000297
SSDresnet50fpn,15,9.269437e-05,0.5000319,0.5000297
SSDresnet50fpn,20,9.269437e-05,0.5000319,0.5000297
SSDresnet50fpn,25,9.303037e-05,0.5000319,0.50002974
SSDresnet50fpn,30,9.012968e-05,0.5000324,0.50003016
SSDresnet50fpn,35,9.012968e-05,0.5000324,0.50003016
SSDresnet50fpn,40,9.012968e-05,0.5000324,0.50003016
SSDresnet50fpn,45,9.012968e-05,0.5000324,0.50003016
SSDresnet50fpn,50,9.012968e-05,0.5000324,0.50003016
SSDresnet50fpn,55,9.012968e-05,0.5000324,0.50003016
SSDresnet50fpn,60,8.741273e-05,0.5000328,0.50003046
SSDresnet50fpn,65,8.7439774e-05,0.50003266,0.50003046
SSDresnet50fpn,70,8.7439774e-05,0.50003266,0.50003046
SSDresnet50fpn,75,8.7439774e-05,0.50003266,0.50003046
SSDresnet50fpn,80,8.7439774e-05,0.50003266,0.50003046
SSDresnet50fpn,85,8.7439774e-05,0.50003266,0.50003046
SSDresnet50fpn,90,8.7439774e-05,0.50003266,0.50003046
SSDresnet50fpn,95,8.7439774e-05,0.50003266,0.50003046
SSDresnet50fpn,100,8.7439774e-05,0.50003266,0.50003046
deeplabv3,5,1.9602082,-100.0,-100.0
deeplabv3,10,1.9615952,-100.0,-100.0
deeplabv3,15,1.9684434,-100.0,-100.0
deeplabv3,20,1.9704839,-100.0,-100.0
deeplabv3,25,1.9772439,-100.0,-100.0
deeplabv3,30,1.9794974,-100.0,-100.0
deeplabv3,35,1.9803852,-100.0,-100.0
deeplabv3,40,1.9713626,-100.0,-100.0
deeplabv3,45,1.9725825,-100.0,-100.0
deeplabv3,50,1.9610956,-100.0,-100.0
deeplabv3,55,1.9795277,-100.0,-100.0
deeplabv3,60,1.9675652,-100.0,-100.0
deeplabv3,65,1.9745038,-100.0,-100.0
deeplabv3,70,1.9741975,-100.0,-100.0
deeplabv3,75,1.9816371,-100.0,-100.0
deeplabv3,80,1.9682069,-100.0,-100.0
deeplabv3,85,1.9739544,-100.0,-100.0
deeplabv3,90,1.9749485,-100.0,-100.0
deeplabv3,95,1.9618831,-100.0,-100.0
deeplabv3,100,1.9662402,-100.0,-100.0
patchcore,5,0.00069913367,0.05373786,0.05377369
patchcore,10,,0.053779073,
patchcore,15,,0.053782016,
patchcore,20,,0.053892773,
patchcore,25,,0.054486245,
patchcore,30,,0.05463514,
patchcore,35,,0.05436395,
patchcore,40,,0.054302834,
patchcore,45,,0.05367541,
patchcore,50,,0.053611785,
patchcore,55,,0.0537192,
patchcore,60,,0.05362107,
patchcore,65,,0.053434853,
patchcore,70,,0.05303833,
patchcore,75,,0.05304912,
patchcore,80,,,
patchcore,85,,,
patchcore,90,,,
patchcore,95,,,
patchcore,100,,,
textcnn,5,0.14039755,-100.0,-100.0
textcnn,10,0.098817825,-100.0,-100.0
textcnn,15,0.13659656,-100.0,-100.0
textcnn,20,0.15360582,-100.0,-100.0
textcnn,25,0.2060259,-100.0,-100.0
textcnn,30,0.12845802,-100.0,-100.0
textcnn,35,0.27695924,-100.0,-100.0
textcnn,40,0.24461651,-100.0,-100.0
textcnn,45,0.23712122,-100.0,-100.0
textcnn,50,0.17894495,-100.0,-100.0
textcnn,55,0.13568187,-100.0,-100.0
textcnn,60,0.27617872,-100.0,-100.0
textcnn,65,0.03478366,-100.0,-100.0
textcnn,70,0.16563839,-100.0,-100.0
textcnn,75,0.05814004,-100.0,-100.0
textcnn,80,0.18440658,-100.0,-100.0
textcnn,85,0.10097426,-100.0,-100.0
textcnn,90,0.20910162,-100.0,-100.0
textcnn,95,0.21961111,-100.0,-100.0
textcnn,100,0.1480369,-100.0,-100.0
SSDmobilenetv1,5,0.004760293,0.49887595,0.49876532
SSDmobilenetv1,10,0.010138344,0.49860463,0.4985307
SSDmobilenetv1,15,0.010892336,0.49872315,0.4986602
SSDmobilenetv1,20,0.0113558145,0.49879882,0.49884573
SSDmobilenetv1,25,0.011739307,0.49863374,0.49863446
SSDmobilenetv1,30,0.014752737,0.49880072,0.498669
SSDmobilenetv1,35,0.014634163,0.49879277,0.4987012
SSDmobilenetv1,40,0.01630831,0.49891037,0.49847928
SSDmobilenetv1,45,0.020204611,0.49867365,0.49808738
SSDmobilenetv1,50,0.022675661,0.49845216,0.49790072
SSDmobilenetv1,55,0.023540823,0.49863937,0.49796087
SSDmobilenetv1,60,0.021369386,0.49854872,0.49804407
SSDmobilenetv1,65,0.021945834,0.49855566,0.49802998
SSDmobilenetv1,70,,,
SSDmobilenetv1,75,,,
SSDmobilenetv1,80,,,
SSDmobilenetv1,85,,,
SSDmobilenetv1,90,,,
SSDmobilenetv1,95,,,
SSDmobilenetv1,100,,,
yolov3,5,0.3671785,-100.0,-100.0
yolov3,10,0.36752644,-100.0,-100.0
yolov3,15,0.36801785,-100.0,-100.0
yolov3,20,0.36798424,-100.0,-100.0
yolov3,25,0.368397,-100.0,-100.0
yolov3,30,0.36789,-100.0,-100.0
yolov3,35,0.36732835,-100.0,-100.0
yolov3,40,0.36726797,-100.0,-100.0
yolov3,45,0.36717987,-100.0,-100.0
yolov3,50,0.36728954,-100.0,-100.0
yolov3,55,0.36725855,-100.0,-100.0
yolov3,60,0.36748365,-100.0,-100.0
yolov3,65,0.36748365,-100.0,-100.0
yolov3,70,0.36755717,-100.0,-100.0
yolov3,75,0.36757421,-100.0,-100.0
yolov3,80,0.36765212,-100.0,-100.0
yolov3,85,0.3677206,-100.0,-100.0
yolov3,90,0.3677206,-100.0,-100.0
yolov3,95,0.3677206,-100.0,-100.0
yolov3,100,0.3675516,-100.0,-100.0
ssimae,5,5.883907e-05,0.21730633,0.21730727
ssimae,10,5.8833684e-05,0.21730638,0.21730727
