model_name,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
resnet50,5,4.274984,5.2859583,5.970684
resnet50,10,3.9695072,5.801764,6.61446
resnet50,15,4.768197,5.0267506,6.2533836
resnet50,20,6.3657284,4.5626407,7.254158
resnet50,25,7.23273,3.6675518,8.223699
resnet50,30,8.437621,4.1499662,7.908147
resnet50,35,12.123096,2.5624475,12.158144
resnet50,40,45.645844,6.757071,42.061295
resnet50,45,70.47807,3.370971,70.82523
resnet50,50,92.00712,3.4753063,93.76459
resnet50,55,397.98596,8.129707,396.53503
resnet50,60,448.0606,3.8517082,447.9633
resnet50,65,769.4215,7.353738,768.03455
resnet50,70,837.6686,7.983947,840.84424
resnet50,75,690.0632,7.3558655,690.749
resnet50,80,1302.463,5.2987833,1303.6575
resnet50,85,1903.8336,6.664109,1905.7845
resnet50,90,1557.3965,7.8276086,1562.2467
resnet50,95,1872.7705,6.8591065,1877.1035
resnet50,100,1872.7705,8.724275,1878.9711
unet,2,0.0018106875,2.7199893,2.7186065
unet,4,0.0018106875,2.7199893,2.7186065
unet,6,0.0018106875,2.7199893,2.7186065
unet,8,0.0018106875,2.7199893,2.7186065
unet,10,0.0018106875,2.7199893,2.7186065
unet,12,0.0018106875,2.7199893,2.7186065
unet,14,0.0018106875,2.7199893,2.7186065
unet,16,0.0018106875,2.7199893,2.7186065
unet,18,0.0018106875,2.7199893,2.7186065
unet,20,0.0018106875,2.7199893,2.7186065
unet,22,0.0018106875,2.7199893,2.7186065
unet,24,0.0018106875,2.7199893,2.7186065
unet,26,0.0018106875,2.7199893,2.7186065
unet,28,0.0018106875,2.7199893,2.7186065
unet,30,0.0018106875,2.7199893,2.7186065
unet,32,0.0018106875,2.7199893,2.7186065
unet,34,0.0018106875,2.7199893,2.7186065
unet,36,0.0018106875,2.7199893,2.7186065
unet,38,0.0018106875,2.7199893,2.7186065
unet,40,0.0018106875,2.7199893,2.7186065
SSDresnet50fpn,5,9.3221766e-05,0.50003195,0.50002956
SSDresnet50fpn,10,9.3221766e-05,0.50003195,0.50002956
SSDresnet50fpn,15,9.3221766e-05,0.50003195,0.50002956
SSDresnet50fpn,20,9.3221766e-05,0.50003195,0.50002956
SSDresnet50fpn,25,9.3438866e-05,0.500032,0.5000296
SSDresnet50fpn,30,9.3438866e-05,0.500032,0.5000296
SSDresnet50fpn,35,9.3438866e-05,0.500032,0.5000296
SSDresnet50fpn,40,9.3438866e-05,0.500032,0.5000296
SSDresnet50fpn,45,9.3438866e-05,0.500032,0.5000296
SSDresnet50fpn,50,9.3438866e-05,0.500032,0.5000296
SSDresnet50fpn,55,9.3438866e-05,0.500032,0.5000296
SSDresnet50fpn,60,9.3438866e-05,0.500032,0.5000296
SSDresnet50fpn,65,9.3438866e-05,0.500032,0.5000296
SSDresnet50fpn,70,9.3438866e-05,0.500032,0.5000296
SSDresnet50fpn,75,9.3438866e-05,0.500032,0.5000296
SSDresnet50fpn,80,9.3438866e-05,0.500032,0.5000296
SSDresnet50fpn,85,9.3438866e-05,0.500032,0.5000296
SSDresnet50fpn,90,9.3438866e-05,0.500032,0.5000296
SSDresnet50fpn,95,9.3438866e-05,0.500032,0.5000296
SSDresnet50fpn,100,9.3438866e-05,0.500032,0.5000296
deeplabv3,5,1.9598932,-100.0,-100.0
deeplabv3,10,1.9563463,-100.0,-100.0
deeplabv3,15,4.829462,-100.0,-100.0
deeplabv3,20,4.8301344,-100.0,-100.0
deeplabv3,25,4.8252397,-100.0,-100.0
deeplabv3,30,4.831087,-100.0,-100.0
deeplabv3,35,4.830045,-100.0,-100.0
deeplabv3,40,4.8304977,-100.0,-100.0
deeplabv3,45,4.8271937,-100.0,-100.0
deeplabv3,50,4.82995,-100.0,-100.0
deeplabv3,55,4.8328834,-100.0,-100.0
deeplabv3,60,4.8329587,-100.0,-100.0
deeplabv3,65,4.829162,-100.0,-100.0
deeplabv3,70,4.824434,-100.0,-100.0
deeplabv3,75,4.830527,-100.0,-100.0
deeplabv3,80,4.828882,-100.0,-100.0
deeplabv3,85,4.8315086,-100.0,-100.0
deeplabv3,90,4.8255787,-100.0,-100.0
deeplabv3,95,4.8328404,-100.0,-100.0
deeplabv3,100,4.8227563,-100.0,-100.0
patchcore,5,6.4628206e-05,0.06724694,0.06725103
patchcore,10,0.00016762345,0.10837809,0.108371064
patchcore,15,0.00020300884,0.09760302,0.097567886
patchcore,20,0.00017921982,0.07861592,0.078655005
patchcore,25,0.00038262914,0.05427388,0.05422596
patchcore,30,0.000407467,0.05829134,0.058236793
patchcore,35,0.0023448851,0.20449325,0.2039661
patchcore,40,0.016216105,1.5975825,1.5883086
patchcore,45,0.093702696,4.291909,4.2809854
patchcore,50,1.157907,36.83788,36.420677
patchcore,55,21.207212,218.80122,222.4489
patchcore,60,38.608746,741.58203,735.19116
patchcore,65,465.99182,14823.843,14574.363
patchcore,70,10612.276,1261441.0,1257445.6
patchcore,75,1047026.4,923483.75,1642578.0
patchcore,80,1047026.4,923483.75,1642578.0
patchcore,85,26482818.0,12536609.0,25232310.0
patchcore,90,26482818.0,12536609.0,25232310.0
patchcore,95,113970730.0,55331868.0,98684970.0
patchcore,100,113970730.0,55331868.0,98684970.0
textcnn,1,0.11574012,-100.0,-100.0
textcnn,2,0.5889857,-100.0,-100.0
textcnn,3,0.5017215,-100.0,-100.0
textcnn,4,0.19557601,-100.0,-100.0
textcnn,5,0.36320758,-100.0,-100.0
textcnn,6,0.069778144,-100.0,-100.0
textcnn,7,0.26001495,-100.0,-100.0
textcnn,8,0.19296896,-100.0,-100.0
textcnn,9,0.2178098,-100.0,-100.0
textcnn,10,0.27107227,-100.0,-100.0
SSDmobilenetv1,5,0.00012719107,0.4979665,0.49796292
SSDmobilenetv1,10,0.02414956,0.49882096,0.4986928
SSDmobilenetv1,15,0.023503631,0.50952333,0.5099015
SSDmobilenetv1,20,0.023503631,0.50952333,0.5099015
SSDmobilenetv1,25,0.06879837,0.5157298,0.50928384
SSDmobilenetv1,30,0.064036146,0.51163405,0.5099062
SSDmobilenetv1,35,0.06810012,0.51302254,0.5084821
SSDmobilenetv1,40,0.063510954,0.53405374,0.53326774
SSDmobilenetv1,45,0.05994287,0.53352964,0.53344816
SSDmobilenetv1,50,0.05917087,0.533656,0.5333912
SSDmobilenetv1,55,0.054019697,0.5289702,0.5314203
