model_name,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
resnet50,5,1.9245799,2.1003783,1.7112024
resnet50,10,3.4322052,2.8351707,3.0550787
resnet50,15,1.4080907,1.736325,1.7680572
resnet50,20,1.6138595,1.1976277,1.9722831
resnet50,25,0.7151146,1.7822063,1.9137608
resnet50,30,0.85937107,1.7253453,2.5060706
resnet50,35,1.6109432,1.3235595,1.7943306
resnet50,40,1.4610682,1.918919,1.8472404
resnet50,45,0.77535754,0.559474,0.99802446
resnet50,50,0.68339866,1.0477221,1.3056953
unet,2,0.0018106875,2.7199893,2.7186065
unet,4,0.0018106875,2.7199893,2.7186065
unet,6,0.0018106875,2.7199893,2.7186065
unet,8,0.0018106875,2.7199893,2.7186065
unet,10,0.0018106875,2.7199893,2.7186065
unet,12,0.0018106875,2.7199893,2.7186065
unet,14,0.0018106875,2.7199893,2.7186065
unet,16,0.0018106875,2.7199893,2.7186065
unet,18,0.0018106875,2.7199893,2.7186065
unet,20,0.0018106875,2.7199893,2.7186065
SSDresnet50fpn,5,9.520359e-05,0.5000316,0.50002927
SSDresnet50fpn,10,9.776281e-05,0.5000319,0.5000294
SSDresnet50fpn,15,9.5591175e-05,0.50002813,0.5000261
SSDresnet50fpn,20,9.436952e-05,0.5000271,0.50002384
SSDresnet50fpn,25,9.091072e-05,0.5000266,0.50002337
SSDresnet50fpn,30,9.091072e-05,0.5000266,0.50002337
SSDresnet50fpn,35,9.0889e-05,0.5000261,0.5000221
SSDresnet50fpn,40,9.124486e-05,0.5000279,0.5000243
SSDresnet50fpn,45,0.00010165645,0.50002605,0.50002027
SSDresnet50fpn,50,9.98577e-05,0.5000261,0.5000227
deeplabv3,5,0.14153369,-100.0,-100.0
deeplabv3,10,0.079948016,-100.0,-100.0
deeplabv3,15,0.07969728,-100.0,-100.0
deeplabv3,20,0.07992763,-100.0,-100.0
deeplabv3,25,0.07978262,-100.0,-100.0
deeplabv3,30,0.08035381,-100.0,-100.0
deeplabv3,35,0.080011345,-100.0,-100.0
deeplabv3,40,0.079527505,-100.0,-100.0
deeplabv3,45,0.07956947,-100.0,-100.0
deeplabv3,50,0.07988097,-100.0,-100.0
patchcore,5,3.3899803e-05,0.035700742,0.03569873
patchcore,10,2.6192552e-05,0.02753611,0.027537197
patchcore,15,1.2425698e-05,0.014432085,0.014432203
patchcore,20,3.3737433e-05,0.06137044,0.06136919
patchcore,25,3.7548463e-05,0.065377705,0.06537375
patchcore,30,2.6823733e-05,0.05600575,0.05600534
patchcore,35,1.4772674e-05,0.03520672,0.03520645
patchcore,40,1.6925587e-05,0.031488396,0.031489324
patchcore,45,1.7153805e-05,0.0336896,0.033689648
patchcore,50,9.993166e-06,0.027805373,0.027804976
textcnn,1,0.15398204,-100.0,-100.0
textcnn,2,0.00033581257,-100.0,-100.0
textcnn,3,0.00033581257,-100.0,-100.0
textcnn,4,0.00033581257,-100.0,-100.0
textcnn,5,0.00033581257,-100.0,-100.0
SSDmobilenetv1,5,0.00031051296,0.51536113,0.5153767
SSDmobilenetv1,10,7.3032315e-05,0.4920002,0.49199757
SSDmobilenetv1,15,0.0001057951,0.49229553,0.4922949
SSDmobilenetv1,20,0.00026566716,0.49170575,0.49169856
SSDmobilenetv1,25,8.648451e-05,0.4828398,0.48283848
SSDmobilenetv1,30,7.3120056e-05,0.48743385,0.48743817
SSDmobilenetv1,35,6.175645e-05,0.4871157,0.48711547
SSDmobilenetv1,40,2.502104e-05,0.49826068,0.49825996
SSDmobilenetv1,45,3.4209013e-05,0.49740168,0.49740052
SSDmobilenetv1,50,8.720847e-06,0.50105625,0.50105655
yolov3,5,0.3694535,-100.0,-100.0
yolov3,10,0.36792648,-100.0,-100.0
yolov3,15,0.37232712,-100.0,-100.0
yolov3,20,0.36877137,-100.0,-100.0
yolov3,25,0.36769807,-100.0,-100.0
yolov3,30,0.13053367,-100.0,-100.0
yolov3,35,0.12815642,-100.0,-100.0
yolov3,40,0.12969172,-100.0,-100.0
yolov3,45,0.13186112,-100.0,-100.0
yolov3,50,0.02754709,-100.0,-100.0
ssimae,2,4.73094e-05,0.10707474,0.10707908
ssimae,4,4.244731e-05,0.09254339,0.0925423
ssimae,6,4.2108633e-05,0.11147318,0.11146682
ssimae,8,4.210869e-05,0.11147318,0.1114668
ssimae,10,4.2108626e-05,0.11147318,0.1114668
ssimae,12,4.2108626e-05,0.11147318,0.11146682
ssimae,14,4.210864e-05,0.11147318,0.11146682
ssimae,16,4.2108706e-05,0.11147318,0.1114668
ssimae,18,4.2108648e-05,0.11147318,0.1114668
ssimae,20,4.21087e-05,0.11147318,0.11146682
openpose,5,2.7797082e-06,0.0031857435,0.0031862718
openpose,10,9.376076e-06,0.0040415316,0.004044239
openpose,15,7.354083e-06,0.004070808,0.0040739495
openpose,20,3.390595e-05,0.013949156,0.013949456
openpose,25,6.6292785e-05,0.009051673,0.009046369
openpose,30,5.8861537e-05,0.011471567,0.01146968
openpose,35,4.8321333e-05,0.013156176,0.013140977
openpose,40,2.531522e-05,0.0129598295,0.012954188
openpose,45,2.7800086e-05,0.008399759,0.008397571
openpose,50,2.1260383e-05,0.012401027,0.012405805
vgg16,2,2.9600341,2.5246065,3.6900012
vgg16,4,2.4542098,3.4780216,1.0702515
vgg16,6,4.7683244,3.605395,1.1629295
vgg16,8,0.9825036,0.34242657,0.7278577
vgg16,10,0.9864787,0.176593,0.87017286
vgg16,12,0.9864787,0.059355933,0.95672256
vgg16,14,7.599592e-08,0.001193309,0.0011933523
vgg16,16,0.00013384111,9.425562e-05,0.00010276753
vgg16,18,7.599592e-08,2.9401854e-06,2.9372052e-06
vgg16,20,7.599592e-08,2.9401854e-06,2.9372052e-06
