model_name,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
resnet50,5,6.943998,4.477117,2.9849224
resnet50,10,14.349452,3.7359467,14.457852
resnet50,15,8.403996,4.1251125,9.5496855
resnet50,20,8.187853,3.2619865,9.40411
resnet50,25,7.2060747,3.0841718,7.1108527
resnet50,30,7.692473,5.576567,8.759274
resnet50,35,6.883409,3.630204,6.833471
resnet50,40,9.673775,1.8906142,9.715319
resnet50,45,27.37908,12.599228,16.610178
resnet50,50,12.916822,9.527245,7.300415
resnet50,55,5.2229357,5.3063235,6.128615
resnet50,60,5.2663217,2.4851851,5.2443275
resnet50,65,5.8564043,5.478028,5.115973
resnet50,70,7.7410254,7.268258,6.28941
resnet50,75,11.41341,60.540688,49.58324
resnet50,80,12.635881,17.078663,11.5958
resnet50,85,12.635881,3.37048,10.678967
resnet50,90,26.00282,35.07711,17.501238
resnet50,95,44.230423,20.907257,28.062073
resnet50,100,28.01123,19.203749,15.7122345
unet,2,0.0018106875,2.7199893,2.7186065
unet,4,0.0018106875,2.7199893,2.7186065
unet,6,0.0018106875,2.7199893,2.7186065
unet,8,0.0018106875,2.7199893,2.7186065
unet,10,0.0018106875,2.7199893,2.7186065
unet,12,0.0018106875,2.7199893,2.7186065
unet,14,0.0018106875,2.7199893,2.7186065
unet,16,0.0018106875,2.7199893,2.7186065
unet,18,0.0018106875,2.7199893,2.7186065
unet,20,0.0018106875,2.7199893,2.7186065
unet,22,0.0018106875,2.7199893,2.7186065
unet,24,0.0018106875,2.7199893,2.7186065
unet,26,0.0018106875,2.7199893,2.7186065
unet,28,0.0018106875,2.7199893,2.7186065
unet,30,0.0018106875,2.7199893,2.7186065
unet,32,0.0018106875,2.7199893,2.7186065
unet,34,0.0018106875,2.7199893,2.7186065
unet,36,0.0018106875,2.7199893,2.7186065
unet,38,0.0018106875,2.7199893,2.7186065
unet,40,0.0018106875,2.7199893,2.7186065
SSDresnet50fpn,5,9.747354e-05,0.5000334,0.50003284
SSDresnet50fpn,10,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,15,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,20,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,25,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,30,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,35,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,40,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,45,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,50,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,55,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,60,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,65,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,70,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,75,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,80,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,85,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,90,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,95,8.146807e-05,0.50003076,0.50002897
SSDresnet50fpn,100,8.146807e-05,0.50003076,0.50002897
deeplabv3,5,2.3168867,-100.0,-100.0
