model_name,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
resnet50,5,5.7827253,3.5842705,4.311257
resnet50,10,5.393327,4.491367,4.6277175
resnet50,15,8.325438,6.952699,8.892441
resnet50,20,17.5501,6.6144423,12.82889
resnet50,25,13.716624,3.5444877,12.414883
resnet50,30,14.094894,4.223233,12.059462
resnet50,35,15.54935,5.7805285,13.489548
resnet50,40,22.616795,9.269564,15.813792
resnet50,45,21.94611,6.4330797,17.829676
resnet50,50,17.07475,2.2849112,16.017117
resnet50,55,13.754318,3.324533,12.664792
resnet50,60,22.38924,6.8528304,20.807472
resnet50,65,22.066355,6.960739,19.467545
resnet50,70,21.772217,5.7624536,17.46082
resnet50,75,30.081217,7.5936117,24.488497
resnet50,80,24.885578,4.5484385,23.75654
resnet50,85,16.894932,6.5426397,16.480862
resnet50,90,16.559647,7.81389,15.950487
resnet50,95,21.752552,12.504701,21.921305
resnet50,100,28.64713,7.1411667,28.202372
unet,5,0.00024700002,0.8955698,0.8953349
unet,10,0.00033439862,1.3657615,1.3654273
unet,15,0.00020806659,1.376884,1.3766761
unet,20,0.0001052115,0.5906868,0.5905818
unet,25,9.374596e-05,0.532013,0.5319194
unet,30,9.9035664e-05,1.0953035,1.0952046
unet,35,4.768491e-05,1.035277,1.0352353
unet,40,6.633763e-05,0.4494307,0.44936526
unet,45,3.539843e-05,0.24409926,0.24407046
unet,50,3.469697e-05,0.23610158,0.23607439
unet,55,1.899691e-05,0.038401816,0.038418937
unet,60,1.7195656e-05,0.038298063,0.038313612
unet,65,4.6760564e-05,0.04151543,0.041561224
unet,70,1.6708444e-05,0.038212843,0.0382281
unet,75,1.6564214e-05,0.03742764,0.037442524
unet,80,1.6335101e-05,0.037608065,0.037623007
unet,85,1.21557505e-05,0.035700288,0.035711102
unet,90,2.3437917e-05,0.040565178,0.040550005
unet,95,2.4868947e-05,0.040487856,0.040472455
unet,100,2.4477366e-05,0.040689647,0.04067642
SSDresnet50fpn,5,9.3221766e-05,0.50003195,0.50002956
SSDresnet50fpn,10,0.00010679881,0.5000252,0.5000272
SSDresnet50fpn,15,0.00010679881,0.5000252,0.5000272
SSDresnet50fpn,20,0.00010238625,0.5000228,0.5000258
SSDresnet50fpn,25,0.00010238625,0.5000228,0.5000258
SSDresnet50fpn,30,0.00010238625,0.5000228,0.5000258
SSDresnet50fpn,35,0.00010238625,0.5000228,0.5000258
SSDresnet50fpn,40,0.00010238625,0.5000228,0.5000258
SSDresnet50fpn,45,0.00010238625,0.5000228,0.5000258
SSDresnet50fpn,50,0.00010238625,0.5000228,0.5000258
SSDresnet50fpn,55,0.00010286176,0.50002563,0.5000278
SSDresnet50fpn,60,0.0001007026,0.50002384,0.50002646
SSDresnet50fpn,65,9.5060874e-05,0.5000283,0.5000302
SSDresnet50fpn,70,9.5060874e-05,0.5000283,0.5000302
SSDresnet50fpn,75,9.5060874e-05,0.5000283,0.5000302
SSDresnet50fpn,80,9.724136e-05,0.5000324,0.50002843
SSDresnet50fpn,85,9.724136e-05,0.5000324,0.50002843
SSDresnet50fpn,90,0.0001016036,0.5000355,0.5000365
SSDresnet50fpn,95,0.0001016036,0.5000355,0.5000365
SSDresnet50fpn,100,9.724136e-05,0.5000324,0.50002843
deeplabv3,5,1.5981234,-100.0,-100.0
deeplabv3,10,1.6002698,-100.0,-100.0
deeplabv3,15,1.6061099,-100.0,-100.0
deeplabv3,20,1.5870992,-100.0,-100.0
deeplabv3,25,1.5871992,-100.0,-100.0
deeplabv3,30,1.5377085,-100.0,-100.0
deeplabv3,35,1.6813968,-100.0,-100.0
deeplabv3,40,1.6709397,-100.0,-100.0
deeplabv3,45,1.6823334,-100.0,-100.0
deeplabv3,50,1.6807326,-100.0,-100.0
deeplabv3,55,1.6770723,-100.0,-100.0
deeplabv3,60,1.6572384,-100.0,-100.0
deeplabv3,65,1.7065151,-100.0,-100.0
deeplabv3,70,1.6996773,-100.0,-100.0
deeplabv3,75,1.7008237,-100.0,-100.0
deeplabv3,80,1.785885,-100.0,-100.0
deeplabv3,85,1.811993,-100.0,-100.0
deeplabv3,90,1.9554137,-100.0,-100.0
deeplabv3,95,1.9200876,-100.0,-100.0
deeplabv3,100,1.9848428,-100.0,-100.0
patchcore,5,3.8883747e-05,0.028381277,0.028379783
patchcore,10,2.2798862e-05,0.017454255,0.017452996
patchcore,15,2.514547e-05,0.022101142,0.022100665
patchcore,20,4.300248e-05,0.013091337,0.013091693
patchcore,25,2.9652296e-05,0.009229708,0.009233747
patchcore,30,4.2896798e-05,0.012081965,0.01208476
patchcore,35,4.0243467e-05,0.013249505,0.013256309
patchcore,40,6.2919564e-05,0.022653535,0.02264885
patchcore,45,0.00013039488,0.041379623,0.04140255
patchcore,50,0.0002752307,0.056645595,0.056500487
patchcore,55,0.0006073699,0.066188246,0.06601454
patchcore,60,0.0004092424,0.10382585,0.10383354
patchcore,65,0.00044007716,0.045075618,0.04498401
patchcore,70,0.0006051935,0.03366235,0.033667598
patchcore,75,0.00022940373,0.0173705,0.017404571
patchcore,80,0.00018764827,0.017374948,0.01737435
patchcore,85,0.00028272232,0.029718343,0.02967431
patchcore,90,0.0011057333,0.05379076,0.05334282
patchcore,95,0.0012909198,0.13681678,0.13706131
patchcore,100,0.0014893939,0.15593053,0.15580888
textcnn,5,0.07664591,-100.0,-100.0
textcnn,10,0.17523155,-100.0,-100.0
textcnn,15,0.060491264,-100.0,-100.0
textcnn,20,0.19159988,-100.0,-100.0
textcnn,25,0.14253849,-100.0,-100.0
textcnn,30,0.090076685,-100.0,-100.0
textcnn,35,0.06870705,-100.0,-100.0
textcnn,40,0.28257328,-100.0,-100.0
textcnn,45,0.26450083,-100.0,-100.0
textcnn,50,0.08997011,-100.0,-100.0
textcnn,55,0.14002496,-100.0,-100.0
textcnn,60,0.2070722,-100.0,-100.0
textcnn,65,0.046215236,-100.0,-100.0
textcnn,70,0.24359241,-100.0,-100.0
textcnn,75,0.054804146,-100.0,-100.0
textcnn,80,0.399262,-100.0,-100.0
textcnn,85,0.16063023,-100.0,-100.0
textcnn,90,0.22767335,-100.0,-100.0
textcnn,95,0.13230175,-100.0,-100.0
textcnn,100,0.09546664,-100.0,-100.0
SSDmobilenetv1,5,0.00013834274,0.49874875,0.4987474
SSDmobilenetv1,10,0.00013198427,0.4955928,0.49559084
SSDmobilenetv1,15,0.00013564732,0.4932927,0.4932877
SSDmobilenetv1,20,0.00017318189,0.5055891,0.50559723
SSDmobilenetv1,25,0.00015488882,0.5113027,0.5113098
SSDmobilenetv1,30,0.0001068253,0.49495685,0.49495366
SSDmobilenetv1,35,0.00012710918,0.49153897,0.49153826
SSDmobilenetv1,40,0.00011765188,0.4835389,0.48352882
SSDmobilenetv1,45,0.00011580325,0.48378703,0.48378572
SSDmobilenetv1,50,0.00016338905,0.5081129,0.50811434
SSDmobilenetv1,55,0.00018960921,0.5232881,0.5232787
SSDmobilenetv1,60,0.0001421167,0.5335927,0.53358734
SSDmobilenetv1,65,0.00013723412,0.5348123,0.53481394
SSDmobilenetv1,70,0.00013101163,0.5282701,0.52826333
SSDmobilenetv1,75,0.0001425158,0.52454185,0.5245372
SSDmobilenetv1,80,0.00015112467,0.5369831,0.5369741
SSDmobilenetv1,85,0.00013415265,0.5301507,0.5301487
SSDmobilenetv1,90,0.00014792068,0.5255498,0.5255513
SSDmobilenetv1,95,0.00015089457,0.5238467,0.5238399
SSDmobilenetv1,100,0.00015998939,0.5213922,0.5213893
yolov3,5,0.37227708,-100.0,-100.0
yolov3,10,0.36804286,-100.0,-100.0
yolov3,15,0.368523,-100.0,-100.0
yolov3,20,0.3658846,-100.0,-100.0
yolov3,25,0.366459,-100.0,-100.0
yolov3,30,0.37253517,-100.0,-100.0
yolov3,35,0.36672133,-100.0,-100.0
yolov3,40,0.3667246,-100.0,-100.0
yolov3,45,0.3652864,-100.0,-100.0
yolov3,50,0.36451954,-100.0,-100.0
yolov3,55,0.35981148,-100.0,-100.0
yolov3,60,0.36249432,-100.0,-100.0
yolov3,65,0.3640635,-100.0,-100.0
yolov3,70,0.366484,-100.0,-100.0
yolov3,75,0.36684352,-100.0,-100.0
yolov3,80,0.3657924,-100.0,-100.0
yolov3,85,0.36578172,-100.0,-100.0
yolov3,90,0.36434293,-100.0,-100.0
yolov3,95,0.36284217,-100.0,-100.0
yolov3,100,0.36749247,-100.0,-100.0
ssimae,5,5.9289665e-05,0.17987007,0.17987688
ssimae,10,6.253587e-05,0.184259,0.1842417
ssimae,15,4.651655e-05,0.13494769,0.13493879
ssimae,20,5.7907305e-06,0.010982238,0.010982587
ssimae,25,4.9625833e-06,0.0061742514,0.0061778235
ssimae,30,1.1068542e-05,0.00976378,0.009767124
ssimae,35,2.3359896e-06,0.0020653189,0.0020661396
ssimae,40,7.980058e-06,0.011934947,0.011934803
ssimae,45,2.8254115e-06,0.00239499,0.0023948082
ssimae,50,8.79486e-06,0.012665908,0.012663796
ssimae,55,1.6060321e-05,0.017050866,0.017047184
ssimae,60,6.1776736e-06,0.007934578,0.007932055
ssimae,65,3.93683e-06,0.00588567,0.0058836467
ssimae,70,1.7876744e-05,0.01965986,0.019645454
ssimae,75,6.8394693e-06,0.009637856,0.009636448
ssimae,80,9.495336e-06,0.012380709,0.012379539
ssimae,85,4.8837483e-06,0.0040663737,0.0040672137
ssimae,90,6.9245584e-06,0.011632912,0.011636757
ssimae,95,5.0021004e-06,0.0037619397,0.0037600817
ssimae,100,3.7749744e-06,0.0038180053,0.003818891
openpose,5,1.955829e-06,0.00065402477,0.0006537548
openpose,10,2.1949243e-06,0.0010105344,0.0010104058
openpose,15,2.1927729e-06,0.00037960737,0.00038066282
openpose,20,2.2598357e-05,0.007391417,0.007388632
openpose,25,2.1707148e-05,0.005975928,0.0059649455
openpose,30,1.5377711e-05,0.006075978,0.0060734064
openpose,35,2.0828555e-05,0.0057257963,0.0057281614
openpose,40,1.1777113e-05,0.0045512505,0.004545497
openpose,45,9.177908e-06,0.003800086,0.003795109
openpose,50,1.0202831e-05,0.0039138263,0.0039149085
openpose,55,4.2981424e-06,0.0024423336,0.0024418884
openpose,60,0.00031126797,0.06327903,0.06299245
openpose,65,0.00042237027,0.6383246,0.63825816
openpose,70,0.0014696545,1.2516897,1.250477
openpose,75,0.01180821,11.171675,11.1817045
openpose,80,0.01369645,12.040237,12.029636
openpose,85,0.07500103,69.490005,69.52263
openpose,90,0.08701991,84.72152,84.73777
openpose,95,0.33103663,143.99306,143.70137
openpose,100,0.49533924,260.57648,260.16837
vgg16,5,2.956348,4.250664,2.2444482
vgg16,10,2.4542098,5.650503,3.4354827
vgg16,15,3.0845294,6.44376,4.5458717
vgg16,20,56.117546,613669.1,613632.94
vgg16,25,2.4542098,9.085577,7.9641356
vgg16,30,2.9042728,6.5867357,4.720413
vgg16,35,2.2222147,3.8689647,2.1120381
vgg16,40,1.106432,7.701909,6.6135397
vgg16,45,0.6001093,2.316487,1.7525532
vgg16,50,2.6160655,9.708394,7.237175
vgg16,55,63.821095,833973.5,833910.25
vgg16,60,40.364964,556681.4,556641.1
vgg16,65,3.2697022,10.960852,7.740457
vgg16,70,75.34842,413902.38,413834.8
vgg16,75,67.38853,409841.03,409785.34
vgg16,80,57.95276,419411.84,419374.94
vgg16,85,62.654015,480614.4,480568.8
vgg16,90,99.26204,674343.94,674260.06
vgg16,95,171.76627,648943.4,648772.3
vgg16,100,158.42734,398237.6,398098.2
