model_name,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
resnet50,5,4.9227495,6.607052,9.001731
resnet50,10,5.0096245,5.3843822,7.9933715
resnet50,15,5.0228887,4.9050107,7.5584593
resnet50,20,5.028981,4.8078685,7.463197
resnet50,25,5.03891,4.761121,7.4206305
resnet50,30,5.03891,4.7511177,7.410337
resnet50,35,5.03891,4.7491484,7.4082823
resnet50,40,5.03891,4.748757,7.40785
resnet50,45,5.03891,4.748681,7.407762
resnet50,50,5.03891,4.7486672,7.4077454
resnet50,55,5.03891,4.748665,7.407743
resnet50,60,5.03891,4.748665,7.4077425
resnet50,65,5.03891,4.748664,7.4077425
resnet50,70,5.03891,4.748664,7.4077425
resnet50,75,5.03891,4.7486644,7.4077425
resnet50,80,5.03891,4.748664,7.4077425
resnet50,85,5.03891,4.748664,7.4077425
resnet50,90,5.03891,4.748664,7.4077425
resnet50,95,5.03891,4.748664,7.4077425
resnet50,100,5.03891,4.748664,7.4077425
unet,5,0.00013545247,0.34728253,0.3472804
unet,10,0.00015109636,0.22770582,0.22785667
unet,15,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,20,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,25,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,30,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,35,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,40,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,45,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,50,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,55,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,60,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,65,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,70,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,75,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,80,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,85,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,90,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,95,9.589087e-06,1.4493662e-05,1.6396678e-05
unet,100,9.589087e-06,1.4493662e-05,1.6396678e-05
SSDresnet50fpn,5,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,10,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,15,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,20,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,25,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,30,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,35,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,40,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,45,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,50,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,55,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,60,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,65,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,70,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,75,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,80,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,85,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,90,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,95,9.3221766e-05,0.50003207,0.50002974
SSDresnet50fpn,100,9.3221766e-05,0.50003207,0.50002974
deeplabv3,5,1.899045,-100.0,-100.0
deeplabv3,10,1.9066691,-100.0,-100.0
deeplabv3,15,1.9024812,-100.0,-100.0
deeplabv3,20,1.9042609,-100.0,-100.0
deeplabv3,25,1.9036992,-100.0,-100.0
deeplabv3,30,1.8994187,-100.0,-100.0
deeplabv3,35,1.9020344,-100.0,-100.0
deeplabv3,40,1.8999841,-100.0,-100.0
deeplabv3,45,1.9089196,-100.0,-100.0
deeplabv3,50,1.9061769,-100.0,-100.0
deeplabv3,55,1.8968023,-100.0,-100.0
deeplabv3,60,1.9115945,-100.0,-100.0
deeplabv3,65,1.8931853,-100.0,-100.0
deeplabv3,70,1.8991996,-100.0,-100.0
deeplabv3,75,1.9012877,-100.0,-100.0
deeplabv3,80,1.9017614,-100.0,-100.0
deeplabv3,85,1.9010888,-100.0,-100.0
deeplabv3,90,1.9009002,-100.0,-100.0
deeplabv3,95,1.9044012,-100.0,-100.0
deeplabv3,100,1.9009644,-100.0,-100.0
patchcore,5,5.2532523e-05,0.052397978,0.052400686
patchcore,10,4.6437362e-05,0.053283975,0.05328624
patchcore,15,4.673849e-05,0.053260315,0.053265233
patchcore,20,4.420121e-05,0.05339834,0.05340212
patchcore,25,4.420121e-05,0.05339834,0.05340212
patchcore,30,4.420121e-05,0.05339834,0.05340212
patchcore,35,4.233117e-05,0.053398307,0.0534018
patchcore,40,4.233117e-05,0.053398307,0.0534018
patchcore,45,4.233117e-05,0.053398307,0.0534018
patchcore,50,4.233117e-05,0.053398307,0.0534018
patchcore,55,4.233117e-05,0.053398307,0.0534018
patchcore,60,4.233117e-05,0.053398307,0.0534018
patchcore,65,4.233117e-05,0.053398307,0.0534018
patchcore,70,4.233117e-05,0.053398307,0.0534018
patchcore,75,4.233117e-05,0.053398307,0.0534018
patchcore,80,4.233117e-05,0.053398307,0.0534018
patchcore,85,4.233117e-05,0.053398307,0.0534018
patchcore,90,4.233117e-05,0.053398307,0.0534018
patchcore,95,4.233117e-05,0.053398307,0.0534018
patchcore,100,4.233117e-05,0.053398307,0.0534018
textcnn,5,0.06329453,-100.0,-100.0
textcnn,10,0.12619025,-100.0,-100.0
textcnn,15,0.044473797,-100.0,-100.0
textcnn,20,0.22748712,-100.0,-100.0
textcnn,25,0.10293561,-100.0,-100.0
textcnn,30,0.13120934,-100.0,-100.0
textcnn,35,0.10211471,-100.0,-100.0
textcnn,40,0.054520786,-100.0,-100.0
textcnn,45,0.117643505,-100.0,-100.0
textcnn,50,0.100903064,-100.0,-100.0
textcnn,55,0.18204105,-100.0,-100.0
textcnn,60,0.106493115,-100.0,-100.0
textcnn,65,0.14867058,-100.0,-100.0
textcnn,70,0.07837555,-100.0,-100.0
textcnn,75,0.067000896,-100.0,-100.0
textcnn,80,0.24834283,-100.0,-100.0
textcnn,85,0.04951772,-100.0,-100.0
textcnn,90,0.13553485,-100.0,-100.0
textcnn,95,0.067266345,-100.0,-100.0
textcnn,100,0.10202855,-100.0,-100.0
SSDmobilenetv1,5,0.00010058132,0.4971761,0.4971725
SSDmobilenetv1,10,9.8540724e-05,0.49668303,0.49668023
SSDmobilenetv1,15,9.5454845e-05,0.49656233,0.49655953
SSDmobilenetv1,20,9.6503565e-05,0.49669266,0.49669045
SSDmobilenetv1,25,0.00010645858,0.49724752,0.4972459
SSDmobilenetv1,30,0.00010645858,0.49724752,0.4972459
SSDmobilenetv1,35,0.00010645858,0.49724752,0.4972459
SSDmobilenetv1,40,0.00010645858,0.49724752,0.4972459
SSDmobilenetv1,45,0.00010645858,0.49724752,0.4972459
