model_name,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
resnet50,5,4.839526,5.974435,8.505873
resnet50,10,3.9055705,3.7161198,5.3145156
resnet50,15,3.9259903,3.3905768,4.527675
resnet50,20,3.8616219,3.5218563,4.554467
resnet50,25,3.8213391,3.3295357,4.338002
resnet50,30,3.9371333,3.385678,4.4837437
resnet50,35,3.936562,3.4413304,4.5097847
resnet50,40,4.033312,3.3335583,4.248435
resnet50,45,4.0366526,3.3435485,4.2548604
resnet50,50,3.9703774,3.3022366,4.2651644
resnet50,55,3.879788,3.324269,4.308627
resnet50,60,3.926881,3.3153038,4.2974505
resnet50,65,3.96343,3.6597543,4.5900965
resnet50,70,3.9976735,3.641835,4.5081053
resnet50,75,3.8650222,3.6571922,4.6212244
resnet50,80,3.822164,3.8160179,4.6823874
resnet50,85,4.051312,3.7663486,4.578098
resnet50,90,4.066243,3.8646064,4.8131256
resnet50,95,4.0721893,3.7948654,4.4592752
resnet50,100,4.068171,3.5932243,4.4340677
unet,5,0.0018106875,2.7199893,2.7186065
unet,10,0.0019364286,2.6868694,2.685382
unet,15,0.0018753478,2.7205644,2.719105
unet,20,0.001190714,2.6555722,2.6546564
unet,25,0.0011760597,2.657095,2.6561913
unet,30,0.0020701878,2.6775298,2.6759272
unet,35,0.0016061107,2.389444,2.3882937
unet,40,0.0013305261,2.3706822,2.3697069
unet,45,0.0011172208,2.2404375,2.2395997
unet,50,0.0014559241,2.1227171,2.121633
unet,55,0.001307066,1.9734333,1.9724815
unet,60,0.0011567122,1.7581421,1.7572833
unet,65,0.00050524966,1.6938437,1.6934707
unet,70,0.0010815295,1.6758327,1.6749569
unet,75,0.0015162737,1.7319858,1.7307788
unet,80,0.0005175835,1.5595539,1.5591288
unet,85,0.00018962483,1.519092,1.519162
unet,90,0.00017991144,1.5208346,1.520902
unet,95,0.0001903858,1.4965653,1.4966228
unet,100,0.0001679379,1.4914085,1.4914411
SSDresnet50fpn,5,9.385647e-05,0.5000319,0.5000296
SSDresnet50fpn,10,9.376623e-05,0.50003195,0.50002956
SSDresnet50fpn,15,9.376623e-05,0.50003195,0.50002956
SSDresnet50fpn,20,9.376623e-05,0.50003195,0.50002956
SSDresnet50fpn,25,9.384506e-05,0.500032,0.5000296
SSDresnet50fpn,30,9.382517e-05,0.50003195,0.50002956
SSDresnet50fpn,35,9.382517e-05,0.50003195,0.50002956
SSDresnet50fpn,40,9.382517e-05,0.50003195,0.50002956
SSDresnet50fpn,45,9.6742195e-05,0.50003135,0.5000292
SSDresnet50fpn,50,9.6635296e-05,0.50003135,0.50002915
SSDresnet50fpn,55,9.5512885e-05,0.5000309,0.50002915
SSDresnet50fpn,60,9.5512885e-05,0.5000309,0.50002915
SSDresnet50fpn,65,9.5512885e-05,0.5000309,0.50002915
SSDresnet50fpn,70,9.5512885e-05,0.5000309,0.50002915
SSDresnet50fpn,75,9.5512885e-05,0.5000309,0.50002915
SSDresnet50fpn,80,9.5389565e-05,0.50003123,0.50002944
SSDresnet50fpn,85,9.5268944e-05,0.5000311,0.50002944
SSDresnet50fpn,90,9.527037e-05,0.50003105,0.50002944
SSDresnet50fpn,95,9.527037e-05,0.50003105,0.50002944
SSDresnet50fpn,100,9.527037e-05,0.50003105,0.50002944
deeplabv3,5,1.9480006,-100.0,-100.0
deeplabv3,10,1.9551164,-100.0,-100.0
deeplabv3,15,1.9588518,-100.0,-100.0
deeplabv3,20,1.9556546,-100.0,-100.0
deeplabv3,25,1.9485894,-100.0,-100.0
deeplabv3,30,1.9411569,-100.0,-100.0
deeplabv3,35,1.9390112,-100.0,-100.0
deeplabv3,40,1.9349575,-100.0,-100.0
deeplabv3,45,1.9407533,-100.0,-100.0
deeplabv3,50,1.9342945,-100.0,-100.0
deeplabv3,55,1.9346633,-100.0,-100.0
deeplabv3,60,1.939567,-100.0,-100.0
deeplabv3,65,1.9288568,-100.0,-100.0
deeplabv3,70,1.9378436,-100.0,-100.0
deeplabv3,75,1.9309194,-100.0,-100.0
deeplabv3,80,1.927334,-100.0,-100.0
deeplabv3,85,1.9244363,-100.0,-100.0
deeplabv3,90,1.9105909,-100.0,-100.0
deeplabv3,95,1.9009287,-100.0,-100.0
deeplabv3,100,1.8906527,-100.0,-100.0
patchcore,5,5.5383825e-05,0.05702469,0.057025913
patchcore,10,3.9895884e-05,0.057613946,0.057615247
patchcore,15,8.424923e-05,0.051496066,0.051490176
patchcore,20,7.394394e-05,0.051763937,0.051764
