model_name,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
unet,2,0.0018106875,2.7199893,2.7186065
unet,4,10.9889555,262.2935,272.60397
unet,6,716.0665,13125.777,13579.688
unet,8,840531.8,17645178.0,17504736.0
unet,10,7930199400000.0,4879970000000.0,6740349300000.0
unet,12,7930199400000.0,4879970000000.0,6740349300000.0
unet,14,7930199400000.0,4879970000000.0,6740349300000.0
unet,16,7930199400000.0,4879970000000.0,6740349300000.0
unet,18,4019079800000000.0,2582670100000000.0,3416764900000000.0
unet,20,7.663973e+17,5.3620255e+17,6.5305596e+17
unet,22,4.4441934e+17,3.1071958e+17,3.7867854e+17
unet,24,1.0306833e+17,6.6489427e+16,8.669115e+16
unet,26,1.7568008e+19,1.1448881e+19,1.4759682e+19
unet,28,4.3960548e+21,2.8364585e+21,3.7383013e+21
unet,30,4.3960548e+21,2.8364585e+21,3.7383013e+21
unet,32,4.3960548e+21,2.8364585e+21,3.7383013e+21
unet,34,2.930957e+21,1.8904249e+21,2.491757e+21
unet,36,2.930957e+21,1.8904249e+21,2.491757e+21
unet,38,2.598305e+24,1.6904273e+24,2.1856035e+24
unet,40,2.598305e+24,1.6904273e+24,2.1856035e+24
SSDresnet50fpn,5,9.060004e-05,0.5000313,0.50002927
SSDresnet50fpn,10,9.231593e-05,0.5000314,0.5000298
SSDresnet50fpn,15,9.231593e-05,0.5000314,0.5000298
SSDresnet50fpn,20,0.06012243,0.4968765,0.49810764
SSDresnet50fpn,25,0.06869625,0.49661872,0.49742892
SSDresnet50fpn,30,0.0693831,0.49662182,0.49742752
SSDresnet50fpn,35,0.0693831,0.49662182,0.49742752
SSDresnet50fpn,40,0.08945876,0.49686983,0.49747851
SSDresnet50fpn,45,0.08894845,0.49720168,0.4973366
SSDresnet50fpn,50,0.093871616,0.4975417,0.49785236
SSDresnet50fpn,55,0.093683094,0.49753985,0.49785334
SSDresnet50fpn,60,0.089940384,0.49766165,0.49778062
SSDresnet50fpn,65,0.09948611,0.49695045,0.49771616
SSDresnet50fpn,70,0.090452276,0.49727258,0.49755016
SSDresnet50fpn,75,0.09489223,0.4976343,0.49768266
SSDresnet50fpn,80,0.09046043,0.4977882,0.49763143
SSDresnet50fpn,85,0.114358656,0.49778926,0.5007823
SSDresnet50fpn,90,0.117068835,0.49766657,0.50080925
SSDresnet50fpn,95,0.120255925,0.49539456,0.50157464
SSDresnet50fpn,100,0.12204772,0.4981666,0.50064987
patchcore,5,10.044598,23.233938,24.80048
patchcore,10,2675089400.0,2046940900.0,4707076000.0
patchcore,15,445271520.0,273677860.0,258451650.0
patchcore,20,688027340000.0,14789282000.0,673452300000.0
patchcore,25,6.124178e+17,19765740000000.0,6.1240035e+17
patchcore,30,3.075583e+18,8559774700.0,3.075583e+18
patchcore,35,1.8154708e+21,1071524160.0,1.8154708e+21
patchcore,40,2.528621e+20,4018180.0,2.528621e+20
patchcore,45,4.319744e+22,472244450.0,4.319744e+22
patchcore,50,6.73103e+26,3502685.5,6.73103e+26
patchcore,55,7.363861999999999e+29,104835560.0,7.363861999999999e+29
patchcore,60,3.0397795999999997e+30,226.5528,3.0397795999999997e+30
patchcore,65,inf,70725.164,inf
patchcore,70,inf,125152460.0,inf
patchcore,75,inf,2568697.2,inf
patchcore,80,,279456.47,
patchcore,85,,9858048.0,
patchcore,90,,0.2189674,
patchcore,95,,0.21897404,
patchcore,100,,162.28598,
textcnn,1,0.076129794,-100.0,-100.0
textcnn,2,0.22454661,-100.0,-100.0
textcnn,3,0.97712886,-100.0,-100.0
textcnn,4,0.8655329,-100.0,-100.0
textcnn,5,0.28806436,-100.0,-100.0
textcnn,6,0.4163133,-100.0,-100.0
textcnn,7,2.6032372,-100.0,-100.0
textcnn,8,2.175124,-100.0,-100.0
textcnn,9,1.3802812,-100.0,-100.0
textcnn,10,1.6857128,-100.0,-100.0
yolov3,5,1.8837384,-100.0,-100.0
yolov3,10,15900659000.0,-100.0,-100.0
yolov3,15,15900668000.0,-100.0,-100.0
yolov3,20,22869120000000.0,-100.0,-100.0
yolov3,25,9.186655e+16,-100.0,-100.0
yolov3,30,5.5476964e+18,-100.0,-100.0
yolov3,35,7.919405e+23,-100.0,-100.0
yolov3,40,1.5293766e+24,-100.0,-100.0
yolov3,45,1.512273e+27,-100.0,-100.0
yolov3,50,3.0432247e+30,-100.0,-100.0
yolov3,55,5.631086e+34,-100.0,-100.0
yolov3,60,inf,-100.0,-100.0
yolov3,65,inf,-100.0,-100.0
yolov3,70,,-100.0,-100.0
yolov3,75,,-100.0,-100.0
yolov3,80,,-100.0,-100.0
yolov3,85,,-100.0,-100.0
yolov3,90,,-100.0,-100.0
yolov3,95,,-100.0,-100.0
yolov3,100,,-100.0,-100.0
ssimae,2,6.0572147e-05,0.21609169,0.21610169
ssimae,4,0.21223472,0.13304342,0.1977792
ssimae,6,0.056946803,0.02071354,0.059020076
ssimae,8,0.04715152,0.011543638,0.04007749
ssimae,10,0.0611304,0.024656892,0.055816878
ssimae,12,0.0611304,0.024656892,0.055816878
