model_name,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
resnet50,5,2.9702616,2.964497,2.7834306
resnet50,10,3.5018082,3.4798157,3.4503167
resnet50,15,2.1001961,4.2619333,4.0232167
resnet50,20,2.1001961,3.8527522,4.1714673
resnet50,25,2.6045947,4.5655394,3.5520043
resnet50,30,0.91547364,1.4566189,1.342859
resnet50,35,1.1830734,1.8135469,1.8013026
resnet50,40,3.2051575,7.949308,5.8281956
resnet50,45,2.9852529,9.575334,8.299975
resnet50,50,2.0290732,16.481527,15.4108
resnet50,55,1.8649641,12.209929,10.504167
resnet50,60,1.8818865,13.550161,12.820096
resnet50,65,3.6343696,15.910624,13.615375
resnet50,70,0.4543101,1.8579878,1.4876082
resnet50,75,0.4996428,0.84425557,0.8091672
resnet50,80,1.0730925,5.2702265,4.7742405
resnet50,85,2.9530609,7.9641776,5.8642893
resnet50,90,2.1560516,1.9226818,2.3226151
resnet50,95,1.003088,0.8619407,0.8670292
resnet50,100,0.5141624,1.5362265,1.3363506
unet,2,0.0018106875,2.7199893,2.7186065
unet,4,0.0018106875,2.7199893,2.7186065
unet,6,0.0002394102,3.8781054,3.8781626
unet,8,0.0002394102,3.8781054,3.8781626
unet,10,0.00019868526,2.2528076,2.2530017
unet,12,0.00046936574,1.6763266,1.676795
unet,14,0.00033442958,1.9961993,1.9965334
unet,16,0.00033442958,1.9961993,1.9965334
unet,18,0.0003225995,1.9882493,1.9885716
unet,20,0.0003225995,1.9882493,1.9885716
unet,22,0.00013044289,1.1542733,1.1544029
unet,24,0.00013044289,1.1542733,1.1544029
unet,26,0.00010186866,1.157675,1.157775
unet,28,8.155652e-05,1.1892123,1.1892922
unet,30,0.000113079725,0.82244676,0.8225587
unet,32,0.00012274126,0.8215063,0.8216276
unet,34,0.00014390347,0.8290818,0.82922536
unet,36,0.0001363499,0.82937896,0.8295154
unet,38,0.00012369959,0.8366951,0.8368173
unet,40,0.00012369959,0.8366951,0.8368173
SSDresnet50fpn,5,9.386861e-05,0.50003445,0.5000399
SSDresnet50fpn,10,8.527855e-05,0.50003004,0.5000326
SSDresnet50fpn,15,8.722162e-05,0.5000302,0.50003237
SSDresnet50fpn,20,8.896113e-05,0.5000169,0.500015
SSDresnet50fpn,25,8.742652e-05,0.5000177,0.5000159
SSDresnet50fpn,30,9.0667505e-05,0.49998876,0.49998784
SSDresnet50fpn,35,0.00010006408,0.49999171,0.49999434
SSDresnet50fpn,40,9.805919e-05,0.4999909,0.4999961
SSDresnet50fpn,45,9.058741e-05,0.5000203,0.50001746
SSDresnet50fpn,50,9.895556e-05,0.49999124,0.49999553
SSDresnet50fpn,55,9.309229e-05,0.5000164,0.50001574
SSDresnet50fpn,60,8.488812e-05,0.50002015,0.50002015
SSDresnet50fpn,65,8.709111e-05,0.50002944,0.5000329
SSDresnet50fpn,70,8.567978e-05,0.5000297,0.500033
SSDresnet50fpn,75,7.996206e-05,0.50002056,0.50002486
SSDresnet50fpn,80,7.989035e-05,0.5000211,0.50002515
SSDresnet50fpn,85,8.2715946e-05,0.5000176,0.50002193
SSDresnet50fpn,90,8.242746e-05,0.50001764,0.50002193
SSDresnet50fpn,95,9.8800694e-05,0.4999944,0.4999976
SSDresnet50fpn,100,8.142064e-05,0.50001067,0.50001717
deeplabv3,5,2.0599668,-100.0,-100.0
deeplabv3,10,1.0131713,-100.0,-100.0
deeplabv3,15,1.0182439,-100.0,-100.0
deeplabv3,20,2.2786663,-100.0,-100.0
deeplabv3,25,2.0759025,-100.0,-100.0
deeplabv3,30,2.1245,-100.0,-100.0
deeplabv3,35,2.1766417,-100.0,-100.0
deeplabv3,40,2.2681687,-100.0,-100.0
deeplabv3,45,1.9171326,-100.0,-100.0
deeplabv3,50,2.1369967,-100.0,-100.0
deeplabv3,55,2.064692,-100.0,-100.0
deeplabv3,60,2.0872362,-100.0,-100.0
deeplabv3,65,2.1831791,-100.0,-100.0
deeplabv3,70,2.0142448,-100.0,-100.0
deeplabv3,75,2.0257065,-100.0,-100.0
deeplabv3,80,1.9442376,-100.0,-100.0
deeplabv3,85,1.8671745,-100.0,-100.0
deeplabv3,90,2.1154685,-100.0,-100.0
deeplabv3,95,2.0498292,-100.0,-100.0
deeplabv3,100,1.9504111,-100.0,-100.0
patchcore,5,4.3030333e-05,0.020624889,0.020626705
patchcore,10,3.9110484e-05,0.004504227,0.004503428
patchcore,15,5.2509135e-05,0.0022224234,0.002222352
patchcore,20,4.4304943e-05,0.0016501982,0.0016528352
patchcore,25,5.7746158e-05,0.003828891,0.0038297344
patchcore,30,1.1010411e-05,1.950583e-06,1.1302342e-05
patchcore,35,1.17429445e-05,7.152187e-05,7.3742034e-05
patchcore,40,1.29734635e-05,1.7383984e-05,2.4125331e-05
patchcore,45,1.658586e-05,8.585333e-06,1.9666539e-05
patchcore,50,2.814439e-05,0.00045711,0.0004570901
patchcore,55,1.9184123e-05,9.858694e-06,2.270871e-05
patchcore,60,1.9379911e-05,2.2473303e-06,1.9726527e-05
patchcore,65,1.9379911e-05,2.2473303e-06,1.9726527e-05
patchcore,70,9.924547e-06,8.5175934e-08,9.927942e-06
patchcore,75,1.0076064e-05,5.761444e-08,1.0076824e-05
patchcore,80,9.377323e-06,7.468937e-08,9.380719e-06
patchcore,85,9.28581e-06,3.397943e-07,9.334762e-06
patchcore,90,9.889109e-06,1.4737885e-06,1.0260847e-05
patchcore,95,3.179131e-05,1.6418342e-05,3.90982e-05
patchcore,100,3.3126416e-05,1.5189516e-05,3.849731e-05
textcnn,1,0.19739181,-100.0,-100.0
textcnn,2,0.6792429,-100.0,-100.0
textcnn,3,0.17067719,-100.0,-100.0
textcnn,4,0.039663017,-100.0,-100.0
textcnn,5,0.57596856,-100.0,-100.0
textcnn,6,0.11019856,-100.0,-100.0
textcnn,7,0.15607774,-100.0,-100.0
textcnn,8,0.1992132,-100.0,-100.0
textcnn,9,0.23869044,-100.0,-100.0
textcnn,10,0.12456995,-100.0,-100.0
SSDmobilenetv1,5,0.00010281529,0.4981949,0.49818957
SSDmobilenetv1,10,3.976421e-05,0.49884078,0.49883974
SSDmobilenetv1,15,3.8035167e-05,0.4988587,0.49885824
SSDmobilenetv1,20,1.8669762e-05,0.49815986,0.49815848
SSDmobilenetv1,25,2.5879295e-05,0.50186765,0.5018653
SSDmobilenetv1,30,3.257497e-05,0.4979366,0.497937
SSDmobilenetv1,35,3.253727e-05,0.4979576,0.49795794
SSDmobilenetv1,40,3.254099e-05,0.4981016,0.49810243
SSDmobilenetv1,45,3.3559674e-05,0.4981539,0.4981541
SSDmobilenetv1,50,3.516418e-05,0.49695036,0.49695125
SSDmobilenetv1,55,3.5923516e-05,0.4971166,0.4971183
SSDmobilenetv1,60,5.4353546e-05,0.49179208,0.4917933
SSDmobilenetv1,65,5.5880653e-05,0.4917298,0.49172848
SSDmobilenetv1,70,5.7349793e-05,0.49174902,0.49175072
SSDmobilenetv1,75,5.5485063e-05,0.49172714,0.49172878
SSDmobilenetv1,80,5.543766e-05,0.4918107,0.49181232
SSDmobilenetv1,85,5.119811e-05,0.49317178,0.49317294
SSDmobilenetv1,90,4.9395887e-05,0.4931049,0.49310294
SSDmobilenetv1,95,3.343777e-05,0.4919067,0.4919056
SSDmobilenetv1,100,2.1634994e-05,0.49370733,0.49370778
yolov3,5,0.39765975,-100.0,-100.0
yolov3,10,0.40041804,-100.0,-100.0
yolov3,15,0.40210104,-100.0,-100.0
yolov3,20,0.4108443,-100.0,-100.0
yolov3,25,0.41076308,-100.0,-100.0
yolov3,30,0.4109333,-100.0,-100.0
yolov3,35,0.41119897,-100.0,-100.0
yolov3,40,0.40783608,-100.0,-100.0
yolov3,45,0.40827614,-100.0,-100.0
yolov3,50,0.40847623,-100.0,-100.0
yolov3,55,0.40875036,-100.0,-100.0
yolov3,60,0.4084539,-100.0,-100.0
yolov3,65,0.4066118,-100.0,-100.0
yolov3,70,0.4166214,-100.0,-100.0
yolov3,75,0.41594142,-100.0,-100.0
yolov3,80,0.4162609,-100.0,-100.0
yolov3,85,0.41622382,-100.0,-100.0
yolov3,90,0.41645595,-100.0,-100.0
yolov3,95,0.41573027,-100.0,-100.0
yolov3,100,0.4171152,-100.0,-100.0
ssimae,2,3.1407537e-05,0.044151846,0.044149328
ssimae,4,2.422619e-05,0.018282428,0.01828823
ssimae,6,2.5308233e-05,0.018730402,0.018733962
ssimae,8,2.2828064e-05,0.008779272,0.008778087
ssimae,10,2.3389746e-05,0.010126557,0.010124148
ssimae,12,3.2177624e-05,0.028054312,0.028060509
ssimae,14,2.8760385e-05,0.018168231,0.018161437
ssimae,16,1.9787449e-05,0.0011307766,0.0011296895
ssimae,18,2.0393154e-05,0.00040411775,0.00040129255
ssimae,20,2.2866398e-05,0.0005807423,0.0005787104
ssimae,22,3.5500027e-05,0.0010120415,0.0010116473
ssimae,24,4.4240976e-05,0.010581225,0.010568633
ssimae,26,3.5754118e-05,0.008030586,0.008030227
ssimae,28,3.5761834e-05,0.008030596,0.008030227
ssimae,30,4.3348726e-05,0.016449202,0.016460223
