model_name,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
resnet50,5,5.804082,4.091837,7.341262
resnet50,10,4.5639806,3.8532176,6.444281
resnet50,15,1.999613,4.8545256,4.55743
resnet50,20,9.309055,6.4503417,3.0607078
resnet50,25,9.070364,2.9858155,6.5142035
resnet50,30,8.3958845,0.66800183,8.005959
resnet50,35,8.255458,0.37956846,8.081079
resnet50,40,8.253419,0.70951,7.826215
resnet50,45,8.226355,0.41869718,8.048427
resnet50,50,8.499849,0.7729291,7.9340224
resnet50,55,8.651564,0.58480227,8.384763
resnet50,60,8.657031,0.64777243,8.451253
resnet50,65,8.660301,0.77100885,8.664672
resnet50,70,10.828164,1.119607,11.511633
resnet50,75,0.9037777,0.8120699,0.68672276
resnet50,80,0.8996353,1.0572145,0.6072012
resnet50,85,0.98505944,0.79435736,0.7600666
resnet50,90,1.0705779,0.60869694,0.906328
resnet50,95,1.1545789,1.0293382,0.8859913
resnet50,100,1.1545789,2.27248,2.061929
unet,2,0.00026537295,1.4867185,1.4864599
unet,4,9.241098e-06,2.191312e-05,1.993937e-05
unet,6,1.2663894e-06,1.3329911e-07,1.1884216e-06
unet,8,8.871157e-07,1.1260451e-08,8.8172504e-07
unet,10,1.3702633e-07,1.5558107e-09,1.3800106e-07
unet,12,1.4090445e-07,1.619993e-10,1.4078657e-07
unet,14,1.4181508e-07,1.3645834e-10,1.4171165e-07
unet,16,1.4396541e-07,1.3857707e-10,1.4385726e-07
unet,18,1.2686947e-07,7.4124255e-05,7.412863e-05
unet,20,1.264629e-07,7.412426e-05,7.41285e-05
unet,22,1.2854399e-07,7.413302e-05,7.413956e-05
unet,24,1.666128e-09,4.1477276e-07,4.1453796e-07
unet,26,1.6807272e-09,9.064732e-07,9.078364e-07
unet,28,1.429419e-09,9.0647234e-07,9.071975e-07
unet,30,1.4223845e-09,9.064722e-07,9.0717924e-07
unet,32,1.3864095e-09,9.0647234e-07,9.0739417e-07
unet,34,1.384577e-09,9.0647234e-07,9.073946e-07
unet,36,1.472485e-09,9.0647245e-07,9.074106e-07
unet,38,1.821556e-09,9.064721e-07,9.0814456e-07
unet,40,1.821143e-09,9.064721e-07,9.0814365e-07
SSDresnet50fpn,5,8.9558234e-05,0.50003064,0.5000321
SSDresnet50fpn,10,8.64963e-05,0.5000298,0.50003076
SSDresnet50fpn,15,8.976291e-05,0.50002927,0.50002915
SSDresnet50fpn,20,8.976291e-05,0.50002927,0.50002915
SSDresnet50fpn,25,8.976291e-05,0.50002927,0.50002915
SSDresnet50fpn,30,8.976291e-05,0.50002927,0.50002915
SSDresnet50fpn,35,8.976291e-05,0.50002927,0.50002915
SSDresnet50fpn,40,8.976291e-05,0.50002927,0.50002915
SSDresnet50fpn,45,8.147685e-05,0.5000307,0.5000289
SSDresnet50fpn,50,8.148694e-05,0.5000307,0.5000289
SSDresnet50fpn,55,8.148694e-05,0.5000307,0.5000289
SSDresnet50fpn,60,8.148233e-05,0.50003076,0.50002897
SSDresnet50fpn,65,8.148233e-05,0.50003076,0.50002897
SSDresnet50fpn,70,8.148233e-05,0.50003076,0.50002897
SSDresnet50fpn,75,8.148233e-05,0.50003076,0.50002897
SSDresnet50fpn,80,8.148233e-05,0.50003076,0.50002897
SSDresnet50fpn,85,8.1472215e-05,0.50003076,0.50002897
SSDresnet50fpn,90,8.1484046e-05,0.5000307,0.50002897
SSDresnet50fpn,95,8.1493345e-05,0.5000307,0.5000289
SSDresnet50fpn,100,8.131466e-05,0.5000307,0.50002897
deeplabv3,5,1.98981,-100.0,-100.0
deeplabv3,10,1.2140123,-100.0,-100.0
deeplabv3,15,1.2112279,-100.0,-100.0
deeplabv3,20,0.2620653,-100.0,-100.0
deeplabv3,25,0.26346678,-100.0,-100.0
deeplabv3,30,0.14897786,-100.0,-100.0
deeplabv3,35,0.14729945,-100.0,-100.0
deeplabv3,40,0.16708902,-100.0,-100.0
deeplabv3,45,0.16938254,-100.0,-100.0
deeplabv3,50,0.16967596,-100.0,-100.0
deeplabv3,55,0.16879068,-100.0,-100.0
deeplabv3,60,0.16662395,-100.0,-100.0
deeplabv3,65,0.1698507,-100.0,-100.0
deeplabv3,70,0.17089729,-100.0,-100.0
deeplabv3,75,0.17247905,-100.0,-100.0
deeplabv3,80,0.17600767,-100.0,-100.0
