model_name,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
SSDresnet50fpn,4,9.983728e-05,0.5000324,0.5000317
SSDresnet50fpn,8,8.098558e-05,0.50003076,0.500029
SSDresnet50fpn,12,8.098558e-05,0.50003076,0.500029
SSDresnet50fpn,16,8.1467995e-05,0.50003076,0.50002897
SSDresnet50fpn,20,8.1467995e-05,0.50003076,0.50002897
SSDresnet50fpn,24,8.1470374e-05,0.50003076,0.50002897
SSDresnet50fpn,28,8.1470615e-05,0.50003076,0.50002897
SSDresnet50fpn,32,8.145686e-05,0.5000307,0.50002897
SSDresnet50fpn,36,8.145686e-05,0.5000307,0.50002897
SSDresnet50fpn,40,8.145686e-05,0.5000307,0.50002897
SSDresnet50fpn,44,8.145686e-05,0.5000307,0.50002897
SSDresnet50fpn,48,8.144917e-05,0.5000307,0.50002897
SSDresnet50fpn,52,8.918164e-05,0.5000078,0.50000787
SSDresnet50fpn,56,9.026957e-05,0.5000161,0.5000184
SSDresnet50fpn,60,9.026957e-05,0.5000161,0.5000184
SSDresnet50fpn,64,9.026957e-05,0.5000161,0.5000184
SSDresnet50fpn,68,9.026957e-05,0.5000161,0.5000184
SSDresnet50fpn,72,9.026957e-05,0.5000161,0.5000184
SSDresnet50fpn,76,9.026957e-05,0.5000161,0.5000184
SSDresnet50fpn,80,9.026289e-05,0.5000161,0.5000184
SSDresnet50fpn,84,0.00013194174,0.50001353,0.50001913
SSDresnet50fpn,88,0.00013194174,0.50001353,0.50001913
SSDresnet50fpn,92,0.00017072678,0.50000906,0.50000674
SSDresnet50fpn,96,0.00010516822,0.50000185,0.5000009
SSDresnet50fpn,100,0.00011749573,0.50000155,0.50000113
unet,4,0.0003624892,3.5427403,3.5425382
unet,8,0.00086184975,3.037196,3.038057
unet,12,0.001277767,3.3527942,3.3540716
unet,16,6.40722,140.18237,141.07822
unet,20,11.4607725,339.8033,350.3502
unet,24,2.179032,63.116497,65.1706
unet,28,1.0888245,32.67351,33.68027
unet,32,12.633968,339.11935,351.75333
unet,36,48389.03,3482500.8,3434111.5
unet,40,257134.9,5075033.0,4817898.0
unet,44,125410910.0,7832130000.0,7706719000.0
unet,48,2366.6914,93928.414,93893.016
unet,52,4423.431,9186.019,4774.6113
unet,56,1181.1589,14.826308,1181.2107
unet,60,1168.9244,13.846571,1169.9447
unet,64,1124.6792,14.79748,1125.1389
unet,68,0.03194431,1.1505917,1.1816138
unet,72,0.053750474,1.7393993,1.7906706
unet,76,0.053750474,0.45248762,0.46159938
unet,80,0.05532001,1.6689056,1.7199225
unet,84,0.054873466,1.7412794,1.7926092
unet,88,0.054880653,1.8950386,1.9476432
unet,92,0.032481648,1.8748499,1.9058026
unet,96,0.033895522,1.8548698,1.8870208
unet,100,0.03849987,1.7259723,1.7617038
SSDmobilenetv1,4,0.019363267,0.49649325,0.49578258
SSDmobilenetv1,8,0.006019037,0.49487397,0.49468002
SSDmobilenetv1,12,0.0057168533,0.49450272,0.49432993
SSDmobilenetv1,16,0.006709504,0.49668023,0.49650842
SSDmobilenetv1,20,0.00033540095,0.49779347,0.49778923
SSDmobilenetv1,24,6.979191e-05,0.4988032,0.49880219
SSDmobilenetv1,28,7.089109e-05,0.4987164,0.49871516
SSDmobilenetv1,32,0.000117488045,0.5008696,0.5008743
SSDmobilenetv1,36,0.00012537619,0.50766486,0.50766855
SSDmobilenetv1,40,0.030340496,0.5076502,0.5082964
SSDmobilenetv1,44,0.030384652,0.5076522,0.5082958
SSDmobilenetv1,48,0.030327534,0.5076522,0.508298
SSDmobilenetv1,52,0.03027267,0.49529454,0.49593762
SSDmobilenetv1,56,0.030255787,0.492574,0.49321565
SSDmobilenetv1,60,0.03025539,0.49246407,0.49310628
SSDmobilenetv1,64,2.5309046e-05,0.4929496,0.4929491
