mut_types,mut_layer_name,mut_result
LS,"network.layer3.4.relu,network.layer3.5.bn3",True
PM,"[2, 1024, 40, 40]",True
NS,network.conv1,True
AFRM,network.layer1.0.relu,True
RA,network.layer2.1.relu,True
DM,network.layer2.1.relu,True
SM,network.layer2.3.conv1,True
GF,network.layer4.1.bn2,True
DM,network.layer3.3.relu,True
LS,"network.layer3.2.relu,network.layer3.4.bn3",True
WS,network.layer1.0.conv1,True
NS,network.layer2.3.conv3,True
NEB,network.layer1.2.conv3,True
RA,network.layer3.5.relu,True
DM,network.layer1.1.relu,True
NS,network.layer2.1.conv2,True
LC,network.layer2.0.bn1,True
DM,network.layer4.2.relu,True
GF,network.layer4.2.bn2,True
DM,network.layer2.3.relu,True
WS,network.layer3.0.conv3,True
NS,network.layer2.3.conv2,True
LA,no,LA Create illegal layer
PM,"[2, 64, 160, 160]",True
LA,network.layer2.3.bn3,True
NS,network.conv1,True
NS,network.layer2.2.conv1,True
DM,network.layer2.3.conv1,True
AFRM,network.layer2.2.relu,True
LA,network.layer2.0.bn1,True
PM,"[2, 1024, 40, 40]",True
LA,network.layer3.2.bn1,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
WS,network.layer3.1.conv3,True
GF,network.layer3.4.bn3,True
NS,network.layer4.1.conv2,True
SM,network.layer1.0.conv3,True
LC,network.layer1.1.bn3,True
LA,no,LA Create illegal layer
NS,network.layer1.2.conv1,True
NEB,network.layer1.2.conv3,True
NEB,network.layer1.2.conv3,True
RA,network.layer3.5.relu,True
NEB,network.layer1.2.conv3,True
LD,network.layer3.3.bn2,True
AFRM,network.layer3.5.bn3,True
RA,network.layer4.1.relu,True
LS,"network.layer3.2.bn1,network.layer3.4.bn2",True
SM,network.layer4.2.conv3,True
LS,no,set layers failure
NAI,network.layer3.5.conv3,True
LS,"network.layer1.1.relu,network.layer1.0.bn3",True
AFRM,network.layer4.0.relu,True
SM,network.layer4.0.down_sample_layer.0,True
NAI,network.layer3.3.conv1,True
NEB,network.layer1.2.conv3,True
NAI,network.layer2.0.bn1,True
LC,network.layer3.4.bn3,True
LA,network.layer1.1.relu,True
NEB,network.layer1.2.conv3,True
DM,network.layer1.0.bn3,True
RA,network.layer3.0.relu,True
NAI,network.layer4.1.conv3,True
LC,network.layer1.0.conv1,True
WS,network.layer2.0.conv3,True
LC,network.layer4.1.bn2,True
DM,network.layer1.0.bn3,True
LS,"network.layer1.1.bn3,network.layer1.2.bn3",True
LD,network.layer1.1.relu,True
LS,no,set layers failure
LD,network.layer1.1.bn3,True
RA,network.layer3.5.relu,True
GF,network.layer3.0.bn3,True
PM,"[2, 512, 20, 20]",True
NEB,network.layer1.2.conv3,True
DM,network.layer4.1.relu,True
PM,"[2, 512, 80, 80]",True
DM,no,DM Create illegal layer
AFRM,network.layer1.2.relu,True
WS,no,no suitable layer
NAI,network.layer3.4.conv1,True
LD,network.layer3.2.relu,True
LS,"network.layer2.3.bn2,network.layer2.3.conv2",True
NEB,network.layer1.2.conv3,True
NS,network.layer2.0.bn1,True
NAI,network.layer1.2.conv3,True
NS,network.layer3.0.down_sample_layer.0,True
PM,"[2, 1024, 40, 40]",True
LD,network.layer3.2.bn2,True
NAI,network.layer3.4.conv3,True
RA,network.layer3.1.relu,True
LS,"network.layer3.5.relu,network.layer3.1.relu",True
NS,network.layer3.0.conv2,True
GF,network.layer3.3.relu,True
SM,network.layer1.0.conv3,True
WS,network.layer1.1.conv1,True
LA,network.layer1.0.conv1,True
LA,network.layer3.3.conv2,True
PM,"[2, 1024, 40, 40]",True
