mut_types,mut_layer_name,mut_result
DM,network.6.2,True
DM,network.14.2,True
DM,network.22.2,True
DM,network.10.2,True
DM,network.26.2,True
DM,network.1.2,True
DM,network.14.2,True
DM,network.25.2,True
DM,network.20.2,True
DM,network.26.2,True
DM,network.13.2,True
DM,network.6.2,True
DM,network.3.2,True
DM,network.9.2,True
DM,network.25.2,True
DM,network.12.2,True
DM,network.7.2,True
DM,network.3.2,True
DM,network.15.2,True
DM,network.24.2,True
DM,network.10.2,True
DM,network.15.2,True
DM,network.8.2,True
DM,network.21.2,True
DM,network.8.2,True
DM,network.13.2,True
DM,network.12.2,True
DM,network.22.2,True
DM,network.13.2,True
DM,network.4.2,True
DM,network.16.2,True
DM,network.17.2,True
DM,network.20.2,True
DM,network.3.2,True
DM,network.10.2,True
DM,network.2.2,True
DM,network.23.2,True
DM,network.9.2,True
DM,network.4.2,True
DM,network.19.2,True
DM,network.21.2,True
DM,network.1.2,True
DM,network.23.2,True
DM,network.5.2,True
DM,network.23.2,True
DM,network.23.2,True
DM,network.2.2,True
DM,network.23.2,True
DM,network.24.2,True
DM,network.0.2,True
DM,network.6.2,True
DM,network.0.2,True
DM,network.10.2,True
DM,network.20.2,True
DM,network.23.2,True
DM,network.22.2,True
DM,network.16.2,True
DM,network.14.2,True
DM,network.18.2,True
DM,network.21.2,True
DM,network.6.2,True
DM,network.18.2,True
DM,network.5.2,True
DM,network.24.2,True
DM,network.26.2,True
DM,network.13.2,True
DM,network.24.2,True
DM,network.1.2,True
DM,network.9.2,True
DM,network.11.2,True
DM,network.7.2,True
DM,network.11.2,True
DM,network.20.2,True
DM,network.5.2,True
DM,network.16.2,True
DM,network.6.2,True
DM,network.19.2,True
DM,network.0.2,True
DM,network.19.2,True
DM,network.16.2,True
DM,network.24.2,True
DM,network.4.2,True
DM,network.19.2,True
DM,network.1.2,True
DM,network.11.2,True
DM,network.3.2,True
DM,network.9.2,True
DM,network.7.2,True
DM,network.18.2,True
DM,network.0.2,True
DM,network.2.2,True
DM,network.17.2,True
DM,network.0.2,True
DM,network.7.2,True
DM,network.23.2,True
DM,network.7.2,True
DM,network.5.2,True
DM,network.26.2,True
DM,network.20.2,True
DM,network.12.2,True
