mut_types,mut_layer_name,mut_result
DM,network.layer2.2.relu,True
DM,network.layer3.5.relu,True
DM,network.layer3.5.relu,True
DM,network.layer4.2.relu,True
DM,network.layer3.2.relu,True
DM,network.layer3.4.relu,True
DM,network.layer3.5.relu,True
DM,network.layer3.3.relu,True
DM,network.layer3.3.relu,True
DM,network.layer2.2.relu,True
DM,network.layer4.1.relu,True
DM,network.layer1.0.relu,True
DM,network.layer3.5.relu,True
DM,network.layer4.0.relu,True
DM,network.layer3.1.relu,True
DM,network.layer3.5.relu,True
DM,network.layer1.0.relu,True
DM,network.layer2.1.relu,True
DM,network.layer4.0.relu,True
DM,network.layer3.2.relu,True
DM,network.layer3.4.relu,True
DM,network.layer2.3.relu,True
DM,network.layer3.4.relu,True
DM,network.layer1.1.relu,True
DM,network.layer2.1.relu,True
DM,network.layer3.5.relu,True
DM,network.layer2.0.relu,True
DM,network.layer1.2.relu,True
DM,network.layer3.0.relu,True
DM,network.layer1.0.relu,True
DM,network.layer1.0.relu,True
DM,network.layer2.1.relu,True
DM,network.layer3.2.relu,True
DM,network.layer4.1.relu,True
DM,network.layer1.1.relu,True
DM,network.layer4.1.relu,True
DM,network.layer4.2.relu,True
DM,network.layer2.3.relu,True
DM,network.layer1.1.relu,True
DM,network.layer1.1.relu,True
DM,network.layer2.0.relu,True
DM,network.layer2.0.relu,True
DM,network.layer4.1.relu,True
DM,network.layer3.4.relu,True
DM,network.layer2.0.relu,True
DM,network.layer2.0.relu,True
DM,network.layer2.0.relu,True
DM,network.layer4.0.relu,True
DM,network.layer2.0.relu,True
DM,network.layer1.2.relu,True
DM,network.layer1.0.relu,True
DM,network.layer4.2.relu,True
DM,network.layer3.5.relu,True
DM,network.layer1.2.relu,True
DM,network.layer2.0.relu,True
DM,network.layer1.0.relu,True
DM,network.layer2.2.relu,True
DM,network.layer3.0.relu,True
DM,network.layer3.3.relu,True
DM,network.layer3.5.relu,True
DM,network.layer3.1.relu,True
DM,network.layer2.2.relu,True
DM,network.layer3.0.relu,True
DM,network.layer3.1.relu,True
DM,network.layer2.2.relu,True
DM,network.layer4.0.relu,True
DM,network.layer3.1.relu,True
DM,network.layer3.3.relu,True
DM,network.layer3.4.relu,True
DM,network.layer4.1.relu,True
DM,network.layer3.4.relu,True
DM,network.layer2.2.relu,True
DM,network.layer4.2.relu,True
DM,network.layer1.2.relu,True
DM,network.layer4.2.relu,True
DM,network.layer4.0.relu,True
DM,network.layer2.2.relu,True
DM,network.layer3.3.relu,True
DM,network.layer4.0.relu,True
DM,network.layer3.2.relu,True
DM,network.layer4.0.relu,True
DM,network.layer2.0.relu,True
DM,network.layer4.0.relu,True
DM,network.layer4.0.relu,True
DM,network.layer1.2.relu,True
DM,network.layer2.2.relu,True
DM,network.layer3.0.relu,True
DM,network.layer2.0.relu,True
DM,network.layer1.1.relu,True
DM,network.layer3.2.relu,True
DM,network.layer2.0.relu,True
DM,network.layer2.1.relu,True
DM,network.layer1.0.relu,True
DM,network.layer2.3.relu,True
DM,network.layer3.4.relu,True
DM,network.layer1.0.relu,True
DM,network.layer2.2.relu,True
DM,network.layer1.1.relu,True
DM,network.layer3.1.relu,True
DM,network.layer2.0.relu,True
