mut_types,mut_layer_name,mut_result
DM,no,False
DM,aspp.relu,True
DM,no,False
DM,no,False
DM,no,False
DM,aspp.aspp_pooling.conv.2,True
DM,aspp.aspp_pooling.conv.2,True
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,aspp.aspp_pooling.conv.2,True
DM,no,False
DM,aspp.relu,True
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,aspp.relu,True
DM,no,False
DM,aspp.relu,True
DM,no,False
DM,no,False
DM,no,False
DM,aspp.relu,True
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,aspp.aspp_pooling.conv.2,True
DM,no,False
DM,no,False
DM,aspp.relu,True
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,aspp.relu,True
DM,aspp.relu,True
DM,no,False
DM,no,False
DM,aspp.relu,True
DM,no,False
DM,aspp.relu,True
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,aspp.aspp_pooling.conv.2,True
DM,no,False
DM,no,False
DM,aspp.aspp_pooling.conv.2,True
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,aspp.aspp_pooling.conv.2,True
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,aspp.aspp_pooling.conv.2,True
DM,no,False
DM,aspp.aspp_pooling.conv.2,True
DM,aspp.relu,True
DM,aspp.relu,True
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,aspp.aspp_pooling.conv.2,True
DM,no,False
DM,no,False
DM,aspp.relu,True
DM,aspp.aspp_pooling.conv.2,True
DM,no,False
DM,aspp.relu,True
DM,aspp.relu,True
DM,aspp.aspp_pooling.conv.2,True
DM,aspp.relu,True
