mut_types,mut_layer_name,mut_result
DM,stage_2.relu,True
DM,base.vgg_base.layers.13,True
DM,base.vgg_base.layers.8,True
DM,stage_3.relu,True
DM,base.vgg_base.layers.6,True
DM,base.vgg_base.layers.17,True
DM,base.vgg_base.layers.17,True
DM,stage_4.relu,True
DM,stage_2.relu,True
DM,base.vgg_base.layers.22,True
DM,stage_4.relu,True
DM,base.vgg_base.layers.17,True
DM,stage_5.relu,True
DM,stage_4.relu,True
DM,stage_5.relu,True
DM,base.vgg_base.layers.20,True
DM,base.vgg_base.layers.3,True
DM,base.vgg_base.layers.13,True
DM,base.vgg_base.layers.1,True
DM,base.vgg_base.layers.20,True
DM,base.vgg_base.layers.20,True
DM,stage_6.relu,True
DM,no,False
DM,base.vgg_base.layers.1,True
DM,base.vgg_base.layers.15,True
DM,base.vgg_base.layers.11,True
DM,base.vgg_base.layers.11,True
DM,base.vgg_base.layers.11,True
DM,stage_3.relu,True
DM,base.vgg_base.layers.11,True
DM,stage_5.relu,True
DM,stage_6.relu,True
DM,base.vgg_base.layers.20,True
DM,no,False
DM,base.vgg_base.layers.8,True
DM,no,False
DM,stage_5.relu,True
DM,base.vgg_base.layers.3,True
DM,stage_5.relu,True
DM,base.vgg_base.layers.17,True
DM,base.vgg_base.layers.13,True
DM,base.vgg_base.layers.1,True
DM,no,False
DM,no,False
DM,no,False
DM,no,False
DM,base.vgg_base.layers.6,True
DM,stage_2.relu,True
DM,stage_4.relu,True
DM,no,False
DM,no,False
DM,base.vgg_base.layers.6,True
DM,base.vgg_base.layers.8,True
DM,base.vgg_base.layers.8,True
DM,no,False
DM,base.vgg_base.layers.6,True
DM,base.vgg_base.layers.20,True
DM,base.vgg_base.layers.8,True
DM,base.vgg_base.layers.15,True
DM,no,False
DM,base.vgg_base.layers.15,True
DM,no,False
DM,base.vgg_base.layers.13,True
DM,stage_4.relu,True
DM,stage_2.relu,True
DM,base.vgg_base.layers.20,True
DM,base.vgg_base.layers.15,True
DM,base.vgg_base.layers.15,True
DM,stage_2.relu,True
DM,no,False
DM,base.vgg_base.layers.1,True
DM,stage_3.relu,True
DM,stage_6.relu,True
DM,base.vgg_base.layers.3,True
DM,no,False
DM,base.vgg_base.layers.1,True
DM,base.vgg_base.layers.1,True
DM,base.vgg_base.layers.3,True
DM,stage_6.relu,True
DM,base.vgg_base.layers.6,True
DM,stage_5.relu,True
DM,base.vgg_base.layers.6,True
DM,base.vgg_base.layers.3,True
DM,stage_5.relu,True
DM,no,False
DM,stage_5.relu,True
DM,stage_5.relu,True
DM,stage_4.relu,True
DM,stage_5.relu,True
DM,stage_6.relu,True
DM,base.vgg_base.layers.15,True
DM,base.vgg_base.layers.17,True
DM,stage_5.relu,True
DM,stage_2.relu,True
DM,base.vgg_base.layers.22,True
DM,base.vgg_base.layers.22,True
DM,stage_5.relu,True
DM,stage_5.relu,True
DM,no,False
DM,base.vgg_base.layers.20,True
