mut_types,mut_layer_name,mut_result
DM,decoded.3,True
DM,decoded.9,True
DM,encoded.11,True
DM,encoded.7,True
DM,encoded.1,True
DM,encoded.13,True
DM,decoded.11,True
DM,encoded.7,True
DM,encoded.9,True
DM,encoded.15,True
DM,decoded.9,True
DM,encoded.5,True
DM,decoded.9,True
DM,decoded.7,True
DM,encoded.11,True
DM,encoded.17,True
DM,decoded.17,True
DM,encoded.11,True
DM,encoded.11,True
DM,decoded.15,True
DM,decoded.19,True
DM,decoded.19,True
DM,decoded.5,True
DM,encoded.15,True
DM,encoded.7,True
DM,decoded.1,True
DM,encoded.3,True
DM,encoded.7,True
DM,encoded.15,True
DM,encoded.17,True
DM,decoded.1,True
DM,decoded.19,True
DM,encoded.5,True
DM,decoded.15,True
DM,decoded.15,True
DM,decoded.7,True
DM,decoded.1,True
DM,decoded.19,True
DM,encoded.1,True
DM,encoded.1,True
