mut_types,mut_layer_name,mut_result
DM,layers.16,True
DM,classifier.2,True
DM,layers.26,True
DM,classifier.6,True
DM,layers.29,True
DM,layers.5,True
DM,classifier.3,True
DM,layers.9,True
DM,layers.12,True
DM,classifier.4,True
DM,layers.2,True
DM,layers.2,True
DM,layers.2,True
DM,layers.19,True
DM,classifier.3,True
DM,layers.9,True
DM,layers.36,True
DM,classifier.3,True
DM,layers.36,True
DM,classifier.4,True
DM,layers.29,True
DM,layers.42,True
DM,layers.9,True
DM,layers.22,True
DM,layers.9,True
DM,layers.9,True
DM,layers.26,True
DM,classifier.4,True
DM,layers.19,True
DM,layers.36,True
DM,classifier.5,True
DM,layers.32,True
DM,classifier.3,True
DM,layers.9,True
DM,layers.26,True
DM,layers.2,True
DM,classifier.4,True
DM,layers.12,True
DM,layers.2,True
DM,layers.26,True
