mut_types,mut_layer_name,mut_result
GF,network.13.2,True
GF,network.17.0,True
GF,network.11.0,True
GF,network.20.1,True
GF,network.16.1,True
GF,network.0.0,True
GF,network.3.1,True
GF,network.13.0,True
GF,network.26.1,True
GF,network.16.2,True
GF,network.24.2,True
GF,network.14.0,True
GF,network.22.0,True
GF,network.17.1,True
GF,network.16.0,True
GF,network.7.1,True
GF,network.2.0,True
GF,network.11.1,True
GF,network.17.0,True
GF,network.2.0,True
GF,network.23.0,True
GF,network.21.0,True
GF,network.17.0,True
GF,network.25.1,True
GF,network.21.0,True
GF,network.24.1,True
GF,network.10.0,True
GF,network.17.2,True
GF,network.25.1,True
GF,network.13.2,True
GF,network.8.1,True
GF,network.15.1,True
GF,network.11.2,True
GF,network.22.2,True
GF,network.23.0,True
GF,network.5.1,True
GF,network.2.0,True
GF,network.22.2,True
GF,network.16.2,True
GF,network.6.2,True
GF,network.1.0,True
GF,network.12.0,True
GF,network.0.2,True
GF,network.11.2,True
GF,network.14.0,True
GF,network.14.2,True
GF,network.2.1,True
GF,network.4.2,True
GF,network.11.1,True
GF,network.22.0,True
GF,network.6.0,True
GF,network.7.2,True
GF,network.24.2,True
GF,network.12.2,True
GF,network.18.2,True
GF,network.2.0,True
GF,network.8.2,True
GF,network.24.0,True
GF,network.26.0,True
GF,network.18.2,True
GF,network.5.2,True
GF,network.5.2,True
GF,network.3.0,True
GF,network.0.2,True
GF,network.20.1,True
GF,network.11.2,True
GF,network.13.0,True
GF,network.0.1,True
GF,network.26.1,True
GF,network.16.1,True
GF,network.18.0,True
GF,network.10.0,True
GF,network.5.0,True
GF,network.15.0,True
GF,network.10.0,True
GF,network.22.2,True
GF,network.13.2,True
GF,network.12.2,True
GF,network.14.2,True
GF,network.3.1,True
GF,network.13.0,True
GF,network.23.2,True
GF,network.19.1,True
GF,network.11.1,True
GF,network.10.1,True
GF,network.11.2,True
GF,network.18.2,True
GF,network.10.1,True
GF,network.10.0,True
GF,network.9.0,True
GF,network.19.0,True
GF,network.11.1,True
GF,network.13.2,True
GF,network.3.2,True
GF,network.5.0,True
GF,network.18.1,True
GF,network.24.0,True
GF,network.11.1,True
GF,network.17.2,True
GF,network.6.1,True
