mut_types,mut_layer_name,mut_result
GF,network.layer1.2.conv1,True
GF,network.layer4.0.bn2,True
GF,network.layer2.1.conv3,True
GF,network.layer2.1.bn2,True
GF,network.layer4.0.down_sample_layer.0,True
GF,network.layer2.0.conv2,True
GF,network.layer1.0.conv2,True
GF,network.layer3.4.bn3,True
GF,network.layer4.0.conv2,True
GF,network.layer1.2.bn2,True
GF,network.layer2.2.conv1,True
GF,network.layer4.1.bn1,True
GF,network.layer2.1.conv1,True
GF,network.layer2.2.conv2,True
GF,network.layer2.0.relu,True
GF,network.layer3.1.conv3,True
GF,network.layer4.2.conv1,True
GF,network.layer3.3.bn1,True
GF,network.layer3.2.bn1,True
GF,network.layer4.0.down_sample_layer.0,True
GF,network.layer3.2.bn3,True
GF,network.layer1.0.bn1,True
GF,network.layer2.3.conv1,True
GF,network.layer1.1.conv1,True
GF,network.layer2.2.relu,True
GF,network.layer3.1.bn3,True
GF,network.layer3.4.relu,True
GF,network.layer4.1.bn3,True
GF,network.layer1.0.down_sample_layer.0,True
GF,network.layer1.2.conv1,True
GF,network.layer2.1.conv1,True
GF,network.layer1.1.bn3,True
GF,network.layer1.1.bn1,True
GF,network.layer4.2.conv3,True
GF,network.layer3.2.bn3,True
GF,network.layer3.5.conv3,True
GF,network.layer3.0.relu,True
GF,network.layer4.2.conv3,True
GF,network.layer1.2.bn2,True
GF,network.maxpool,True
GF,network.layer3.5.relu,True
GF,network.layer3.1.conv1,True
GF,network.layer3.4.conv1,True
GF,network.layer1.1.bn1,True
GF,network.layer4.1.bn1,True
GF,network.layer4.0.bn1,True
GF,network.layer3.3.bn3,True
GF,network.layer2.1.bn3,True
GF,network.layer3.3.bn1,True
GF,network.layer4.0.relu,True
GF,network.layer2.3.relu,True
GF,network.layer1.0.bn1,True
GF,network.layer2.2.conv1,True
GF,network.layer4.2.conv1,True
GF,network.layer3.0.conv1,True
GF,network.layer1.0.down_sample_layer.0,True
GF,network.layer2.1.conv2,True
GF,network.layer2.1.relu,True
GF,network.layer2.2.bn3,True
GF,network.layer3.0.conv1,True
GF,network.layer4.0.down_sample_layer.0,True
GF,network.layer3.3.bn2,True
GF,network.layer3.1.relu,True
GF,network.layer3.4.conv1,True
GF,network.layer4.2.bn2,True
GF,network.layer1.1.bn1,True
GF,network.layer3.4.bn3,True
GF,network.layer3.4.conv3,True
GF,network.layer1.2.conv2,True
GF,network.layer3.5.bn3,True
GF,network.layer2.2.conv2,True
GF,network.layer2.0.bn2,True
GF,network.layer3.3.conv3,True
GF,network.layer4.1.conv2,True
GF,network.layer2.2.bn2,True
GF,network.layer4.2.conv3,True
GF,network.layer1.1.bn3,True
GF,network.layer2.3.conv2,True
GF,network.layer1.1.bn3,True
GF,network.layer1.0.conv2,True
GF,network.layer3.4.bn3,True
GF,network.layer3.1.bn1,True
GF,network.layer2.1.conv1,True
GF,network.layer3.3.bn1,True
GF,network.layer2.1.conv3,True
GF,network.layer1.1.bn1,True
GF,network.layer3.1.conv1,True
GF,network.layer2.0.bn2,True
GF,network.layer3.4.relu,True
GF,network.layer3.5.conv2,True
GF,network.layer1.0.bn3,True
GF,network.layer2.1.bn2,True
GF,network.layer1.2.conv1,True
GF,network.layer4.1.conv1,True
GF,network.layer3.3.conv3,True
GF,network.layer1.0.relu,True
GF,network.layer4.1.relu,True
GF,network.layer4.1.relu,True
GF,network.layer4.1.bn3,True
GF,network.layer3.3.relu,True
