mut_types,mut_layer_name,mut_result
GF,aspp.aspp_pooling.conv.0,True
GF,aspp.bn1,True
GF,aspp.aspp1.aspp_conv.0,True
GF,aspp.relu,True
GF,aspp.aspp4.aspp_conv.2,True
GF,aspp.aspp1.aspp_conv.0,True
GF,aspp.conv1,True
GF,aspp.aspp4.aspp_conv.2,True
GF,aspp.aspp3.aspp_conv.2,True
GF,aspp.aspp3.aspp_conv.0,True
GF,aspp.aspp_pooling.conv.1,True
GF,aspp.aspp2.aspp_conv.2,True
GF,aspp.aspp3.aspp_conv.1,True
GF,aspp.aspp2.aspp_conv.2,True
GF,aspp.bn1,True
GF,aspp.aspp3.aspp_conv.0,True
GF,aspp.conv1,True
GF,aspp.aspp1.aspp_conv.0,True
GF,aspp.relu,True
GF,aspp.aspp4.aspp_conv.2,True
GF,aspp.aspp3.aspp_conv.0,True
GF,aspp.aspp4.aspp_conv.0,True
GF,aspp.conv2,True
GF,aspp.aspp2.aspp_conv.1,True
GF,aspp.aspp4.aspp_conv.0,True
GF,aspp.conv2,True
GF,aspp.bn1,True
GF,aspp.aspp3.aspp_conv.2,True
GF,aspp.aspp_pooling.conv.2,True
GF,aspp.aspp_pooling.conv.0,True
GF,aspp.aspp3.aspp_conv.1,True
GF,aspp.aspp2.aspp_conv.2,True
GF,aspp.aspp4.aspp_conv.1,True
GF,aspp.aspp3.aspp_conv.2,True
GF,aspp.aspp3.aspp_conv.0,True
GF,aspp.aspp_pooling.conv.0,True
GF,aspp.conv1,True
GF,aspp.aspp3.aspp_conv.2,True
GF,aspp.aspp3.aspp_conv.0,True
GF,aspp.conv2,True
GF,aspp.aspp1.aspp_conv.2,True
GF,aspp.conv2,True
GF,aspp.aspp4.aspp_conv.0,True
GF,aspp.aspp4.aspp_conv.2,True
GF,aspp.aspp2.aspp_conv.2,True
GF,aspp.aspp_pooling.conv.0,True
GF,aspp.aspp4.aspp_conv.1,True
GF,aspp.aspp1.aspp_conv.2,True
GF,aspp.aspp1.aspp_conv.0,True
GF,aspp.aspp_pooling.conv.1,True
GF,aspp.aspp_pooling.conv.0,True
GF,aspp.aspp2.aspp_conv.2,True
GF,aspp.aspp_pooling.conv.0,True
GF,aspp.conv1,True
GF,aspp.aspp2.aspp_conv.0,True
GF,aspp.aspp4.aspp_conv.0,True
GF,aspp.conv1,True
GF,aspp.aspp4.aspp_conv.2,True
GF,aspp.aspp1.aspp_conv.1,True
GF,aspp.aspp2.aspp_conv.0,True
GF,aspp.aspp4.aspp_conv.2,True
GF,aspp.aspp3.aspp_conv.1,True
GF,aspp.aspp_pooling.conv.2,True
GF,aspp.aspp4.aspp_conv.0,True
GF,aspp.relu,True
GF,aspp.aspp2.aspp_conv.0,True
GF,aspp.aspp4.aspp_conv.2,True
GF,aspp.aspp3.aspp_conv.1,True
GF,aspp.aspp2.aspp_conv.2,True
GF,aspp.relu,True
GF,aspp.aspp2.aspp_conv.2,True
GF,aspp.relu,True
GF,aspp.aspp3.aspp_conv.1,True
GF,aspp.aspp3.aspp_conv.0,True
GF,aspp.aspp_pooling.conv.1,True
GF,aspp.aspp3.aspp_conv.2,True
GF,aspp.aspp2.aspp_conv.2,True
GF,aspp.aspp_pooling.conv.0,True
GF,aspp.aspp1.aspp_conv.0,True
GF,aspp.conv1,True
GF,aspp.aspp4.aspp_conv.2,True
GF,aspp.aspp4.aspp_conv.2,True
GF,aspp.aspp3.aspp_conv.1,True
GF,aspp.aspp1.aspp_conv.0,True
GF,aspp.aspp1.aspp_conv.0,True
GF,aspp.aspp1.aspp_conv.2,True
GF,aspp.conv2,True
GF,aspp.aspp1.aspp_conv.2,True
GF,aspp.aspp4.aspp_conv.0,True
GF,aspp.aspp3.aspp_conv.1,True
GF,aspp.aspp3.aspp_conv.1,True
GF,aspp.aspp1.aspp_conv.0,True
GF,aspp.aspp_pooling.conv.0,True
GF,aspp.aspp3.aspp_conv.1,True
GF,aspp.aspp3.aspp_conv.0,True
GF,aspp.conv2,True
GF,aspp.aspp4.aspp_conv.2,True
GF,aspp.aspp1.aspp_conv.0,True
GF,aspp.aspp3.aspp_conv.2,True
GF,aspp.bn1,True
