mut_types,mut_layer_name,mut_result
GF,layer1.0,True
GF,layer3.1,True
GF,embedding,True
GF,embedding,True
GF,layer3.0,True
GF,embedding,True
GF,layer3.2,True
GF,layer3.0,True
GF,layer1.0,True
GF,drop,True
GF,drop,True
GF,no,set layers failure
GF,layer2.2,True
GF,no,set layers failure
GF,layer3.1,True
GF,drop,True
GF,layer1.2,True
GF,embedding,True
GF,layer1.0,True
GF,layer3.0,True
GF,drop,True
GF,layer1.0,True
GF,layer3.0,True
GF,layer2.2,True
GF,layer3.2,True
GF,layer1.0,True
GF,layer3.0,True
GF,layer1.2,True
GF,layer1.0,True
GF,layer1.0,True
GF,layer2.2,True
GF,fc,True
GF,layer3.2,True
GF,layer1.2,True
GF,drop,True
GF,layer1.0,True
GF,no,set layers failure
GF,layer1.2,True
GF,drop,True
GF,layer2.0,True
GF,layer2.1,True
GF,layer2.0,True
GF,layer3.2,True
GF,layer3.2,True
GF,no,set layers failure
GF,layer1.0,True
GF,fc,True
GF,layer2.1,True
GF,embedding,True
GF,layer2.1,True
GF,drop,True
GF,layer1.0,True
GF,drop,True
GF,layer1.0,True
GF,embedding,True
GF,layer1.0,True
GF,layer2.0,True
GF,layer3.0,True
GF,layer1.2,True
GF,layer1.2,True
GF,layer3.0,True
GF,layer2.2,True
GF,layer3.2,True
GF,layer3.2,True
GF,layer1.0,True
GF,layer3.2,True
GF,layer3.0,True
GF,layer2.2,True
GF,layer2.0,True
GF,layer2.0,True
GF,no,set layers failure
GF,layer3.1,True
GF,layer2.0,True
GF,no,set layers failure
GF,layer3.1,True
GF,layer1.2,True
GF,fc,True
GF,layer1.0,True
GF,fc,True
GF,layer2.0,True
GF,layer3.0,True
GF,layer3.0,True
GF,layer2.2,True
GF,embedding,True
GF,embedding,True
GF,layer3.2,True
GF,layer2.0,True
GF,layer3.1,True
GF,layer3.0,True
GF,no,set layers failure
GF,layer2.2,True
GF,embedding,True
GF,layer1.0,True
GF,no,set layers failure
GF,layer2.0,True
GF,layer3.2,True
GF,embedding,True
GF,embedding,True
GF,layer1.2,True
GF,layer3.1,True
