mut_types,mut_layer_name,mut_result
GF,layers.6,True
GF,layers.22,True
GF,layers.36,True
GF,layers.9,True
GF,layers.42,True
GF,layers.3,True
GF,avgpool,True
GF,layers.2,True
GF,layers.17,True
GF,layers.30,True
GF,layers.24,True
GF,classifier.0,True
GF,layers.38,True
GF,layers.37,True
GF,layers.27,True
GF,layers.31,True
GF,avgpool,True
GF,layers.36,True
GF,layers.32,True
GF,layers.42,True
GF,layers.30,True
GF,layers.39,True
GF,layers.35,True
GF,layers.11,True
GF,layers.39,True
GF,classifier.3,True
GF,layers.35,True
GF,layers.19,True
GF,layers.28,True
GF,layers.6,True
GF,layers.38,True
GF,layers.40,True
GF,layers.1,True
GF,layers.25,True
GF,layers.30,True
GF,layers.21,True
GF,layers.10,True
GF,layers.25,True
GF,layers.30,True
GF,classifier.3,True
GF,layers.16,True
GF,layers.0,True
GF,layers.39,True
GF,layers.1,True
GF,classifier.0,True
GF,layers.21,True
GF,layers.29,True
GF,layers.16,True
GF,layers.36,True
GF,flatten,True
GF,layers.6,True
GF,layers.17,True
GF,layers.24,True
GF,avgpool,True
GF,classifier.5,True
GF,layers.28,True
GF,layers.10,True
GF,layers.42,True
GF,layers.43,True
GF,classifier.5,True
GF,layers.42,True
GF,layers.38,True
GF,layers.41,True
GF,layers.39,True
GF,layers.9,True
GF,layers.1,True
GF,layers.2,True
GF,layers.5,True
GF,classifier.0,True
GF,layers.20,True
GF,layers.37,True
GF,classifier.6,True
GF,classifier.2,True
GF,layers.33,True
GF,flatten,True
GF,layers.25,True
GF,layers.40,True
GF,layers.21,True
GF,layers.40,True
GF,avgpool,True
GF,layers.2,True
GF,layers.2,True
GF,layers.38,True
GF,layers.36,True
GF,layers.36,True
GF,layers.1,True
GF,layers.0,True
GF,classifier.6,True
GF,layers.35,True
GF,layers.14,True
GF,layers.5,True
GF,layers.36,True
GF,layers.6,True
GF,layers.38,True
GF,classifier.2,True
GF,layers.1,True
GF,layers.15,True
GF,layers.15,True
GF,layers.19,True
GF,layers.27,True
