mut_types,mut_layer_name,mut_result
LA,no,LA set layers failure
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,network.12.2,True
LA,network.0.2,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,network.14.2,True
LA,no,LA Create illegal layer
LA,no,LA set layers failure
LA,no,LA Create illegal layer
LA,network.9.2,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,network.6.0,True
LA,network.16.2,True
LA,no,LA Create illegal layer
LA,network.19.0,True
LA,network.17.0,True
LA,no,LA set layers failure
LA,network.19.0,True
LA,no,LA Create illegal layer
LA,no,LA set layers failure
LA,no,LA Create illegal layer
LA,no,LA set layers failure
LA,network.14.2,True
LA,network.20.2,True
LA,no,LA set layers failure
LA,no,LA Create illegal layer
LA,no,LA set layers failure
LA,no,LA Create illegal layer
LA,network.21.0,True
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,network.17.2,True
LA,network.19.0,True
LA,no,LA set layers failure
LA,no,LA Create illegal layer
LA,no,LA set layers failure
LA,no,LA Create illegal layer
LA,network.2.2,True
LA,network.19.2,True
LA,network.25.0,True
LA,network.17.2,True
LA,no,LA Create illegal layer
LA,no,LA set layers failure
LA,network.11.2,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,network.1.2,True
LA,no,LA Create illegal layer
LA,no,LA set layers failure
LA,network.26.0,True
LA,network.16.0,True
LA,no,LA Create illegal layer
LA,network.26.1,True
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,network.26.1,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,network.5.2,True
LA,no,LA Create illegal layer
LA,no,LA set layers failure
LA,network.6.0,True
LA,no,LA Create illegal layer
LA,network.16.2,True
LA,network.13.0,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,network.1.0,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,network.21.0,True
LA,network.19.2,True
LA,network.16.0,True
LA,network.6.2,True
LA,no,LA Create illegal layer
LA,network.16.2,True
LA,network.19.0,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,network.13.0,True
LA,no,LA Create illegal layer
LA,network.10.0,True
LA,no,LA Create illegal layer
LA,network.21.0,True
LA,network.18.2,True
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,no,LA set layers failure
LA,network.17.1,True
LA,no,LA Create illegal layer
