mut_types,mut_layer_name,mut_result
LA,decoded.12,True
LA,encoded.5,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,encoded.1,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,decoded.11,True
LA,decoded.5,True
LA,decoded.5,True
LA,decoded.15,True
LA,encoded.11,True
LA,no,LA Create illegal layer
LA,decoded.19,True
LA,no,LA Create illegal layer
LA,decoded.17,True
LA,encoded.10,True
LA,no,LA Create illegal layer
LA,encoded.6,True
LA,decoded.3,True
LA,decoded.8,True
LA,decoded.8,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,decoded.12,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,encoded.9,True
LA,decoded.5,True
LA,decoded.19,True
LA,encoded.17,True
LA,decoded.3,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,decoded.19,True
LA,encoded.9,True
LA,no,LA Create illegal layer
LA,decoded.7,True
LA,no,LA Create illegal layer
