mut_types,mut_layer_name,mut_result
LA,no,LA Create illegal layer
LA,layers.18,True
LA,layers.4,True
LA,layers.39,True
LA,no,LA Create illegal layer
LA,layers.38,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,layers.26,True
LA,no,LA Create illegal layer
LA,layers.28,True
LA,layers.9,True
LA,no,LA Create illegal layer
LA,layers.5,True
LA,layers.31,True
LA,layers.2,True
LA,layers.32,True
LA,layers.8,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,layers.38,True
LA,no,LA Create illegal layer
LA,layers.15,True
LA,layers.42,True
LA,layers.9,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,layers.31,True
LA,no,LA Create illegal layer
LA,layers.19,True
LA,layers.21,True
LA,layers.29,True
LA,layers.9,True
LA,layers.25,True
LA,layers.1,True
LA,no,LA Create illegal layer
LA,layers.8,True
LA,no,LA Create illegal layer
LA,no,LA Create illegal layer
LA,layers.26,True
