mut_types,mut_layer_name,mut_result
LC,relu,True
LC,layer3.0.bn2,True
LC,layer3.1.bn3,True
LC,layer3.4.relu,True
LC,layer4.1.bn1,True
LC,layer1.2.bn1,True
LC,layer2.0.bn2,True
LC,layer3.1.bn1,True
LC,no,LC set layers failure
LC,layer4.0.bn2,True
LC,layer2.3.bn2,True
LC,layer3.4.bn2,True
LC,layer2.1.relu,True
LC,layer1.0.relu,True
LC,layer2.1.bn2,True
LC,layer3.3.bn1,True
LC,layer4.1.bn3,True
LC,layer2.0.bn3,True
LC,layer3.4.bn1,True
LC,layer1.2.bn2,True
LC,layer1.1.bn1,True
LC,layer3.2.bn3,True
LC,layer3.1.bn2,True
LC,layer3.1.relu,True
LC,no,LC set layers failure
LC,layer3.2.relu,True
LC,layer1.0.conv2,True
LC,layer2.2.relu,True
LC,layer2.3.relu,True
LC,layer1.1.bn3,True
LC,layer4.2.conv2,True
LC,layer4.0.bn1,True
LC,layer2.2.bn3,True
LC,layer2.1.bn1,True
LC,layer4.1.bn2,True
LC,layer3.2.conv2,True
LC,no,LC set layers failure
LC,layer2.2.bn1,True
LC,layer3.4.conv2,True
LC,no,LC set layers failure
LC,layer1.0.bn3,True
LC,layer4.1.relu,True
LC,layer1.1.bn2,True
LC,layer4.1.conv2,True
LC,layer4.0.relu,True
LC,layer3.5.bn1,True
LC,layer1.0.bn2,True
LC,layer4.2.bn2,True
LC,no,LC set layers failure
LC,bn1,True
LC,layer3.0.bn1,True
LC,layer3.3.conv2,True
LC,layer3.3.bn3,True
LC,layer2.2.bn2,True
LC,layer3.2.bn2,True
LC,layer3.0.bn3,True
LC,layer1.1.relu,True
LC,layer1.2.bn3,True
LC,layer4.2.relu,True
LC,layer2.3.conv2,True
LC,layer1.0.conv1,True
LC,layer3.5.conv2,True
LC,layer2.1.conv2,True
LC,layer1.1.conv2,True
LC,layer1.2.relu,True
LC,layer4.2.bn1,True
LC,layer3.5.bn2,True
LC,layer2.0.bn1,True
LC,layer3.5.bn3,True
LC,layer4.0.bn3,True
LC,no,LC set layers failure
LC,layer2.3.bn3,True
LC,layer3.3.relu,True
LC,layer3.0.relu,True
LC,layer2.1.bn3,True
LC,layer1.2.conv2,True
LC,layer3.2.bn1,True
LC,layer3.3.bn2,True
LC,layer2.0.relu,True
LC,layer3.4.bn3,True
LC,no,LC set layers failure
LC,layer3.1.conv2,True
LC,layer1.0.bn1,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,layer4.2.bn3,True
LC,layer2.3.bn1,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,layer2.2.conv2,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,layer3.5.relu,True
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,no,LC set layers failure
LC,no,LC set layers failure
