mut_types,mut_layer_name,mut_result
LC,layers.22,True
LC,layers.36,True
LC,layers.35,True
LC,classifier.3,True
LC,layers.9,True
LC,layers.1,True
LC,classifier.1,True
LC,layers.39,True
LC,layers.25,True
LC,layers.8,True
LC,classifier.4,True
LC,layers.42,True
LC,layers.28,True
LC,layers.26,True
LC,layers.4,True
LC,layers.12,True
LC,classifier.5,True
LC,layers.11,True
LC,layers.16,True
LC,layers.29,True
LC,layers.5,True
LC,layers.2,True
LC,layers.15,True
LC,layers.18,True
LC,classifier.2,True
LC,layers.41,True
LC,layers.31,True
LC,layers.32,True
LC,layers.19,True
LC,layers.38,True
LC,layers.21,True
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
LC,no,LC No suitable ops for
