mut_types,mut_layer_name,mut_result
LD,network.16.0,True
LD,network.10.1,True
LD,network.1.0,True
LD,network.26.0,True
LD,network.17.1,True
LD,network.12.1,True
LD,network.13.1,True
LD,network.22.1,True
LD,network.26.1,True
LD,network.21.1,True
LD,network.0.1,True
LD,network.25.0,True
LD,network.15.0,True
LD,network.15.1,True
LD,network.20.0,True
LD,network.13.0,True
LD,network.20.1,True
LD,network.21.0,True
LD,network.10.0,True
LD,network.25.1,True
LD,network.3.1,True
LD,network.18.1,True
LD,network.1.1,True
LD,network.9.0,True
LD,network.9.1,True
LD,network.22.0,True
LD,network.8.1,True
LD,network.6.0,True
LD,network.16.1,True
LD,network.24.1,True
LD,network.7.1,True
LD,network.19.0,True
LD,network.17.0,True
LD,network.11.1,True
LD,network.23.1,True
LD,network.19.1,True
LD,network.5.1,True
LD,network.14.1,True
LD,network.14.0,True
LD,network.18.0,True
LD,network.6.1,True
LD,network.5.0,True
LD,network.4.1,True
LD,no,LD No suitable ops for
LD,network.2.1,True
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
LD,no,LD No suitable ops for
