mut_types,mut_layer_name,mut_result
LD,network.layer3.2.bn2,True
LD,network.layer3.3.bn3,True
LD,network.layer1.2.bn1,True
LD,network.layer2.1.bn1,True
LD,network.layer4.2.conv2,True
LD,network.layer4.0.bn3,True
LD,network.layer3.5.conv2,True
LD,network.layer4.2.bn3,True
LD,network.layer3.0.bn2,True
LD,network.layer1.1.bn1,True
LD,network.layer2.3.bn3,True
LD,network.layer3.0.down_sample_layer.1,True
LD,network.layer2.0.bn1,True
LD,network.layer3.4.conv2,True
LD,network.layer2.3.conv2,True
LD,network.layer2.1.conv2,True
LD,network.layer3.3.bn2,True
LD,network.layer1.1.bn2,True
LD,network.layer3.4.bn1,True
LD,network.layer3.2.bn1,True
LD,network.layer3.3.bn1,True
LD,network.layer4.0.bn2,True
LD,network.layer1.1.bn3,True
LD,network.layer1.0.down_sample_layer.1,True
LD,network.layer2.2.conv2,True
LD,network.layer3.5.bn1,True
LD,network.layer1.2.conv2,True
LD,network.layer4.1.conv2,True
LD,network.layer1.2.bn2,True
LD,network.layer1.0.conv1,True
LD,network.layer2.0.bn2,True
LD,network.layer3.1.bn2,True
LD,network.layer4.0.bn1,True
LD,network.layer3.0.bn3,True
LD,network.layer4.2.bn2,True
LD,network.layer2.2.bn3,True
LD,network.layer3.1.bn1,True
LD,network.layer3.5.bn3,True
LD,network.layer1.0.bn1,True
LD,network.layer1.1.conv2,True
LD,network.layer1.0.conv2,True
LD,network.layer3.1.bn3,True
LD,network.layer4.1.bn1,True
LD,network.layer2.2.bn2,True
LD,network.layer3.3.conv2,True
LD,network.layer4.2.bn1,True
LD,network.layer1.2.bn3,True
LD,network.layer3.2.conv2,True
LD,network.layer2.3.bn2,True
LD,network.layer2.2.bn1,True
