mut_types,mut_layer_name,mut_result
LD,stage_5.conv2_L2,True
LD,stage_4.conv3_L2,True
LD,stage_5.conv6_L2,True
LD,stage_1.conv3_CPM_L1,True
LD,stage_3.conv6_L2,True
LD,stage_3.conv5_L1,True
LD,stage_4.conv5_L1,True
LD,stage_5.conv4_L1,True
LD,stage_6.conv4_L1,True
LD,stage_5.conv3_L1,True
LD,stage_6.conv2_L1,True
LD,stage_4.conv4_L2,True
LD,stage_6.conv5_L1,True
LD,stage_3.conv3_L2,True
LD,stage_1.conv2_CPM_L1,True
LD,stage_1.conv2_CPM_L2,True
LD,stage_6.conv5_L2,True
LD,stage_2.conv3_L2,True
LD,stage_2.conv3_L1,True
LD,stage_4.conv6_L1,True
LD,stage_6.conv3_L1,True
LD,stage_4.conv3_L1,True
LD,base.vgg_base.layers.21,True
LD,stage_4.conv5_L2,True
LD,stage_4.conv2_L1,True
LD,stage_6.conv2_L2,True
LD,stage_3.conv6_L1,True
LD,stage_6.conv4_L2,True
LD,stage_5.conv3_L2,True
LD,stage_1.conv1_CPM_L1,True
LD,stage_2.conv6_L2,True
LD,base.vgg_base.layers.16,True
LD,stage_1.conv3_CPM_L2,True
LD,stage_5.conv5_L1,True
LD,stage_3.conv2_L1,True
LD,stage_4.conv2_L2,True
LD,base.vgg_base.layers.2,True
LD,stage_2.conv5_L1,True
LD,stage_4.conv6_L2,True
LD,stage_2.conv4_L1,True
LD,stage_3.conv3_L1,True
LD,base.vgg_base.layers.7,True
LD,stage_6.conv6_L1,True
LD,stage_2.conv4_L2,True
LD,stage_3.conv4_L1,True
LD,stage_3.conv4_L2,True
LD,base.vgg_base.layers.14,True
LD,stage_4.conv4_L1,True
LD,stage_3.conv5_L2,True
LD,stage_6.conv3_L2,True
