mut_types,mut_layer_name,mut_result
LD,layer4.0.bn3,True
LD,layer3.1.conv2,True
LD,layer2.1.bn2,True
LD,layer4.0.down_sample_layer.1,True
LD,layer4.1.bn2,True
LD,layer2.0.down_sample_layer.1,True
LD,layer1.0.bn1,True
LD,layer2.1.bn1,True
LD,layer2.3.bn3,True
LD,layer2.2.bn1,True
LD,layer4.2.conv2,True
LD,layer3.1.bn2,True
LD,layer1.2.bn3,True
LD,layer3.1.bn3,True
LD,layer2.3.bn1,True
LD,layer4.2.bn3,True
LD,layer2.0.bn3,True
LD,layer1.0.bn2,True
LD,layer1.1.bn1,True
LD,layer3.3.bn3,True
LD,layer3.4.bn1,True
LD,layer3.5.bn3,True
LD,layer3.0.bn1,True
LD,layer1.2.conv2,True
LD,layer3.2.bn2,True
LD,layer4.2.bn2,True
LD,layer3.3.bn1,True
LD,layer2.0.bn1,True
LD,layer3.1.bn1,True
LD,layer3.4.bn2,True
LD,layer1.1.bn2,True
LD,bn1,True
LD,layer3.0.bn2,True
LD,layer4.2.bn1,True
LD,layer4.1.bn3,True
LD,layer2.1.bn3,True
LD,layer3.5.conv2,True
LD,layer3.0.bn3,True
LD,layer3.3.conv2,True
LD,layer3.0.down_sample_layer.1,True
LD,layer1.1.bn3,True
LD,layer1.0.conv2,True
LD,layer4.0.bn2,True
LD,layer3.3.bn2,True
LD,layer1.0.bn3,True
LD,layer3.5.bn1,True
LD,layer4.1.conv2,True
LD,layer2.3.bn2,True
LD,layer4.0.bn1,True
LD,layer2.3.conv2,True
