mut_types,mut_layer_name,mut_result
LS,no,set layers failure
LS,"network.layer2.1.conv2,network.layer2.1.bn2",True
LS,"network.layer3.3.bn1,network.layer3.5.conv2",True
LS,"network.layer3.0.bn3,network.layer3.2.relu",True
LS,no,set layers failure
LS,"network.layer1.2.conv2,network.layer1.1.bn1",True
LS,"network.layer3.2.bn1,network.layer3.1.conv2",True
LS,"network.layer2.2.relu,network.layer2.2.bn3",True
LS,"network.layer4.2.bn1,network.layer4.1.conv2",True
LS,no,set layers failure
LS,"network.layer2.0.relu,network.layer2.0.bn3",True
LS,"network.layer4.1.bn2,network.layer4.2.bn1",True
LS,no,set layers failure
LS,"network.layer1.1.bn1,network.layer1.0.bn2",True
LS,no,set layers failure
LS,"network.layer2.3.bn3,network.layer2.3.relu",True
LS,"network.layer2.1.bn3,network.layer2.1.relu",True
LS,"network.layer3.4.bn2,network.layer3.2.bn1",True
LS,"network.layer3.4.bn3,network.layer3.0.relu",True
LS,"network.layer1.2.conv2,network.layer1.0.conv1",True
LS,"network.layer2.1.bn2,network.layer2.1.conv2",True
LS,"network.layer1.1.bn3,network.layer1.2.relu",True
LS,"network.layer2.1.bn2,network.layer2.2.conv2",True
LS,"network.layer3.0.down_sample_layer.1,network.layer3.1.relu",True
LS,"network.layer3.5.bn2,network.layer3.3.conv2",True
LS,"network.layer4.2.relu,network.layer4.0.bn3",True
LS,"network.layer1.1.bn2,network.layer1.1.conv2",True
LS,"network.layer2.2.relu,network.layer2.0.bn3",True
LS,"network.layer2.3.relu,network.layer2.2.bn3",True
LS,"network.layer3.2.relu,network.layer3.5.relu",True
LS,"network.layer3.2.bn3,network.layer3.3.relu",True
LS,"network.layer3.0.relu,network.layer3.2.bn3",True
LS,"network.layer3.3.bn1,network.layer3.1.bn1",True
LS,"network.layer3.3.bn3,network.layer3.4.relu",True
LS,"network.layer1.0.conv2,network.layer1.0.bn1",True
LS,"network.layer3.5.bn1,network.layer3.4.conv2",True
LS,"network.layer1.0.bn2,network.layer1.1.bn1",True
LS,"network.layer1.0.bn2,network.layer1.1.bn1",True
LS,"network.layer3.5.bn3,network.layer3.2.relu",True
LS,"network.layer4.0.bn3,network.layer4.2.bn3",True
LS,"network.layer1.2.bn3,network.layer1.1.relu",True
LS,"network.layer4.2.bn3,network.layer4.1.bn3",True
LS,no,set layers failure
LS,"network.layer1.0.bn2,network.layer1.1.conv2",True
LS,"network.layer1.0.down_sample_layer.1,network.layer1.2.bn3",True
LS,"network.layer2.1.bn2,network.layer2.3.bn2",True
LS,"network.layer4.1.bn1,network.layer4.2.conv2",True
LS,"network.layer3.5.bn1,network.layer3.2.bn2",True
LS,"network.layer3.0.bn3,network.layer3.1.bn3",True
LS,"network.layer3.1.relu,network.layer3.4.bn3",True
LS,"network.layer2.3.bn2,network.layer2.2.bn1",True
LS,"network.layer3.4.bn3,network.layer3.3.bn3",True
LS,no,set layers failure
LS,"network.layer3.1.bn2,network.layer3.4.bn2",True
LS,"network.layer1.1.conv2,network.layer1.1.bn1",True
LS,"network.layer3.2.bn3,network.layer3.0.down_sample_layer.1",True
