mut_types,mut_layer_name,mut_result
LS,"aspp.aspp4.aspp_conv.2,aspp.aspp3.aspp_conv.1",True
LS,"aspp.aspp2.aspp_conv.1,aspp.relu",True
LS,"aspp.aspp_pooling.conv.2,aspp.aspp_pooling.conv.1",True
LS,"aspp.bn1,aspp.aspp3.aspp_conv.1",True
LS,"aspp.aspp2.aspp_conv.1,aspp.aspp1.aspp_conv.1",True
LS,"aspp.aspp3.aspp_conv.2,aspp.aspp4.aspp_conv.1",True
LS,"aspp.aspp_pooling.conv.2,aspp.aspp_pooling.conv.1",True
LS,"aspp.relu,aspp.bn1",True
LS,"aspp.aspp4.aspp_conv.2,aspp.aspp1.aspp_conv.1",True
LS,"aspp.aspp4.aspp_conv.2,aspp.aspp3.aspp_conv.1",True
LS,"aspp.aspp4.aspp_conv.1,aspp.bn1",True
LS,"aspp.aspp3.aspp_conv.1,aspp.aspp3.aspp_conv.2",True
LS,"aspp.aspp2.aspp_conv.2,aspp.aspp3.aspp_conv.1",True
LS,"aspp.aspp2.aspp_conv.1,aspp.relu",True
LS,"aspp.aspp3.aspp_conv.2,aspp.relu",True
LS,"aspp.aspp4.aspp_conv.2,aspp.bn1",True
LS,"aspp.aspp_pooling.conv.2,aspp.aspp_pooling.conv.1",True
LS,no,set layers failure
LS,"aspp.bn1,aspp.relu",True
LS,"aspp.aspp_pooling.conv.2,aspp.aspp_pooling.conv.1",True
LS,"aspp.aspp4.aspp_conv.2,aspp.aspp4.aspp_conv.1",True
LS,"aspp.aspp_pooling.conv.1,aspp.aspp_pooling.conv.2",True
LS,"aspp.aspp1.aspp_conv.2,aspp.aspp4.aspp_conv.2",True
LS,"aspp.bn1,aspp.aspp1.aspp_conv.2",True
LS,"aspp.relu,aspp.aspp3.aspp_conv.1",True
LS,"aspp.aspp_pooling.conv.2,aspp.aspp_pooling.conv.1",True
LS,"aspp.aspp4.aspp_conv.1,aspp.aspp2.aspp_conv.2",True
LS,"aspp.aspp1.aspp_conv.2,aspp.aspp3.aspp_conv.1",True
LS,"aspp.aspp4.aspp_conv.1,aspp.aspp4.aspp_conv.2",True
LS,"aspp.aspp2.aspp_conv.2,aspp.aspp3.aspp_conv.2",True
LS,"aspp.aspp1.aspp_conv.2,aspp.aspp4.aspp_conv.1",True
LS,"aspp.aspp1.aspp_conv.1,aspp.relu",True
LS,"aspp.aspp2.aspp_conv.2,aspp.aspp3.aspp_conv.2",True
LS,"aspp.aspp_pooling.conv.2,aspp.aspp_pooling.conv.1",True
LS,"aspp.aspp3.aspp_conv.1,aspp.relu",True
LS,"aspp.bn1,aspp.aspp2.aspp_conv.1",True
LS,"aspp.aspp3.aspp_conv.2,aspp.aspp1.aspp_conv.2",True
LS,"aspp.aspp1.aspp_conv.2,aspp.aspp1.aspp_conv.1",True
LS,no,set layers failure
LS,"aspp.aspp_pooling.conv.1,aspp.aspp_pooling.conv.2",True
LS,"aspp.aspp_pooling.conv.2,aspp.aspp_pooling.conv.1",True
LS,"aspp.aspp1.aspp_conv.2,aspp.aspp2.aspp_conv.1",True
LS,"aspp.aspp2.aspp_conv.1,aspp.aspp1.aspp_conv.2",True
LS,"aspp.aspp_pooling.conv.1,aspp.aspp_pooling.conv.2",True
LS,"aspp.aspp4.aspp_conv.1,aspp.aspp1.aspp_conv.2",True
LS,"aspp.aspp3.aspp_conv.2,aspp.aspp4.aspp_conv.2",True
LS,"aspp.aspp3.aspp_conv.1,aspp.aspp2.aspp_conv.2",True
LS,"aspp.aspp3.aspp_conv.2,aspp.relu",True
LS,"aspp.aspp4.aspp_conv.1,aspp.relu",True
LS,"aspp.relu,aspp.aspp1.aspp_conv.2",True
LS,"aspp.aspp4.aspp_conv.2,aspp.aspp4.aspp_conv.1",True
LS,"aspp.aspp3.aspp_conv.1,aspp.aspp1.aspp_conv.1",True
LS,"aspp.aspp4.aspp_conv.1,aspp.aspp2.aspp_conv.2",True
LS,"aspp.aspp4.aspp_conv.2,aspp.aspp3.aspp_conv.2",True
LS,"aspp.aspp_pooling.conv.1,aspp.aspp_pooling.conv.2",True
