mut_types,mut_layer_name,mut_result
LS,"base.vgg_base.layers.11,base.vgg_base.layers.14",True
LS,"stage_2.relu,stage_5.conv5_L2",True
LS,"stage_3.relu,stage_1.conv3_CPM_L2",True
LS,"base.vgg_base.layers.14,base.vgg_base.layers.16",True
LS,"stage_1.conv3_CPM_L2,stage_2.conv5_L1",True
LS,"stage_1.conv3_CPM_L1,stage_2.conv5_L1",True
LS,"stage_4.conv5_L2,stage_1.conv3_CPM_L1",True
LS,"stage_5.relu,stage_3.conv2_L2",True
LS,"base.vgg_base.layers.15,base.vgg_base.layers.11",True
LS,"stage_4.conv3_L1,stage_4.relu",True
LS,"base.vgg_base.layers.8,base.vgg_base.layers.7",True
LS,"base.vgg_base.layers.8,base.vgg_base.layers.6",True
LS,"stage_4.conv5_L2,stage_2.conv4_L1",True
LS,"base.vgg_base.layers.20,base.vgg_base.layers.21",True
LS,"base.vgg_base.layers.11,base.vgg_base.layers.12",True
LS,"stage_2.conv3_L2,stage_3.conv2_L2",True
LS,"stage_4.conv4_L1,stage_2.conv4_L1",True
LS,"base.vgg_base.layers.20,base.vgg_base.layers.21",True
LS,"stage_2.conv4_L2,stage_4.conv3_L1",True
LS,"stage_6.relu,stage_6.conv5_L2",True
LS,no,False
LS,"base.vgg_base.layers.7,base.vgg_base.layers.6",True
LS,"stage_6.conv5_L2,stage_5.conv6_L1",True
LS,"stage_2.conv3_L2,stage_3.conv4_L2",True
LS,"base.vgg_base.layers.1,base.vgg_base.layers.2",True
LS,"base.vgg_base.layers.21,base.vgg_base.layers.20",True
LS,"stage_2.conv3_L1,stage_5.conv5_L2",True
LS,"base.vgg_base.layers.7,base.vgg_base.layers.8",True
LS,"stage_6.conv5_L2,stage_2.conv3_L1",True
LS,"stage_3.conv4_L2,stage_6.conv6_L1",True
LS,"base.vgg_base.layers.2,base.vgg_base.layers.1",True
LS,"base.vgg_base.layers.2,base.vgg_base.layers.3",True
LS,"base.vgg_base.layers.16,base.vgg_base.layers.14",True
LS,"stage_5.conv4_L2,stage_2.conv4_L2",True
LS,"stage_6.conv5_L2,stage_2.conv3_L1",True
LS,no,False
LS,"base.vgg_base.layers.20,base.vgg_base.layers.21",True
LS,"base.vgg_base.layers.22,base.vgg_base.layers.21",True
LS,"stage_5.conv4_L2,stage_2.conv4_L2",True
LS,"base.vgg_base.layers.6,base.vgg_base.layers.8",True
LS,"base.vgg_base.layers.21,base.vgg_base.layers.22",True
LS,"stage_4.conv4_L2,stage_5.conv6_L1",True
LS,"stage_4.conv4_L1,stage_6.conv4_L1",True
LS,no,False
LS,"stage_2.conv4_L2,stage_5.conv4_L1",True
LS,"stage_3.conv4_L2,stage_6.conv4_L1",True
LS,"base.vgg_base.layers.13,base.vgg_base.layers.15",True
LS,"stage_6.conv4_L1,stage_2.conv3_L1",True
LS,"stage_5.conv3_L1,stage_6.conv4_L1",True
LS,"stage_5.conv3_L1,stage_5.conv2_L2",True
LS,"stage_6.conv6_L1,stage_6.conv4_L2",True
LS,"stage_1.conv2_CPM_L1,stage_3.conv4_L2",True
LS,"stage_4.conv5_L1,stage_1.conv2_CPM_L1",True
LS,"base.vgg_base.layers.21,base.vgg_base.layers.22",True
LS,no,False
LS,"stage_5.conv2_L2,stage_2.conv6_L1",True
LS,"stage_4.conv5_L1,stage_2.conv3_L2",True
LS,"stage_6.conv3_L2,stage_2.conv6_L1",True
LS,no,False
