mut_types,mut_layer_name,mut_result
LS,"relu,bn1",True
LS,"layer3.0.bn2,layer3.5.conv2",True
LS,no,set layers failure
LS,no,False
LS,"layer3.2.bn1,layer3.2.conv2",True
LS,no,False
LS,no,False
LS,no,False
LS,no,False
LS,no,False
LS,"layer3.2.bn1,layer3.4.bn1",True
LS,"bn1,relu",True
LS,no,False
LS,no,False
LS,"layer1.0.conv2,layer1.2.bn1",True
LS,no,False
LS,no,False
LS,no,False
LS,"layer1.0.conv2,layer1.0.conv1",True
LS,no,False
LS,"layer2.0.bn2,layer2.2.conv2",True
LS,no,False
LS,no,False
LS,"layer1.2.conv2,layer1.1.bn1",True
LS,"layer1.2.bn2,layer1.1.bn1",True
LS,no,False
LS,no,False
LS,"layer2.0.bn2,layer2.2.bn1",True
LS,"layer4.1.conv2,layer4.2.bn1",True
LS,no,set layers failure
LS,"layer1.0.conv1,layer1.0.conv2",True
LS,no,False
LS,no,set layers failure
LS,"layer1.2.bn1,layer1.1.bn1",True
LS,no,False
LS,no,False
LS,"layer3.0.bn2,layer3.2.bn1",True
LS,"layer1.1.bn2,layer1.0.conv1",True
LS,no,False
LS,no,False
LS,"layer4.0.bn2,layer4.2.bn1",True
LS,"layer3.4.bn2,layer3.3.conv2",True
LS,"layer3.5.conv2,layer3.1.conv2",True
LS,"layer3.5.conv2,layer3.0.bn2",True
LS,no,False
LS,no,False
LS,"layer3.3.bn1,layer3.4.bn2",True
LS,"layer4.2.conv2,layer4.1.conv2",True
LS,"layer3.3.bn2,layer3.3.bn1",True
LS,"layer2.2.bn1,layer2.0.bn2",True
LS,"layer1.1.bn2,layer1.2.conv2",True
LS,"layer2.3.conv2,layer2.2.conv2",True
LS,"layer2.2.bn2,layer2.0.bn2",True
LS,no,False
LS,"layer1.1.bn2,layer1.2.bn2",True
LS,"relu,bn1",True
LS,"layer1.2.bn2,layer1.2.conv2",True
LS,no,False
LS,no,False
LS,"layer1.0.bn2,layer1.1.conv2",True
LS,no,False
LS,"layer4.1.conv2,layer4.1.bn1",True
LS,"layer3.1.bn2,layer3.4.conv2",True
LS,no,False
LS,"layer1.2.conv2,layer1.0.bn2",True
LS,"layer1.0.bn2,layer1.1.bn2",True
LS,"layer2.1.conv2,layer2.2.bn1",True
LS,no,False
LS,no,False
LS,"layer2.3.bn2,layer2.2.conv2",True
LS,"layer2.2.bn2,layer2.1.bn1",True
LS,"layer1.1.conv2,layer1.2.bn2",True
LS,no,False
LS,"layer3.4.bn1,layer3.5.bn1",True
LS,no,False
LS,no,False
LS,no,False
LS,no,False
LS,"layer2.2.conv2,layer2.1.bn1",True
LS,no,False
LS,no,False
LS,no,False
LS,no,False
LS,no,set layers failure
LS,"layer2.3.bn1,layer2.3.bn2",True
LS,"layer1.1.bn2,layer1.1.bn1",True
LS,"layer1.1.bn1,layer1.2.conv2",True
LS,"layer4.0.bn2,layer4.1.bn2",True
LS,"layer3.4.bn1,layer3.3.bn2",True
LS,"layer1.0.bn2,layer1.2.bn2",True
LS,no,False
LS,no,False
LS,no,False
LS,"layer4.1.conv2,layer4.1.bn2",True
LS,no,False
LS,no,False
LS,no,False
LS,"layer4.1.conv2,layer4.2.conv2",True
LS,"layer3.3.bn2,layer3.4.bn1",True
LS,no,False
