mut_types,mut_layer_name,mut_result
LS,"decoded.9,decoded.8",True
LS,"encoded.5,encoded.6",True
LS,"encoded.10,encoded.11",True
LS,"decoded.8,decoded.9",True
LS,"encoded.9,encoded.11",True
LS,"decoded.12,decoded.13",True
LS,"encoded.10,encoded.9",True
LS,"decoded.8,decoded.7",True
LS,"encoded.5,encoded.7",True
LS,"decoded.13,decoded.12",True
LS,"decoded.12,decoded.13",True
LS,"decoded.8,decoded.7",True
LS,"decoded.8,decoded.7",True
LS,"encoded.7,encoded.6",True
LS,"decoded.13,decoded.12",True
LS,"decoded.12,decoded.11",True
LS,"encoded.10,encoded.11",True
LS,"decoded.7,decoded.9",True
LS,"decoded.13,decoded.11",True
LS,"decoded.11,decoded.13",True
LS,"encoded.9,encoded.11",True
LS,"encoded.11,encoded.9",True
LS,"decoded.13,decoded.11",True
LS,"decoded.13,decoded.11",True
LS,"decoded.12,decoded.11",True
LS,"encoded.5,encoded.6",True
LS,"decoded.13,decoded.12",True
LS,"decoded.8,decoded.9",True
LS,"encoded.7,encoded.5",True
LS,"decoded.13,decoded.12",True
LS,"decoded.9,decoded.8",True
LS,"decoded.12,decoded.13",True
LS,"encoded.9,encoded.11",True
LS,"encoded.10,encoded.9",True
LS,"decoded.12,decoded.13",True
LS,"decoded.13,decoded.12",True
LS,"decoded.11,decoded.13",True
LS,"decoded.7,decoded.9",True
LS,"decoded.7,decoded.9",True
LS,"encoded.9,encoded.10",True
