mut_types,mut_layer_name,mut_result
LS,"layers.29,layers.28",True
LS,"layers.28,layers.29",True
LS,"layers.19,layers.18",True
LS,"layers.39,layers.38",True
LS,"layers.41,layers.42",True
LS,"layers.41,layers.42",True
LS,"layers.12,layers.11",True
LS,"layers.12,layers.11",True
LS,"layers.29,layers.28",True
LS,"layers.1,layers.2",True
LS,"layers.28,layers.29",True
LS,"classifier.4,classifier.5",True
LS,"layers.35,layers.36",True
LS,"layers.5,layers.4",True
LS,"classifier.3,classifier.1",True
LS,"layers.2,layers.1",True
LS,"layers.28,layers.29",True
LS,"classifier.3,classifier.2",True
LS,"classifier.3,classifier.2",True
LS,"layers.39,layers.38",True
LS,"layers.29,layers.28",True
LS,"layers.42,layers.41",True
LS,"layers.1,layers.2",True
LS,"classifier.2,classifier.1",True
LS,"layers.42,layers.41",True
LS,"layers.38,layers.39",True
LS,"layers.1,layers.2",True
LS,"layers.11,layers.12",True
LS,"layers.38,layers.39",True
LS,"layers.35,layers.36",True
LS,"layers.39,layers.38",True
LS,"layers.36,layers.35",True
LS,"layers.4,layers.5",True
LS,"classifier.2,classifier.1",True
LS,"layers.29,layers.28",True
LS,"layers.16,layers.15",True
LS,"layers.11,layers.12",True
LS,"classifier.1,classifier.4",True
LS,"layers.42,layers.41",True
LS,"layers.32,layers.31",True
