mut_types,mut_layer_name,mut_result
NAI,network.9.0,True
NAI,network.0.0,True
NAI,network.5.0,True
NAI,network.0.0,True
NAI,network.6.0,True
NAI,network.25.0,True
NAI,network.25.0,True
NAI,network.14.0,True
NAI,network.2.0,True
NAI,network.16.0,True
NAI,network.23.0,True
NAI,network.2.0,True
NAI,network.12.0,True
NAI,network.5.0,True
NAI,network.11.0,True
NAI,network.0.0,True
NAI,network.26.0,True
NAI,network.11.0,True
NAI,network.4.0,True
NAI,network.20.0,True
NAI,network.17.0,True
NAI,network.8.0,True
NAI,network.13.0,True
NAI,network.1.0,True
NAI,network.15.0,True
NAI,network.13.0,True
NAI,network.11.0,True
NAI,network.26.0,True
NAI,network.9.0,True
NAI,network.1.0,True
NAI,network.4.0,True
NAI,network.2.0,True
NAI,network.21.0,True
NAI,network.11.0,True
NAI,network.14.0,True
NAI,network.21.0,True
NAI,network.12.0,True
NAI,network.2.0,True
NAI,network.13.0,True
NAI,network.23.0,True
NAI,network.4.0,True
NAI,network.15.0,True
NAI,network.15.0,True
NAI,network.25.0,True
NAI,network.3.0,True
NAI,network.26.0,True
NAI,network.18.0,True
NAI,network.25.0,True
NAI,network.20.0,True
NAI,network.22.0,True
NAI,network.14.0,True
NAI,network.21.0,True
NAI,network.8.0,True
NAI,network.12.0,True
NAI,network.24.0,True
NAI,network.5.0,True
NAI,network.16.0,True
NAI,network.9.0,True
NAI,network.19.0,True
NAI,network.13.0,True
NAI,network.5.0,True
NAI,network.11.0,True
NAI,network.23.0,True
NAI,network.1.0,True
NAI,network.11.0,True
NAI,network.22.0,True
NAI,network.11.0,True
NAI,network.15.0,True
NAI,network.14.0,True
NAI,network.17.0,True
NAI,network.18.0,True
NAI,network.15.0,True
NAI,network.7.0,True
NAI,network.23.0,True
NAI,network.1.0,True
NAI,network.13.0,True
NAI,network.16.0,True
NAI,network.26.0,True
NAI,network.12.0,True
NAI,network.14.0,True
NAI,network.20.0,True
NAI,network.8.0,True
NAI,network.15.0,True
NAI,network.26.0,True
NAI,network.15.0,True
NAI,network.25.0,True
NAI,network.12.0,True
NAI,network.6.0,True
NAI,network.7.0,True
NAI,network.6.0,True
NAI,network.4.0,True
NAI,network.20.0,True
NAI,network.24.0,True
NAI,network.24.0,True
NAI,network.7.0,True
NAI,network.14.0,True
NAI,network.5.0,True
NAI,network.8.0,True
NAI,network.21.0,True
NAI,network.24.0,True
