mut_types,mut_layer_name,mut_result
NAI,aspp.conv1,True
NAI,aspp.aspp1.aspp_conv.0,True
NAI,aspp.conv1,True
NAI,aspp.conv1,True
NAI,aspp.aspp3.aspp_conv.0,True
NAI,aspp.conv2,True
NAI,aspp.conv2,True
NAI,aspp.aspp1.aspp_conv.0,True
NAI,aspp.aspp1.aspp_conv.0,True
NAI,aspp.aspp_pooling.conv.0,True
NAI,aspp.aspp1.aspp_conv.0,True
NAI,aspp.aspp4.aspp_conv.0,True
NAI,aspp.aspp3.aspp_conv.0,True
NAI,aspp.aspp3.aspp_conv.0,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.aspp1.aspp_conv.0,True
NAI,aspp.aspp3.aspp_conv.0,True
NAI,aspp.conv2,True
NAI,aspp.aspp4.aspp_conv.0,True
NAI,aspp.aspp4.aspp_conv.0,True
NAI,aspp.aspp4.aspp_conv.0,True
NAI,aspp.aspp_pooling.conv.0,True
NAI,aspp.aspp1.aspp_conv.0,True
NAI,aspp.aspp1.aspp_conv.0,True
NAI,aspp.conv2,True
NAI,aspp.aspp1.aspp_conv.0,True
NAI,aspp.aspp4.aspp_conv.0,True
NAI,aspp.conv2,True
NAI,aspp.aspp_pooling.conv.0,True
NAI,aspp.conv1,True
NAI,aspp.aspp_pooling.conv.0,True
NAI,aspp.conv2,True
NAI,aspp.conv2,True
NAI,aspp.aspp3.aspp_conv.0,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.conv1,True
NAI,aspp.aspp3.aspp_conv.0,True
NAI,aspp.aspp_pooling.conv.0,True
NAI,aspp.conv1,True
NAI,aspp.conv2,True
NAI,aspp.aspp3.aspp_conv.0,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.aspp_pooling.conv.0,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.aspp4.aspp_conv.0,True
NAI,aspp.aspp_pooling.conv.0,True
NAI,aspp.conv2,True
NAI,aspp.aspp4.aspp_conv.0,True
NAI,aspp.conv1,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.aspp1.aspp_conv.0,True
NAI,aspp.conv2,True
NAI,aspp.aspp1.aspp_conv.0,True
NAI,aspp.aspp3.aspp_conv.0,True
NAI,aspp.conv1,True
NAI,aspp.conv1,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.aspp4.aspp_conv.0,True
NAI,aspp.conv2,True
NAI,aspp.aspp4.aspp_conv.0,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.aspp1.aspp_conv.0,True
NAI,aspp.aspp_pooling.conv.0,True
NAI,aspp.aspp3.aspp_conv.0,True
NAI,aspp.aspp_pooling.conv.0,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.aspp3.aspp_conv.0,True
NAI,aspp.aspp4.aspp_conv.0,True
NAI,aspp.conv2,True
NAI,aspp.aspp1.aspp_conv.0,True
NAI,aspp.aspp1.aspp_conv.0,True
NAI,aspp.conv1,True
NAI,aspp.aspp3.aspp_conv.0,True
NAI,aspp.aspp_pooling.conv.0,True
NAI,aspp.aspp4.aspp_conv.0,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.conv1,True
NAI,aspp.aspp3.aspp_conv.0,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.conv1,True
NAI,aspp.conv1,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.aspp_pooling.conv.0,True
NAI,aspp.aspp4.aspp_conv.0,True
NAI,aspp.aspp4.aspp_conv.0,True
NAI,aspp.aspp4.aspp_conv.0,True
NAI,aspp.aspp3.aspp_conv.0,True
NAI,aspp.aspp4.aspp_conv.0,True
NAI,aspp.aspp2.aspp_conv.0,True
NAI,aspp.conv1,True
NAI,aspp.aspp1.aspp_conv.0,True
NAI,aspp.aspp_pooling.conv.0,True
NAI,aspp.aspp1.aspp_conv.0,True
NAI,aspp.aspp_pooling.conv.0,True
NAI,aspp.conv1,True
NAI,aspp.aspp_pooling.conv.0,True
