mut_types,mut_layer_name,mut_result
NAI,base.conv4_3_CPM,True
NAI,stage_2.conv5_L1,True
NAI,stage_5.conv5_L2,True
NAI,stage_2.conv2_L1,True
NAI,stage_3.conv6_L2,True
NAI,stage_5.conv3_L1,True
NAI,stage_6.conv5_L1,True
NAI,stage_3.conv5_L1,True
NAI,stage_3.conv1_L1,True
NAI,stage_4.conv2_L1,True
NAI,stage_5.conv2_L2,True
NAI,base.vgg_base.layers.7,True
NAI,stage_3.conv2_L2,True
NAI,stage_6.conv1_L1,True
NAI,stage_5.conv2_L1,True
NAI,stage_6.conv2_L2,True
NAI,base.vgg_base.layers.0,True
NAI,base.vgg_base.layers.2,True
NAI,stage_4.conv5_L1,True
NAI,stage_3.conv3_L1,True
NAI,stage_4.conv3_L1,True
NAI,stage_5.conv5_L2,True
NAI,stage_3.conv4_L1,True
NAI,stage_3.conv7_L1,True
NAI,stage_1.conv5_CPM_L1,True
NAI,base.vgg_base.layers.14,True
NAI,base.vgg_base.layers.21,True
NAI,stage_1.conv4_CPM_L2,True
NAI,stage_5.conv1_L2,True
NAI,stage_4.conv5_L1,True
NAI,stage_2.conv1_L2,True
NAI,stage_1.conv4_CPM_L1,True
NAI,stage_6.conv7_L2,True
NAI,base.vgg_base.layers.19,True
NAI,stage_4.conv6_L2,True
NAI,stage_2.conv6_L2,True
NAI,stage_6.conv3_L2,True
NAI,stage_5.conv1_L1,True
NAI,stage_3.conv3_L2,True
NAI,stage_3.conv2_L2,True
NAI,stage_5.conv2_L1,True
NAI,stage_1.conv4_CPM_L2,True
NAI,stage_3.conv6_L2,True
NAI,base.vgg_base.layers.10,True
NAI,stage_1.conv5_CPM_L2,True
NAI,stage_3.conv6_L1,True
NAI,base.vgg_base.layers.21,True
NAI,stage_5.conv1_L1,True
NAI,base.vgg_base.layers.5,True
NAI,stage_6.conv2_L2,True
NAI,stage_2.conv3_L1,True
NAI,stage_5.conv2_L1,True
NAI,stage_3.conv5_L1,True
NAI,base.vgg_base.layers.5,True
NAI,stage_3.conv3_L1,True
NAI,base.vgg_base.layers.0,True
NAI,base.vgg_base.layers.5,True
NAI,stage_5.conv6_L2,True
NAI,stage_4.conv2_L1,True
NAI,stage_6.conv1_L1,True
NAI,stage_4.conv6_L2,True
NAI,stage_6.conv4_L2,True
NAI,base.vgg_base.layers.14,True
NAI,stage_5.conv3_L1,True
NAI,stage_2.conv5_L1,True
NAI,stage_4.conv6_L2,True
NAI,stage_6.conv5_L1,True
NAI,stage_5.conv7_L1,True
NAI,stage_4.conv2_L2,True
NAI,stage_2.conv4_L2,True
NAI,stage_2.conv1_L2,True
NAI,stage_5.conv1_L2,True
NAI,base.vgg_base.layers.5,True
NAI,stage_6.conv7_L1,True
NAI,base.vgg_base.layers.19,True
NAI,stage_5.conv7_L1,True
NAI,stage_4.conv2_L2,True
NAI,stage_5.conv1_L2,True
NAI,stage_3.conv2_L2,True
NAI,stage_2.conv5_L1,True
NAI,stage_1.conv3_CPM_L1,True
NAI,base.conv4_3_CPM,True
NAI,stage_2.conv3_L2,True
NAI,stage_6.conv5_L2,True
NAI,stage_3.conv3_L1,True
NAI,stage_4.conv3_L2,True
NAI,stage_5.conv4_L2,True
NAI,stage_5.conv2_L2,True
NAI,stage_3.conv1_L1,True
NAI,base.vgg_base.layers.7,True
NAI,stage_6.conv6_L1,True
NAI,stage_1.conv2_CPM_L2,True
NAI,stage_2.conv6_L1,True
NAI,stage_5.conv4_L1,True
NAI,stage_4.conv1_L1,True
NAI,stage_3.conv7_L1,True
NAI,stage_6.conv2_L1,True
NAI,stage_5.conv6_L1,True
NAI,stage_2.conv7_L2,True
NAI,base.vgg_base.layers.0,True
