mut_types,mut_layer_name,mut_result
NAI,layer3.0,True
NAI,fc,True
NAI,layer2.0,True
NAI,layer1.0,True
NAI,fc,True
NAI,layer3.0,True
NAI,layer2.0,True
NAI,layer1.0,True
NAI,layer3.0,True
NAI,layer3.0,True
NAI,layer1.0,True
NAI,layer2.0,True
NAI,layer2.0,True
NAI,layer1.0,True
NAI,layer2.0,True
NAI,layer3.0,True
NAI,layer3.0,True
NAI,layer1.0,True
NAI,fc,True
NAI,fc,True
NAI,layer2.0,True
NAI,layer1.0,True
NAI,layer3.0,True
NAI,layer1.0,True
NAI,layer2.0,True
NAI,layer1.0,True
NAI,layer1.0,True
NAI,layer1.0,True
NAI,layer3.0,True
NAI,fc,True
NAI,layer3.0,True
NAI,fc,True
NAI,layer3.0,True
NAI,layer2.0,True
NAI,layer3.0,True
NAI,layer1.0,True
NAI,layer2.0,True
NAI,layer1.0,True
NAI,fc,True
NAI,layer1.0,True
NAI,layer2.0,True
NAI,layer1.0,True
NAI,layer1.0,True
NAI,layer1.0,True
NAI,layer1.0,True
NAI,layer1.0,True
NAI,layer3.0,True
NAI,layer2.0,True
NAI,layer2.0,True
NAI,layer2.0,True
NAI,layer3.0,True
NAI,layer2.0,True
NAI,fc,True
NAI,layer1.0,True
NAI,layer3.0,True
NAI,layer1.0,True
NAI,layer1.0,True
NAI,fc,True
NAI,layer2.0,True
NAI,layer3.0,True
NAI,layer3.0,True
NAI,layer2.0,True
NAI,fc,True
NAI,layer1.0,True
NAI,layer2.0,True
NAI,layer1.0,True
NAI,layer3.0,True
NAI,fc,True
NAI,layer1.0,True
NAI,layer2.0,True
NAI,fc,True
NAI,fc,True
NAI,layer2.0,True
NAI,layer2.0,True
NAI,layer2.0,True
NAI,layer2.0,True
NAI,fc,True
NAI,layer2.0,True
NAI,layer3.0,True
NAI,fc,True
NAI,layer1.0,True
NAI,fc,True
NAI,layer1.0,True
NAI,layer3.0,True
NAI,layer1.0,True
NAI,layer3.0,True
NAI,layer1.0,True
NAI,layer1.0,True
NAI,layer2.0,True
NAI,layer3.0,True
NAI,layer1.0,True
NAI,fc,True
NAI,layer3.0,True
NAI,layer3.0,True
NAI,layer3.0,True
NAI,layer2.0,True
NAI,layer1.0,True
NAI,layer3.0,True
NAI,layer3.0,True
NAI,layer2.0,True
