mut_types,mut_layer_name,mut_result
NAI,down1.maxpool_conv.1.double_conv.2,True
NAI,down4.maxpool_conv.1.double_conv.0,True
NAI,up1.conv.double_conv.0,True
NAI,up4.conv.double_conv.0,True
NAI,down2.maxpool_conv.1.double_conv.0,True
NAI,up4.conv.double_conv.0,True
NAI,down3.maxpool_conv.1.double_conv.0,True
NAI,up3.conv.double_conv.0,True
NAI,down3.maxpool_conv.1.double_conv.0,True
NAI,up2.conv.double_conv.0,True
NAI,up2.conv.double_conv.0,True
NAI,down2.maxpool_conv.1.double_conv.2,True
NAI,up2.conv.double_conv.2,True
NAI,up1.conv.double_conv.2,True
NAI,down2.maxpool_conv.1.double_conv.0,True
NAI,up4.conv.double_conv.0,True
NAI,up1.up,True
NAI,down1.maxpool_conv.1.double_conv.0,True
NAI,down1.maxpool_conv.1.double_conv.2,True
NAI,down4.maxpool_conv.1.double_conv.2,True
NAI,up4.conv.double_conv.0,True
NAI,up3.up,True
NAI,up4.conv.double_conv.0,True
NAI,up1.conv.double_conv.0,True
NAI,up3.conv.double_conv.2,True
NAI,up4.conv.double_conv.0,True
NAI,up4.up,True
NAI,down1.maxpool_conv.1.double_conv.0,True
NAI,up2.conv.double_conv.2,True
NAI,up3.conv.double_conv.0,True
NAI,down3.maxpool_conv.1.double_conv.0,True
NAI,up3.conv.double_conv.2,True
NAI,down2.maxpool_conv.1.double_conv.0,True
NAI,up2.up,True
NAI,up2.up,True
NAI,up4.conv.double_conv.0,True
NAI,outc.conv,True
NAI,up3.conv.double_conv.2,True
NAI,up2.conv.double_conv.2,True
NAI,up4.conv.double_conv.2,True
NAI,down1.maxpool_conv.1.double_conv.2,True
NAI,up1.conv.double_conv.0,True
NAI,up1.conv.double_conv.2,True
NAI,up2.up,True
NAI,up3.conv.double_conv.0,True
NAI,up2.up,True
NAI,up2.conv.double_conv.2,True
NAI,down2.maxpool_conv.1.double_conv.2,True
NAI,up2.conv.double_conv.2,True
NAI,inc.double_conv.0,True
NAI,up4.conv.double_conv.2,True
NAI,up3.conv.double_conv.2,True
NAI,down3.maxpool_conv.1.double_conv.2,True
NAI,down4.maxpool_conv.1.double_conv.2,True
NAI,up3.conv.double_conv.0,True
NAI,down1.maxpool_conv.1.double_conv.0,True
NAI,down2.maxpool_conv.1.double_conv.2,True
NAI,down2.maxpool_conv.1.double_conv.0,True
NAI,up3.conv.double_conv.2,True
NAI,down4.maxpool_conv.1.double_conv.2,True
NAI,inc.double_conv.0,True
NAI,up3.up,True
NAI,down3.maxpool_conv.1.double_conv.2,True
NAI,up4.up,True
NAI,down1.maxpool_conv.1.double_conv.0,True
NAI,inc.double_conv.0,True
NAI,down3.maxpool_conv.1.double_conv.2,True
NAI,up2.conv.double_conv.2,True
NAI,up4.up,True
NAI,up1.conv.double_conv.0,True
NAI,up4.up,True
NAI,down3.maxpool_conv.1.double_conv.2,True
NAI,down3.maxpool_conv.1.double_conv.2,True
NAI,up4.up,True
NAI,down4.maxpool_conv.1.double_conv.0,True
NAI,down1.maxpool_conv.1.double_conv.2,True
NAI,outc.conv,True
NAI,down2.maxpool_conv.1.double_conv.2,True
NAI,up2.conv.double_conv.2,True
NAI,up4.conv.double_conv.0,True
NAI,up1.conv.double_conv.0,True
NAI,up2.up,True
NAI,down2.maxpool_conv.1.double_conv.0,True
NAI,down2.maxpool_conv.1.double_conv.2,True
NAI,inc.double_conv.0,True
NAI,up2.conv.double_conv.0,True
NAI,down4.maxpool_conv.1.double_conv.0,True
NAI,up3.conv.double_conv.2,True
NAI,down1.maxpool_conv.1.double_conv.0,True
NAI,up4.conv.double_conv.2,True
NAI,up2.up,True
NAI,down3.maxpool_conv.1.double_conv.0,True
NAI,up1.conv.double_conv.2,True
NAI,up4.conv.double_conv.2,True
NAI,up4.conv.double_conv.2,True
NAI,up3.conv.double_conv.2,True
NAI,up1.up,True
NAI,up4.conv.double_conv.2,True
NAI,down1.maxpool_conv.1.double_conv.2,True
NAI,outc.conv,True
