mut_types,mut_layer_name,mut_result
NAI,layers.17,True
NAI,classifier.3,True
NAI,classifier.3,True
NAI,layers.3,True
NAI,layers.27,True
NAI,layers.3,True
NAI,layers.34,True
NAI,layers.34,True
NAI,layers.34,True
NAI,layers.24,True
NAI,layers.17,True
NAI,layers.34,True
NAI,layers.37,True
NAI,layers.7,True
NAI,layers.30,True
NAI,layers.0,True
NAI,layers.7,True
NAI,layers.20,True
NAI,layers.37,True
NAI,layers.30,True
NAI,layers.3,True
NAI,layers.14,True
NAI,layers.3,True
NAI,layers.20,True
NAI,classifier.6,True
NAI,layers.3,True
NAI,layers.14,True
NAI,layers.24,True
NAI,layers.37,True
NAI,layers.10,True
NAI,layers.34,True
NAI,layers.40,True
NAI,layers.0,True
NAI,layers.10,True
NAI,layers.27,True
NAI,layers.27,True
NAI,layers.14,True
NAI,layers.10,True
NAI,layers.37,True
NAI,classifier.3,True
NAI,layers.20,True
NAI,classifier.6,True
NAI,layers.7,True
NAI,layers.17,True
NAI,layers.24,True
NAI,layers.10,True
NAI,layers.37,True
NAI,classifier.0,True
NAI,layers.37,True
NAI,classifier.6,True
NAI,classifier.3,True
NAI,layers.40,True
NAI,layers.34,True
NAI,layers.30,True
NAI,layers.10,True
NAI,layers.37,True
NAI,layers.24,True
NAI,layers.20,True
NAI,layers.40,True
NAI,layers.30,True
NAI,layers.0,True
NAI,layers.20,True
NAI,layers.14,True
NAI,layers.17,True
NAI,layers.30,True
NAI,layers.27,True
NAI,classifier.0,True
NAI,layers.37,True
NAI,layers.27,True
NAI,classifier.0,True
NAI,layers.14,True
NAI,classifier.3,True
NAI,layers.14,True
NAI,layers.27,True
NAI,layers.10,True
NAI,layers.17,True
NAI,classifier.3,True
NAI,classifier.6,True
NAI,layers.37,True
NAI,layers.3,True
NAI,classifier.6,True
NAI,layers.17,True
NAI,layers.14,True
NAI,layers.27,True
NAI,layers.34,True
NAI,layers.17,True
NAI,classifier.6,True
NAI,layers.40,True
NAI,classifier.3,True
NAI,classifier.3,True
NAI,layers.24,True
NAI,classifier.0,True
NAI,layers.7,True
NAI,layers.27,True
NAI,classifier.3,True
NAI,layers.40,True
NAI,classifier.3,True
NAI,classifier.3,True
NAI,layers.27,True
NAI,layers.27,True
