mut_types,mut_layer_name,mut_result
NS,network.18.0,True
NS,network.6.0,True
NS,network.5.0,True
NS,network.0.0,True
NS,network.15.0,True
NS,network.6.0,True
NS,network.26.0,True
NS,network.12.0,True
NS,network.17.0,True
NS,network.4.0,True
NS,network.6.0,True
NS,network.23.0,True
NS,network.0.0,True
NS,network.11.0,True
NS,network.12.0,True
NS,network.10.0,True
NS,network.17.0,True
NS,network.5.0,True
NS,network.16.0,True
NS,network.0.0,True
NS,network.4.0,True
NS,network.13.0,True
NS,network.7.0,True
NS,network.6.0,True
NS,network.4.0,True
NS,network.23.0,True
NS,network.25.0,True
NS,network.26.0,True
NS,network.25.0,True
NS,network.23.0,True
NS,network.0.0,True
NS,network.24.0,True
NS,network.24.0,True
NS,network.1.0,True
NS,network.16.0,True
NS,network.5.0,True
NS,network.12.0,True
NS,network.2.0,True
NS,network.4.0,True
NS,network.24.0,True
NS,network.20.0,True
NS,network.16.0,True
NS,network.1.0,True
NS,network.22.0,True
NS,network.9.0,True
NS,network.17.0,True
NS,network.1.0,True
NS,network.13.0,True
NS,network.17.0,True
NS,network.8.0,True
NS,network.21.0,True
NS,network.16.0,True
NS,network.22.0,True
NS,network.1.0,True
NS,network.0.0,True
NS,network.1.0,True
NS,network.18.0,True
NS,network.20.0,True
NS,network.15.0,True
NS,network.1.0,True
NS,network.10.0,True
NS,network.1.0,True
NS,network.13.0,True
NS,network.8.0,True
NS,network.11.0,True
NS,network.17.0,True
NS,network.2.0,True
NS,network.3.0,True
NS,network.17.0,True
NS,network.26.0,True
NS,network.0.0,True
NS,network.8.0,True
NS,network.16.0,True
NS,network.16.0,True
NS,network.3.0,True
NS,network.17.0,True
NS,network.8.0,True
NS,network.12.0,True
NS,network.16.0,True
NS,network.10.0,True
NS,network.19.0,True
NS,network.12.0,True
NS,network.15.0,True
NS,network.14.0,True
NS,network.2.0,True
NS,network.12.0,True
NS,network.9.0,True
NS,network.24.0,True
NS,network.17.0,True
NS,network.8.0,True
NS,network.21.0,True
NS,network.2.0,True
NS,network.21.0,True
NS,network.1.0,True
NS,network.24.0,True
NS,network.6.0,True
NS,network.2.0,True
NS,network.19.0,True
NS,network.20.0,True
NS,network.10.0,True
