mut_types,mut_layer_name,mut_result
NS,aspp.aspp_pooling.conv.0,True
NS,aspp.conv2,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.conv2,True
NS,aspp.aspp4.aspp_conv.0,True
NS,aspp.aspp_pooling.conv.0,True
NS,aspp.aspp2.aspp_conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.conv2,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.conv1,True
NS,aspp.conv1,True
NS,aspp.conv2,True
NS,aspp.aspp_pooling.conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.aspp_pooling.conv.0,True
NS,aspp.conv1,True
NS,aspp.conv1,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.aspp_pooling.conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.aspp2.aspp_conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.aspp_pooling.conv.0,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.aspp2.aspp_conv.0,True
NS,aspp.aspp4.aspp_conv.0,True
NS,aspp.conv1,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.aspp2.aspp_conv.0,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.conv1,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.conv1,True
NS,aspp.aspp_pooling.conv.0,True
NS,aspp.conv1,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.conv1,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.conv1,True
NS,aspp.aspp4.aspp_conv.0,True
NS,aspp.aspp_pooling.conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.conv2,True
NS,aspp.conv1,True
NS,aspp.conv2,True
NS,aspp.aspp2.aspp_conv.0,True
NS,aspp.aspp2.aspp_conv.0,True
NS,aspp.conv2,True
NS,aspp.aspp_pooling.conv.0,True
NS,aspp.aspp2.aspp_conv.0,True
NS,aspp.conv1,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.aspp_pooling.conv.0,True
NS,aspp.conv1,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.aspp_pooling.conv.0,True
NS,aspp.aspp_pooling.conv.0,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.aspp4.aspp_conv.0,True
NS,aspp.conv2,True
NS,aspp.aspp4.aspp_conv.0,True
NS,aspp.conv2,True
NS,aspp.aspp4.aspp_conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.aspp2.aspp_conv.0,True
NS,aspp.aspp_pooling.conv.0,True
NS,aspp.aspp4.aspp_conv.0,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.aspp3.aspp_conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.aspp4.aspp_conv.0,True
NS,aspp.conv2,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.aspp2.aspp_conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.conv1,True
NS,aspp.aspp4.aspp_conv.0,True
NS,aspp.conv2,True
NS,aspp.aspp4.aspp_conv.0,True
NS,aspp.conv2,True
NS,aspp.aspp2.aspp_conv.0,True
NS,aspp.aspp2.aspp_conv.0,True
NS,aspp.conv1,True
NS,aspp.aspp2.aspp_conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.aspp1.aspp_conv.0,True
NS,aspp.aspp3.aspp_conv.0,True
