mut_types,mut_layer_name,mut_result
NS,encoded.14,True
NS,encoded.18,True
NS,decoded.8,True
NS,encoded.2,True
NS,decoded.4,True
NS,decoded.12,True
NS,decoded.10,True
NS,decoded.6,True
NS,encoded.14,True
NS,decoded.6,True
NS,encoded.14,True
NS,encoded.2,True
NS,decoded.0,True
NS,encoded.2,True
NS,encoded.2,True
NS,encoded.14,True
NS,decoded.8,True
NS,encoded.14,True
NS,decoded.6,True
NS,encoded.8,True
NS,decoded.6,True
NS,decoded.2,True
NS,encoded.6,True
NS,encoded.12,True
NS,encoded.12,True
NS,decoded.14,True
NS,decoded.6,True
NS,decoded.0,True
NS,decoded.6,True
NS,decoded.0,True
NS,encoded.0,True
NS,decoded.14,True
NS,decoded.12,True
NS,encoded.0,True
NS,decoded.4,True
NS,decoded.12,True
NS,decoded.10,True
NS,decoded.8,True
NS,decoded.4,True
NS,decoded.18,True
NS,decoded.2,True
NS,encoded.6,True
NS,decoded.18,True
NS,encoded.0,True
NS,encoded.18,True
NS,decoded.10,True
NS,decoded.2,True
NS,decoded.10,True
NS,decoded.8,True
NS,encoded.0,True
NS,decoded.10,True
NS,encoded.4,True
NS,encoded.6,True
NS,encoded.14,True
NS,decoded.16,True
NS,encoded.10,True
NS,encoded.14,True
NS,encoded.8,True
NS,decoded.4,True
NS,decoded.8,True
NS,encoded.4,True
NS,encoded.18,True
NS,encoded.0,True
NS,decoded.18,True
NS,decoded.2,True
NS,decoded.10,True
NS,decoded.14,True
NS,encoded.8,True
NS,decoded.8,True
NS,encoded.4,True
NS,decoded.16,True
NS,encoded.18,True
NS,decoded.4,True
NS,encoded.6,True
NS,encoded.16,True
NS,decoded.0,True
NS,decoded.8,True
NS,encoded.2,True
NS,encoded.4,True
NS,decoded.12,True
NS,decoded.6,True
NS,decoded.6,True
NS,encoded.12,True
NS,encoded.4,True
NS,decoded.18,True
NS,decoded.8,True
NS,decoded.4,True
NS,encoded.4,True
NS,encoded.14,True
NS,encoded.18,True
NS,decoded.0,True
NS,encoded.10,True
NS,decoded.14,True
NS,decoded.16,True
NS,encoded.18,True
NS,encoded.6,True
NS,decoded.10,True
NS,decoded.14,True
NS,decoded.0,True
NS,decoded.12,True
