mut_types,mut_layer_name,mut_result
NS,layer2.0,True
NS,layer2.0,True
NS,fc,True
NS,layer3.0,True
NS,layer3.0,True
NS,fc,True
NS,layer3.0,True
NS,layer2.0,True
NS,fc,True
NS,layer2.0,True
NS,layer2.0,True
NS,layer3.0,True
NS,layer1.0,True
NS,layer1.0,True
NS,layer2.0,True
NS,layer3.0,True
NS,layer3.0,True
NS,layer1.0,True
NS,layer1.0,True
NS,layer1.0,True
NS,layer2.0,True
NS,layer1.0,True
NS,layer1.0,True
NS,layer1.0,True
NS,layer3.0,True
NS,fc,True
NS,layer2.0,True
NS,layer2.0,True
NS,layer2.0,True
NS,fc,True
NS,layer1.0,True
NS,layer3.0,True
NS,layer1.0,True
NS,layer3.0,True
NS,layer2.0,True
NS,fc,True
NS,layer2.0,True
NS,layer3.0,True
NS,layer2.0,True
NS,layer2.0,True
NS,layer1.0,True
NS,layer1.0,True
NS,fc,True
NS,layer3.0,True
NS,layer1.0,True
NS,fc,True
NS,layer2.0,True
NS,layer2.0,True
NS,fc,True
NS,fc,True
NS,layer2.0,True
NS,layer3.0,True
NS,layer3.0,True
NS,layer3.0,True
NS,layer1.0,True
NS,layer1.0,True
NS,layer1.0,True
NS,layer2.0,True
NS,fc,True
NS,layer3.0,True
NS,layer1.0,True
NS,fc,True
NS,layer1.0,True
NS,layer1.0,True
NS,layer2.0,True
NS,fc,True
NS,layer3.0,True
NS,layer1.0,True
NS,layer3.0,True
NS,layer1.0,True
NS,layer2.0,True
NS,layer1.0,True
NS,layer1.0,True
NS,layer2.0,True
NS,layer2.0,True
NS,layer2.0,True
NS,layer2.0,True
NS,fc,True
NS,layer1.0,True
NS,layer1.0,True
NS,layer2.0,True
NS,layer3.0,True
NS,layer1.0,True
NS,layer3.0,True
NS,fc,True
NS,layer1.0,True
NS,layer1.0,True
NS,layer2.0,True
NS,layer1.0,True
NS,layer3.0,True
NS,layer1.0,True
NS,layer3.0,True
NS,layer2.0,True
NS,layer1.0,True
NS,layer3.0,True
NS,layer1.0,True
NS,layer3.0,True
NS,fc,True
NS,layer2.0,True
NS,layer1.0,True
