mut_types,mut_layer_name,mut_result
NS,up1.up,True
NS,up1.up,True
NS,outc.conv,True
NS,outc.conv,True
NS,down4.maxpool_conv.1.double_conv.0,True
NS,up1.up,True
NS,down3.maxpool_conv.1.double_conv.0,True
NS,up4.conv.double_conv.0,True
NS,up2.up,True
NS,down4.maxpool_conv.1.double_conv.2,True
NS,down3.maxpool_conv.1.double_conv.2,True
NS,up1.conv.double_conv.2,True
NS,up1.conv.double_conv.0,True
NS,down3.maxpool_conv.1.double_conv.0,True
NS,down3.maxpool_conv.1.double_conv.2,True
NS,down1.maxpool_conv.1.double_conv.2,True
NS,inc.double_conv.0,True
NS,inc.double_conv.0,True
NS,down1.maxpool_conv.1.double_conv.0,True
NS,up1.conv.double_conv.0,True
NS,up3.up,True
NS,up1.conv.double_conv.0,True
NS,up4.up,True
NS,up3.up,True
NS,up2.conv.double_conv.0,True
NS,up3.conv.double_conv.2,True
NS,down2.maxpool_conv.1.double_conv.2,True
NS,up3.conv.double_conv.2,True
NS,down3.maxpool_conv.1.double_conv.2,True
NS,down3.maxpool_conv.1.double_conv.2,True
NS,up1.conv.double_conv.0,True
NS,down1.maxpool_conv.1.double_conv.2,True
NS,down1.maxpool_conv.1.double_conv.0,True
NS,up4.up,True
NS,up3.up,True
NS,down1.maxpool_conv.1.double_conv.2,True
NS,down4.maxpool_conv.1.double_conv.2,True
NS,outc.conv,True
NS,up1.conv.double_conv.0,True
NS,down2.maxpool_conv.1.double_conv.2,True
NS,up3.conv.double_conv.2,True
NS,down1.maxpool_conv.1.double_conv.0,True
NS,up4.conv.double_conv.0,True
NS,down2.maxpool_conv.1.double_conv.2,True
NS,inc.double_conv.2,True
NS,down3.maxpool_conv.1.double_conv.0,True
NS,down4.maxpool_conv.1.double_conv.2,True
NS,up4.conv.double_conv.2,True
NS,down1.maxpool_conv.1.double_conv.2,True
NS,up4.up,True
NS,outc.conv,True
NS,up1.conv.double_conv.2,True
NS,inc.double_conv.0,True
NS,up4.conv.double_conv.2,True
NS,up4.conv.double_conv.0,True
NS,down2.maxpool_conv.1.double_conv.0,True
NS,down1.maxpool_conv.1.double_conv.2,True
NS,up2.conv.double_conv.2,True
NS,down2.maxpool_conv.1.double_conv.0,True
NS,up4.up,True
NS,up3.conv.double_conv.0,True
NS,down1.maxpool_conv.1.double_conv.2,True
NS,down1.maxpool_conv.1.double_conv.0,True
NS,down4.maxpool_conv.1.double_conv.0,True
NS,down3.maxpool_conv.1.double_conv.2,True
NS,down3.maxpool_conv.1.double_conv.0,True
NS,up3.up,True
NS,up1.up,True
NS,down1.maxpool_conv.1.double_conv.2,True
NS,up4.conv.double_conv.2,True
NS,inc.double_conv.2,True
NS,down1.maxpool_conv.1.double_conv.2,True
NS,inc.double_conv.0,True
NS,inc.double_conv.0,True
NS,down1.maxpool_conv.1.double_conv.0,True
NS,up4.conv.double_conv.0,True
NS,up3.up,True
NS,down2.maxpool_conv.1.double_conv.2,True
NS,inc.double_conv.0,True
NS,up1.conv.double_conv.2,True
NS,up2.conv.double_conv.0,True
NS,down2.maxpool_conv.1.double_conv.0,True
NS,down1.maxpool_conv.1.double_conv.0,True
NS,up4.conv.double_conv.2,True
NS,up2.conv.double_conv.0,True
NS,up3.conv.double_conv.2,True
NS,up4.up,True
NS,outc.conv,True
NS,up3.conv.double_conv.0,True
NS,down3.maxpool_conv.1.double_conv.0,True
NS,up4.conv.double_conv.0,True
NS,up2.conv.double_conv.2,True
NS,up3.conv.double_conv.2,True
NS,up3.conv.double_conv.2,True
NS,up3.conv.double_conv.2,True
NS,up1.conv.double_conv.2,True
NS,down3.maxpool_conv.1.double_conv.2,True
NS,up2.conv.double_conv.2,True
NS,down4.maxpool_conv.1.double_conv.0,True
NS,up4.conv.double_conv.0,True
