mut_types,mut_layer_name,mut_result
NS,layers.40,True
NS,layers.34,True
NS,layers.14,True
NS,classifier.6,True
NS,layers.0,True
NS,layers.34,True
NS,classifier.3,True
NS,layers.0,True
NS,layers.3,True
NS,layers.40,True
NS,classifier.6,True
NS,layers.7,True
NS,classifier.6,True
NS,classifier.3,True
NS,layers.24,True
NS,classifier.0,True
NS,layers.34,True
NS,layers.34,True
NS,layers.27,True
NS,layers.30,True
NS,layers.14,True
NS,layers.37,True
NS,layers.14,True
NS,layers.20,True
NS,layers.17,True
NS,layers.27,True
NS,classifier.6,True
NS,layers.10,True
NS,layers.24,True
NS,classifier.6,True
NS,layers.10,True
NS,layers.34,True
NS,classifier.6,True
NS,layers.7,True
NS,layers.40,True
NS,layers.40,True
NS,layers.10,True
NS,layers.3,True
NS,layers.7,True
NS,classifier.3,True
NS,classifier.6,True
NS,layers.24,True
NS,layers.0,True
NS,layers.20,True
NS,layers.37,True
NS,layers.27,True
NS,layers.40,True
NS,layers.27,True
NS,layers.40,True
NS,layers.20,True
NS,classifier.6,True
NS,classifier.6,True
NS,layers.0,True
NS,layers.37,True
NS,layers.30,True
NS,layers.14,True
NS,layers.14,True
NS,layers.7,True
NS,layers.20,True
NS,layers.17,True
NS,layers.7,True
NS,layers.7,True
NS,layers.30,True
NS,layers.14,True
NS,layers.17,True
NS,layers.20,True
NS,layers.34,True
NS,layers.17,True
NS,layers.40,True
NS,layers.27,True
NS,layers.30,True
NS,layers.37,True
NS,layers.34,True
NS,layers.34,True
NS,layers.27,True
NS,layers.24,True
NS,classifier.3,True
NS,layers.24,True
NS,layers.3,True
NS,layers.40,True
NS,layers.7,True
NS,layers.20,True
NS,classifier.6,True
NS,classifier.0,True
NS,classifier.3,True
NS,classifier.6,True
NS,layers.14,True
NS,layers.20,True
NS,classifier.6,True
NS,classifier.3,True
NS,layers.34,True
NS,layers.7,True
NS,layers.14,True
NS,classifier.6,True
NS,layers.37,True
NS,layers.24,True
NS,classifier.3,True
NS,classifier.6,True
NS,layers.24,True
NS,layers.10,True
