mut_types,mut_layer_name,mut_result
PM,no,Parameter Miss
PM,no,Parameter Miss
PM,"[2, 64, 570, 570]",True
PM,no,Parameter Miss
PM,"[2, 256, 100, 100]",True
PM,"[2, 1024, 28, 28]",True
PM,no,Parameter Miss
PM,"[2, 64, 392, 392]",True
PM,"[2, 256, 104, 104]",True
PM,no,Parameter Miss
PM,no,Parameter Miss
PM,no,Parameter Miss
PM,no,Parameter Miss
PM,no,Parameter Miss
PM,no,Parameter Miss
PM,no,Parameter Miss
PM,"[2, 256, 136, 136]",True
PM,"[2, 128, 280, 280]",True
PM,no,Parameter Miss
PM,no,Parameter Miss
PM,"[2, 256, 68, 68]",True
PM,no,Parameter Miss
PM,"[2, 64, 570, 570]",True
PM,"[2, 512, 66, 66]",True
PM,no,Parameter Miss
PM,"[2, 512, 64, 64]",True
PM,no,Parameter Miss
PM,no,Parameter Miss
PM,no,Parameter Miss
PM,"[2, 64, 570, 570]",True
PM,no,Parameter Miss
PM,"[2, 256, 136, 136]",True
PM,no,Parameter Miss
PM,no,Parameter Miss
PM,no,Parameter Miss
PM,"[2, 512, 52, 52]",True
PM,no,Parameter Miss
PM,no,Parameter Miss
PM,no,Parameter Miss
PM,no,Parameter Miss
