mut_types,mut_layer_name,mut_result
PM,"[2, 256, 51, 51]",True
PM,"[2, 256, 47, 47]",True
PM,"[2, 256, 23, 23]",True
PM,"[2, 4096]",True
PM,"[2, 512, 17, 17]",True
PM,"[2, 128, 108, 108]",True
PM,"[2, 4096]",True
PM,"[2, 512, 17, 17]",True
PM,"[2, 512, 6, 6]",True
PM,"[2, 512, 4, 4]",True
PM,"[2, 512, 17, 17]",True
PM,"[2, 4096]",True
PM,"[2, 512, 17, 17]",True
PM,"[2, 512, 2, 2]",True
PM,"[2, 256, 49, 49]",True
PM,"[2, 4096]",True
PM,"[2, 128, 53, 53]",True
PM,"[2, 128, 108, 108]",True
PM,"[2, 512, 19, 19]",True
PM,"[2, 256, 51, 51]",True
PM,"[2, 512, 4, 4]",True
PM,"[2, 128, 106, 106]",True
PM,"[2, 512, 8, 8]",True
PM,"[2, 128, 106, 106]",True
PM,"[2, 4096]",True
PM,"[2, 512, 21, 21]",True
PM,"[2, 256, 51, 51]",True
PM,"[2, 64, 220, 220]",True
PM,"[2, 128, 108, 108]",True
PM,"[2, 256, 51, 51]",True
PM,"[2, 512, 17, 17]",True
PM,"[2, 512, 1, 1]",True
PM,"[2, 64, 222, 222]",True
PM,"[2, 4096]",True
PM,"[2, 512, 21, 21]",True
PM,"[2, 512, 6, 6]",True
PM,"[2, 64, 220, 220]",True
PM,"[2, 4096]",True
PM,"[2, 64, 220, 220]",True
PM,"[2, 512, 21, 21]",True
