mut_types,mut_layer_name,mut_result
PM,"[2, 512, 26, 26]",True
PM,"[2, 64, 104, 104]",True
PM,"[2, 512, 13, 13]",True
PM,no,Parameter Miss
PM,"[2, 32, 208, 208]",True
PM,"[2, 512, 26, 26]",True
PM,no,Parameter Miss
PM,"[2, 128, 52, 52]",True
PM,"[2, 1024, 13, 13]",True
PM,"[2, 1024, 13, 13]",True
PM,"[2, 256, 52, 52]",True
PM,no,Parameter Miss
PM,"[2, 128, 52, 52]",True
PM,"[2, 512, 26, 26]",True
PM,"[2, 64, 104, 104]",True
PM,no,Parameter Miss
PM,"[2, 128, 52, 52]",True
PM,"[2, 512, 13, 13]",True
PM,"[2, 512, 13, 13]",True
PM,"[2, 1024, 13, 13]",True
PM,"[2, 1024, 13, 13]",True
PM,"[2, 32, 208, 208]",True
PM,"[2, 64, 208, 208]",True
PM,"[2, 512, 26, 26]",True
PM,no,Parameter Miss
PM,"[2, 256, 52, 52]",True
PM,"[2, 256, 52, 52]",True
PM,"[2, 64, 104, 104]",True
PM,"[2, 256, 26, 26]",True
PM,"[2, 1024, 13, 13]",True
PM,"[2, 32, 416, 416]",True
PM,"[2, 64, 104, 104]",True
PM,"[2, 1024, 13, 13]",True
PM,no,Parameter Miss
PM,"[2, 128, 52, 52]",True
PM,"[2, 512, 13, 13]",True
PM,"[2, 128, 52, 52]",True
PM,no,Parameter Miss
PM,"[2, 32, 416, 416]",True
PM,"[2, 512, 26, 26]",True
PM,"[2, 256, 52, 52]",True
PM,"[2, 128, 52, 52]",True
PM,"[2, 256, 52, 52]",True
PM,no,Parameter Miss
PM,"[2, 512, 26, 26]",True
PM,"[2, 128, 52, 52]",True
PM,"[2, 512, 26, 26]",True
PM,"[2, 256, 26, 26]",True
PM,"[2, 256, 26, 26]",True
PM,"[2, 128, 52, 52]",True
PM,"[2, 128, 52, 52]",True
PM,no,Parameter Miss
PM,no,Parameter Miss
PM,"[2, 256, 26, 26]",True
PM,"[2, 128, 104, 104]",True
PM,"[2, 512, 26, 26]",True
PM,"[2, 512, 26, 26]",True
PM,"[2, 256, 26, 26]",True
PM,"[2, 256, 26, 26]",True
PM,no,Parameter Miss
PM,"[2, 512, 13, 13]",True
PM,"[2, 128, 52, 52]",True
PM,"[2, 128, 104, 104]",True
PM,"[2, 256, 52, 52]",True
PM,"[2, 128, 52, 52]",True
PM,"[2, 512, 26, 26]",True
PM,no,Parameter Miss
PM,"[2, 256, 26, 26]",True
PM,no,Parameter Miss
PM,"[2, 128, 52, 52]",True
PM,"[2, 128, 52, 52]",True
PM,"[2, 512, 26, 26]",True
PM,"[2, 256, 52, 52]",True
PM,"[2, 256, 26, 26]",True
PM,"[2, 1024, 13, 13]",True
PM,"[2, 128, 52, 52]",True
PM,"[2, 256, 52, 52]",True
PM,"[2, 64, 208, 208]",True
PM,"[2, 128, 52, 52]",True
PM,"[2, 64, 104, 104]",True
PM,"[2, 256, 26, 26]",True
PM,no,Parameter Miss
PM,"[2, 128, 52, 52]",True
PM,"[2, 256, 26, 26]",True
PM,"[2, 512, 26, 26]",True
PM,"[2, 512, 26, 26]",True
PM,"[2, 128, 104, 104]",True
PM,"[2, 512, 13, 13]",True
PM,"[2, 512, 26, 26]",True
PM,no,Parameter Miss
PM,"[2, 512, 26, 26]",True
PM,no,Parameter Miss
PM,"[2, 256, 52, 52]",True
PM,"[2, 128, 52, 52]",True
PM,"[2, 64, 208, 208]",True
PM,"[2, 512, 26, 26]",True
PM,no,Parameter Miss
PM,"[2, 512, 13, 13]",True
PM,"[2, 256, 26, 26]",True
PM,"[2, 512, 26, 26]",True
